edge_id,scenario_id,effective_time_hours,effective_cost_yuan_per_two,effective_risk,is_available,availability_note
T0004R,base_summer,0.35,20.0,0.02,True,
T0004R,duku_weather_disruption,0.35,20.0,0.02,True,
T0004R,hotel_full_price_surge,0.35,20.0,0.02,True,
T0004R,mayday_peak,0.35,20.0,0.02,True,
T0004R,summer_peak,0.35,20.0,0.02,True,
T0005,base_summer,0.35,20.0,0.02,True,
T0005,duku_weather_disruption,0.35,20.0,0.02,True,
T0005,hotel_full_price_surge,0.35,20.0,0.02,True,
T0005,mayday_peak,0.35,20.0,0.02,True,
T0005,summer_peak,0.35,20.0,0.02,True,
T0005R,base_summer,0.35,20.0,0.02,True,
T0005R,duku_weather_disruption,0.35,20.0,0.02,True,
T0005R,hotel_full_price_surge,0.35,20.0,0.02,True,
T0005R,mayday_peak,0.35,20.0,0.02,True,
T0005R,summer_peak,0.35,20.0,0.02,True,
T0006,base_summer,0.35,20.0,0.02,True,
T0006,duku_weather_disruption,0.35,20.0,0.02,True,
T0006,hotel_full_price_surge,0.35,20.0,0.02,True,
T0006,mayday_peak,0.35,20.0,0.02,True,
T0006,summer_peak,0.35,20.0,0.02,True,
T0006R,base_summer,0.35,20.0,0.02,True,
T0006R,duku_weather_disruption,0.35,20.0,0.02,True,
T0006R,hotel_full_price_surge,0.35,20.0,0.02,True,
T0006R,mayday_peak,0.35,20.0,0.02,True,
T0006R,summer_peak,0.35,20.0,0.02,True,
T0007,base_summer,0.35,20.0,0.02,True,
T0007,duku_weather_disruption,0.35,20.0,0.02,True,
T0007,hotel_full_price_surge,0.35,20.0,0.02,True,
T0007,mayday_peak,0.35,20.0,0.02,True,
T0007,summer_peak,0.35,20.0,0.02,True,
T0007R,base_summer,0.35,20.0,0.02,True,
T0007R,duku_weather_disruption,0.35,20.0,0.02,True,
T0007R,hotel_full_price_surge,0.35,20.0,0.02,True,
T0007R,mayday_peak,0.35,20.0,0.02,True,
T0007R,summer_peak,0.35,20.0,0.02,True,
T0008,base_summer,0.35,20.0,0.02,True,
T0008,duku_weather_disruption,0.35,20.0,0.02,True,
T0008,hotel_full_price_surge,0.35,20.0,0.02,True,
T0008,mayday_peak,0.35,20.0,0.02,True,
T0008,summer_peak,0.35,20.0,0.02,True,
T0008R,base_summer,0.35,20.0,0.02,True,
T0008R,duku_weather_disruption,0.35,20.0,0.02,True,
T0008R,hotel_full_price_surge,0.35,20.0,0.02,True,
T0008R,mayday_peak,0.35,20.0,0.02,True,
T0008R,summer_peak,0.35,20.0,0.02,True,
T0009,base_summer,0.35,20.0,0.02,True,
T0009,duku_weather_disruption,0.35,20.0,0.02,True,
T0009,hotel_full_price_surge,0.35,20.0,0.02,True,
T0009,mayday_peak,0.35,20.0,0.02,True,
T0009,summer_peak,0.35,20.0,0.02,True,
T0009R,base_summer,0.35,20.0,0.02,True,
T0009R,duku_weather_disruption,0.35,20.0,0.02,True,
T0009R,hotel_full_price_surge,0.35,20.0,0.02,True,
T0009R,mayday_peak,0.35,20.0,0.02,True,
T0009R,summer_peak,0.35,20.0,0.02,True,
T0010,base_summer,0.8,60.0,0.03,True,
T0010,duku_weather_disruption,0.8,60.0,0.03,True,
T0010,hotel_full_price_surge,0.8,60.0,0.03,True,
T0010,mayday_peak,0.8,60.0,0.03,True,
T0010,summer_peak,0.8,60.0,0.03,True,
T0010R,base_summer,0.8,60.0,0.03,True,
T0010R,duku_weather_disruption,0.8,60.0,0.03,True,
T0010R,hotel_full_price_surge,0.8,60.0,0.03,True,
T0010R,mayday_peak,0.8,60.0,0.03,True,
T0010R,summer_peak,0.8,60.0,0.03,True,
T0011,base_summer,0.45,60.0,0.03,True,
T0011,duku_weather_disruption,0.45,60.0,0.03,True,
T0011,hotel_full_price_surge,0.45,60.0,0.03,True,
T0011,mayday_peak,0.45,60.0,0.03,True,
T0011,summer_peak,0.45,60.0,0.03,True,
T0011R,base_summer,0.45,60.0,0.03,True,
T0011R,duku_weather_disruption,0.45,60.0,0.03,True,
T0011R,hotel_full_price_surge,0.45,60.0,0.03,True,
T0011R,mayday_peak,0.45,60.0,0.03,True,
T0011R,summer_peak,0.45,60.0,0.03,True,
T0012,base_summer,0.45,60.0,0.03,True,
T0012,duku_weather_disruption,0.45,60.0,0.03,True,
T0012,hotel_full_price_surge,0.45,60.0,0.03,True,
T0012,mayday_peak,0.45,60.0,0.03,True,
T0012,summer_peak,0.45,60.0,0.03,True,
T0012R,base_summer,0.45,60.0,0.03,True,
T0012R,duku_weather_disruption,0.45,60.0,0.03,True,
T0012R,hotel_full_price_surge,0.45,60.0,0.03,True,
T0012R,mayday_peak,0.45,60.0,0.03,True,
T0012R,summer_peak,0.45,60.0,0.03,True,
T0013,base_summer,0.45,60.0,0.03,True,
T0013,duku_weather_disruption,0.45,60.0,0.03,True,
T0013,hotel_full_price_surge,0.45,60.0,0.03,True,
T0013,mayday_peak,0.45,60.0,0.03,True,
T0013,summer_peak,0.45,60.0,0.03,True,
T0013R,base_summer,0.45,60.0,0.03,True,
T0013R,duku_weather_disruption,0.45,60.0,0.03,True,
T0013R,hotel_full_price_surge,0.45,60.0,0.03,True,
T0013R,mayday_peak,0.45,60.0,0.03,True,
T0013R,summer_peak,0.45,60.0,0.03,True,
T0014,base_summer,0.45,60.0,0.03,True,
T0014,duku_weather_disruption,0.45,60.0,0.03,True,
T0014,hotel_full_price_surge,0.45,60.0,0.03,True,
T0014,mayday_peak,0.45,60.0,0.03,True,
T0014,summer_peak,0.45,60.0,0.03,True,
T0014R,base_summer,0.45,60.0,0.03,True,
T0014R,duku_weather_disruption,0.45,60.0,0.03,True,
T0014R,hotel_full_price_surge,0.45,60.0,0.03,True,
T0014R,mayday_peak,0.45,60.0,0.03,True,
T0014R,summer_peak,0.45,60.0,0.03,True,
T0015,base_summer,0.45,60.0,0.03,True,
T0015,duku_weather_disruption,0.45,60.0,0.03,True,
T0015,hotel_full_price_surge,0.45,60.0,0.03,True,
T0015,mayday_peak,0.45,60.0,0.03,True,
T0015,summer_peak,0.45,60.0,0.03,True,
T0015R,base_summer,0.45,60.0,0.03,True,
T0015R,duku_weather_disruption,0.45,60.0,0.03,True,
T0015R,hotel_full_price_surge,0.45,60.0,0.03,True,
T0015R,mayday_peak,0.45,60.0,0.03,True,
T0015R,summer_peak,0.45,60.0,0.03,True,
T0016,base_summer,0.45,60.0,0.03,True,
T0016,duku_weather_disruption,0.45,60.0,0.03,True,
T0016,hotel_full_price_surge,0.45,60.0,0.03,True,
T0016,mayday_peak,0.45,60.0,0.03,True,
T0016,summer_peak,0.45,60.0,0.03,True,
T0016R,base_summer,0.45,60.0,0.03,True,
T0016R,duku_weather_disruption,0.45,60.0,0.03,True,
T0016R,hotel_full_price_surge,0.45,60.0,0.03,True,
T0016R,mayday_peak,0.45,60.0,0.03,True,
T0016R,summer_peak,0.45,60.0,0.03,True,
T0017,base_summer,0.25,15.0,0.02,True,
T0017,duku_weather_disruption,0.25,15.0,0.02,True,
T0017,hotel_full_price_surge,0.25,15.0,0.02,True,
T0017,mayday_peak,0.25,15.0,0.02,True,
T0017,summer_peak,0.25,15.0,0.02,True,
T0017R,base_summer,0.25,15.0,0.02,True,
T0017R,duku_weather_disruption,0.25,15.0,0.02,True,
T0017R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0017R,mayday_peak,0.25,15.0,0.02,True,
T0017R,summer_peak,0.25,15.0,0.02,True,
T0018,base_summer,0.25,15.0,0.02,True,
T0018,duku_weather_disruption,0.25,15.0,0.02,True,
T0018,hotel_full_price_surge,0.25,15.0,0.02,True,
T0018,mayday_peak,0.25,15.0,0.02,True,
T0018,summer_peak,0.25,15.0,0.02,True,
T0018R,base_summer,0.25,15.0,0.02,True,
T0018R,duku_weather_disruption,0.25,15.0,0.02,True,
T0018R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0018R,mayday_peak,0.25,15.0,0.02,True,
T0018R,summer_peak,0.25,15.0,0.02,True,
T0019,base_summer,0.25,15.0,0.02,True,
T0019,duku_weather_disruption,0.25,15.0,0.02,True,
T0019,hotel_full_price_surge,0.25,15.0,0.02,True,
T0019,mayday_peak,0.25,15.0,0.02,True,
T0019,summer_peak,0.25,15.0,0.02,True,
T0019R,base_summer,0.25,15.0,0.02,True,
T0019R,duku_weather_disruption,0.25,15.0,0.02,True,
T0019R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0019R,mayday_peak,0.25,15.0,0.02,True,
T0019R,summer_peak,0.25,15.0,0.02,True,
T0020,base_summer,0.25,15.0,0.02,True,
T0020,duku_weather_disruption,0.25,15.0,0.02,True,
T0020,hotel_full_price_surge,0.25,15.0,0.02,True,
T0020,mayday_peak,0.25,15.0,0.02,True,
T0020,summer_peak,0.25,15.0,0.02,True,
T0020R,base_summer,0.25,15.0,0.02,True,
T0020R,duku_weather_disruption,0.25,15.0,0.02,True,
T0020R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0020R,mayday_peak,0.25,15.0,0.02,True,
T0020R,summer_peak,0.25,15.0,0.02,True,
T0021,base_summer,0.25,15.0,0.02,True,
T0021,duku_weather_disruption,0.25,15.0,0.02,True,
T0021,hotel_full_price_surge,0.25,15.0,0.02,True,
T0021,mayday_peak,0.25,15.0,0.02,True,
T0021,summer_peak,0.25,15.0,0.02,True,
T0021R,base_summer,0.25,15.0,0.02,True,
T0021R,duku_weather_disruption,0.25,15.0,0.02,True,
T0021R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0021R,mayday_peak,0.25,15.0,0.02,True,
T0021R,summer_peak,0.25,15.0,0.02,True,
T0022,base_summer,0.25,15.0,0.02,True,
T0022,duku_weather_disruption,0.25,15.0,0.02,True,
T0022,hotel_full_price_surge,0.25,15.0,0.02,True,
T0022,mayday_peak,0.25,15.0,0.02,True,
T0022,summer_peak,0.25,15.0,0.02,True,
T0022R,base_summer,0.25,15.0,0.02,True,
T0022R,duku_weather_disruption,0.25,15.0,0.02,True,
T0022R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0022R,mayday_peak,0.25,15.0,0.02,True,
T0022R,summer_peak,0.25,15.0,0.02,True,
T0023,base_summer,0.25,15.0,0.02,True,
T0023,duku_weather_disruption,0.25,15.0,0.02,True,
T0023,hotel_full_price_surge,0.25,15.0,0.02,True,
T0023,mayday_peak,0.25,15.0,0.02,True,
T0023,summer_peak,0.25,15.0,0.02,True,
T0023R,base_summer,0.25,15.0,0.02,True,
T0023R,duku_weather_disruption,0.25,15.0,0.02,True,
T0023R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0023R,mayday_peak,0.25,15.0,0.02,True,
T0023R,summer_peak,0.25,15.0,0.02,True,
T0024,base_summer,0.25,15.0,0.02,True,
T0024,duku_weather_disruption,0.25,15.0,0.02,True,
T0024,hotel_full_price_surge,0.25,15.0,0.02,True,
T0024,mayday_peak,0.25,15.0,0.02,True,
T0024,summer_peak,0.25,15.0,0.02,True,
T0024R,base_summer,0.25,15.0,0.02,True,
T0024R,duku_weather_disruption,0.25,15.0,0.02,True,
T0024R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0024R,mayday_peak,0.25,15.0,0.02,True,
T0024R,summer_peak,0.25,15.0,0.02,True,
T0025,base_summer,0.25,15.0,0.02,True,
T0025,duku_weather_disruption,0.25,15.0,0.02,True,
T0025,hotel_full_price_surge,0.25,15.0,0.02,True,
T0025,mayday_peak,0.25,15.0,0.02,True,
T0025,summer_peak,0.25,15.0,0.02,True,
T0025R,base_summer,0.25,15.0,0.02,True,
T0025R,duku_weather_disruption,0.25,15.0,0.02,True,
T0025R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0025R,mayday_peak,0.25,15.0,0.02,True,
T0025R,summer_peak,0.25,15.0,0.02,True,
T0026,base_summer,0.25,15.0,0.02,True,
T0026,duku_weather_disruption,0.25,15.0,0.02,True,
T0026,hotel_full_price_surge,0.25,15.0,0.02,True,
T0026,mayday_peak,0.25,15.0,0.02,True,
T0026,summer_peak,0.25,15.0,0.02,True,
T0026R,base_summer,0.25,15.0,0.02,True,
T0026R,duku_weather_disruption,0.25,15.0,0.02,True,
T0026R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0026R,mayday_peak,0.25,15.0,0.02,True,
T0026R,summer_peak,0.25,15.0,0.02,True,
T0027,base_summer,0.25,15.0,0.02,True,
T0027,duku_weather_disruption,0.25,15.0,0.02,True,
T0027,hotel_full_price_surge,0.25,15.0,0.02,True,
T0027,mayday_peak,0.25,15.0,0.02,True,
T0027,summer_peak,0.25,15.0,0.02,True,
T0027R,base_summer,0.25,15.0,0.02,True,
T0027R,duku_weather_disruption,0.25,15.0,0.02,True,
T0027R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0027R,mayday_peak,0.25,15.0,0.02,True,
T0027R,summer_peak,0.25,15.0,0.02,True,
T0028,base_summer,0.25,15.0,0.02,True,
T0028,duku_weather_disruption,0.25,15.0,0.02,True,
T0028,hotel_full_price_surge,0.25,15.0,0.02,True,
T0028,mayday_peak,0.25,15.0,0.02,True,
T0028,summer_peak,0.25,15.0,0.02,True,
T0028R,base_summer,0.25,15.0,0.02,True,
T0028R,duku_weather_disruption,0.25,15.0,0.02,True,
T0028R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0028R,mayday_peak,0.25,15.0,0.02,True,
T0028R,summer_peak,0.25,15.0,0.02,True,
T0029,base_summer,0.25,15.0,0.02,True,
T0029,duku_weather_disruption,0.25,15.0,0.02,True,
T0029,hotel_full_price_surge,0.25,15.0,0.02,True,
T0029,mayday_peak,0.25,15.0,0.02,True,
T0029,summer_peak,0.25,15.0,0.02,True,
T0029R,base_summer,0.25,15.0,0.02,True,
T0029R,duku_weather_disruption,0.25,15.0,0.02,True,
T0029R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0029R,mayday_peak,0.25,15.0,0.02,True,
T0029R,summer_peak,0.25,15.0,0.02,True,
T0030,base_summer,0.25,15.0,0.02,True,
T0030,duku_weather_disruption,0.25,15.0,0.02,True,
T0030,hotel_full_price_surge,0.25,15.0,0.02,True,
T0030,mayday_peak,0.25,15.0,0.02,True,
T0030,summer_peak,0.25,15.0,0.02,True,
T0030R,base_summer,0.25,15.0,0.02,True,
T0030R,duku_weather_disruption,0.25,15.0,0.02,True,
T0030R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0030R,mayday_peak,0.25,15.0,0.02,True,
T0030R,summer_peak,0.25,15.0,0.02,True,
T0031,base_summer,0.25,15.0,0.02,True,
T0031,duku_weather_disruption,0.25,15.0,0.02,True,
T0031,hotel_full_price_surge,0.25,15.0,0.02,True,
T0031,mayday_peak,0.25,15.0,0.02,True,
T0031,summer_peak,0.25,15.0,0.02,True,
T0031R,base_summer,0.25,15.0,0.02,True,
T0031R,duku_weather_disruption,0.25,15.0,0.02,True,
T0031R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0031R,mayday_peak,0.25,15.0,0.02,True,
T0031R,summer_peak,0.25,15.0,0.02,True,
T0032,base_summer,0.25,15.0,0.02,True,
T0032,duku_weather_disruption,0.25,15.0,0.02,True,
T0032,hotel_full_price_surge,0.25,15.0,0.02,True,
T0032,mayday_peak,0.25,15.0,0.02,True,
T0032,summer_peak,0.25,15.0,0.02,True,
T0032R,base_summer,0.25,15.0,0.02,True,
T0032R,duku_weather_disruption,0.25,15.0,0.02,True,
T0032R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0032R,mayday_peak,0.25,15.0,0.02,True,
T0032R,summer_peak,0.25,15.0,0.02,True,
T0033,base_summer,0.25,15.0,0.02,True,
T0033,duku_weather_disruption,0.25,15.0,0.02,True,
T0033,hotel_full_price_surge,0.25,15.0,0.02,True,
T0033,mayday_peak,0.25,15.0,0.02,True,
T0033,summer_peak,0.25,15.0,0.02,True,
T0033R,base_summer,0.25,15.0,0.02,True,
T0033R,duku_weather_disruption,0.25,15.0,0.02,True,
T0033R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0033R,mayday_peak,0.25,15.0,0.02,True,
T0033R,summer_peak,0.25,15.0,0.02,True,
T0034,base_summer,0.25,15.0,0.02,True,
T0034,duku_weather_disruption,0.25,15.0,0.02,True,
T0034,hotel_full_price_surge,0.25,15.0,0.02,True,
T0034,mayday_peak,0.25,15.0,0.02,True,
T0034,summer_peak,0.25,15.0,0.02,True,
T0034R,base_summer,0.25,15.0,0.02,True,
T0034R,duku_weather_disruption,0.25,15.0,0.02,True,
T0034R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0034R,mayday_peak,0.25,15.0,0.02,True,
T0034R,summer_peak,0.25,15.0,0.02,True,
T0035,base_summer,0.25,15.0,0.02,True,
T0035,duku_weather_disruption,0.25,15.0,0.02,True,
T0035,hotel_full_price_surge,0.25,15.0,0.02,True,
T0035,mayday_peak,0.25,15.0,0.02,True,
T0035,summer_peak,0.25,15.0,0.02,True,
T0035R,base_summer,0.25,15.0,0.02,True,
T0035R,duku_weather_disruption,0.25,15.0,0.02,True,
T0035R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0035R,mayday_peak,0.25,15.0,0.02,True,
T0035R,summer_peak,0.25,15.0,0.02,True,
T0036,base_summer,0.25,15.0,0.02,True,
T0036,duku_weather_disruption,0.25,15.0,0.02,True,
T0036,hotel_full_price_surge,0.25,15.0,0.02,True,
T0036,mayday_peak,0.25,15.0,0.02,True,
T0036,summer_peak,0.25,15.0,0.02,True,
T0036R,base_summer,0.25,15.0,0.02,True,
T0036R,duku_weather_disruption,0.25,15.0,0.02,True,
T0036R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0036R,mayday_peak,0.25,15.0,0.02,True,
T0036R,summer_peak,0.25,15.0,0.02,True,
T0037,base_summer,0.25,15.0,0.02,True,
T0037,duku_weather_disruption,0.25,15.0,0.02,True,
T0037,hotel_full_price_surge,0.25,15.0,0.02,True,
T0037,mayday_peak,0.25,15.0,0.02,True,
T0037,summer_peak,0.25,15.0,0.02,True,
T0037R,base_summer,0.25,15.0,0.02,True,
T0037R,duku_weather_disruption,0.25,15.0,0.02,True,
T0037R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0037R,mayday_peak,0.25,15.0,0.02,True,
T0037R,summer_peak,0.25,15.0,0.02,True,
T0038,base_summer,0.25,15.0,0.02,True,
T0038,duku_weather_disruption,0.25,15.0,0.02,True,
T0038,hotel_full_price_surge,0.25,15.0,0.02,True,
T0038,mayday_peak,0.25,15.0,0.02,True,
T0038,summer_peak,0.25,15.0,0.02,True,
T0038R,base_summer,0.25,15.0,0.02,True,
T0038R,duku_weather_disruption,0.25,15.0,0.02,True,
T0038R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0038R,mayday_peak,0.25,15.0,0.02,True,
T0038R,summer_peak,0.25,15.0,0.02,True,
T0039,base_summer,0.25,15.0,0.02,True,
T0039,duku_weather_disruption,0.25,15.0,0.02,True,
T0039,hotel_full_price_surge,0.25,15.0,0.02,True,
T0039,mayday_peak,0.25,15.0,0.02,True,
T0039,summer_peak,0.25,15.0,0.02,True,
T0039R,base_summer,0.25,15.0,0.02,True,
T0039R,duku_weather_disruption,0.25,15.0,0.02,True,
T0039R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0039R,mayday_peak,0.25,15.0,0.02,True,
T0039R,summer_peak,0.25,15.0,0.02,True,
T0040,base_summer,0.25,15.0,0.02,True,
T0040,duku_weather_disruption,0.25,15.0,0.02,True,
T0040,hotel_full_price_surge,0.25,15.0,0.02,True,
T0040,mayday_peak,0.25,15.0,0.02,True,
T0040,summer_peak,0.25,15.0,0.02,True,
T0040R,base_summer,0.25,15.0,0.02,True,
T0040R,duku_weather_disruption,0.25,15.0,0.02,True,
T0040R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0040R,mayday_peak,0.25,15.0,0.02,True,
T0040R,summer_peak,0.25,15.0,0.02,True,
T0041,base_summer,0.25,15.0,0.02,True,
T0041,duku_weather_disruption,0.25,15.0,0.02,True,
T0041,hotel_full_price_surge,0.25,15.0,0.02,True,
T0041,mayday_peak,0.25,15.0,0.02,True,
T0041,summer_peak,0.25,15.0,0.02,True,
T0041R,base_summer,0.25,15.0,0.02,True,
T0041R,duku_weather_disruption,0.25,15.0,0.02,True,
T0041R,hotel_full_price_surge,0.25,15.0,0.02,True,
T0041R,mayday_peak,0.25,15.0,0.02,True,
T0041R,summer_peak,0.25,15.0,0.02,True,
R0042,base_summer,2.5,99.0,0.08,True,
R0042,duku_weather_disruption,2.5,99.0,0.08,True,
R0042,hotel_full_price_surge,2.5,99.0,0.08,True,
R0042,mayday_peak,2.5,99.0,0.08,True,
R0042,summer_peak,2.5,99.0,0.08,True,
R0043,base_summer,2.5,99.0,0.08,True,
R0043,duku_weather_disruption,2.5,99.0,0.08,True,
R0043,hotel_full_price_surge,2.5,99.0,0.08,True,
R0043,mayday_peak,2.5,99.0,0.08,True,
R0043,summer_peak,2.5,99.0,0.08,True,
R0044,base_summer,1.5,55.0,0.08,True,
R0044,duku_weather_disruption,1.5,55.0,0.08,True,
R0044,hotel_full_price_surge,1.5,55.0,0.08,True,
R0044,mayday_peak,1.5,55.0,0.08,True,
R0044,summer_peak,1.5,55.0,0.08,True,
R0045,base_summer,1.5,55.0,0.08,True,
R0045,duku_weather_disruption,1.5,55.0,0.08,True,
R0045,hotel_full_price_surge,1.5,55.0,0.08,True,
R0045,mayday_peak,1.5,55.0,0.08,True,
R0045,summer_peak,1.5,55.0,0.08,True,
R0046,base_summer,7.0,379.5,0.08,True,
R0046,duku_weather_disruption,7.0,379.5,0.08,True,
R0046,hotel_full_price_surge,7.0,379.5,0.08,True,
R0046,mayday_peak,7.0,379.5,0.08,True,
R0046,summer_peak,7.0,379.5,0.08,True,
R0047,base_summer,7.0,379.5,0.08,True,
R0047,duku_weather_disruption,7.0,379.5,0.08,True,
R0047,hotel_full_price_surge,7.0,379.5,0.08,True,
R0047,mayday_peak,7.0,379.5,0.08,True,
R0047,summer_peak,7.0,379.5,0.08,True,
R0048,base_summer,18.0,805.75,0.08,True,
R0048,duku_weather_disruption,18.0,805.75,0.08,True,
R0048,hotel_full_price_surge,18.0,805.75,0.08,True,
R0048,mayday_peak,18.0,805.75,0.08,True,
R0048,summer_peak,18.0,805.75,0.08,True,
R0049,base_summer,18.0,805.75,0.08,True,
R0049,duku_weather_disruption,18.0,805.75,0.08,True,
R0049,hotel_full_price_surge,18.0,805.75,0.08,True,
R0049,mayday_peak,18.0,805.75,0.08,True,
R0049,summer_peak,18.0,805.75,0.08,True,
R0050,base_summer,6.0,275.0,0.08,True,
R0050,duku_weather_disruption,6.0,275.0,0.08,True,
R0050,hotel_full_price_surge,6.0,275.0,0.08,True,
R0050,mayday_peak,6.0,275.0,0.08,True,
R0050,summer_peak,6.0,275.0,0.08,True,
R0051,base_summer,6.0,275.0,0.08,True,
R0051,duku_weather_disruption,6.0,275.0,0.08,True,
R0051,hotel_full_price_surge,6.0,275.0,0.08,True,
R0051,mayday_peak,6.0,275.0,0.08,True,
R0051,summer_peak,6.0,275.0,0.08,True,
R0052,base_summer,6.0,259.05,0.08,True,
R0052,duku_weather_disruption,6.0,259.05,0.08,True,
R0052,hotel_full_price_surge,6.0,259.05,0.08,True,
R0052,mayday_peak,6.0,259.05,0.08,True,
R0052,summer_peak,6.0,259.05,0.08,True,
R0053,base_summer,6.0,259.05,0.08,True,
R0053,duku_weather_disruption,6.0,259.05,0.08,True,
R0053,hotel_full_price_surge,6.0,259.05,0.08,True,
R0053,mayday_peak,6.0,259.05,0.08,True,
R0053,summer_peak,6.0,259.05,0.08,True,
R0054,base_summer,4.5,203.5,0.08,True,
R0054,duku_weather_disruption,4.5,203.5,0.08,True,
R0054,hotel_full_price_surge,4.5,203.5,0.08,True,
R0054,mayday_peak,4.5,203.5,0.08,True,
R0054,summer_peak,4.5,203.5,0.08,True,
R0055,base_summer,4.5,203.5,0.08,True,
R0055,duku_weather_disruption,4.5,203.5,0.08,True,
R0055,hotel_full_price_surge,4.5,203.5,0.08,True,
R0055,mayday_peak,4.5,203.5,0.08,True,
R0055,summer_peak,4.5,203.5,0.08,True,
R0056,base_summer,6.0,258.5,0.08,True,
R0056,duku_weather_disruption,6.0,258.5,0.08,True,
R0056,hotel_full_price_surge,6.0,258.5,0.08,True,
R0056,mayday_peak,6.0,258.5,0.08,True,
R0056,summer_peak,6.0,258.5,0.08,True,
R0057,base_summer,6.0,258.5,0.08,True,
R0057,duku_weather_disruption,6.0,258.5,0.08,True,
R0057,hotel_full_price_surge,6.0,258.5,0.08,True,
R0057,mayday_peak,6.0,258.5,0.08,True,
R0057,summer_peak,6.0,258.5,0.08,True,
R0058,base_summer,3.0,137.5,0.08,True,
R0058,duku_weather_disruption,3.0,137.5,0.08,True,
R0058,hotel_full_price_surge,3.0,137.5,0.08,True,
R0058,mayday_peak,3.0,137.5,0.08,True,
R0058,summer_peak,3.0,137.5,0.08,True,
R0059,base_summer,3.0,137.5,0.08,True,
R0059,duku_weather_disruption,3.0,137.5,0.08,True,
R0059,hotel_full_price_surge,3.0,137.5,0.08,True,
R0059,mayday_peak,3.0,137.5,0.08,True,
R0059,summer_peak,3.0,137.5,0.08,True,
R0060,base_summer,2.0,82.5,0.08,True,
R0060,duku_weather_disruption,2.0,82.5,0.08,True,
R0060,hotel_full_price_surge,2.0,82.5,0.08,True,
R0060,mayday_peak,2.0,82.5,0.08,True,
R0060,summer_peak,2.0,82.5,0.08,True,
R0061,base_summer,2.0,82.5,0.08,True,
R0061,duku_weather_disruption,2.0,82.5,0.08,True,
R0061,hotel_full_price_surge,2.0,82.5,0.08,True,
R0061,mayday_peak,2.0,82.5,0.08,True,
R0061,summer_peak,2.0,82.5,0.08,True,
R0062,base_summer,1.5,52.25,0.08,True,
