route_id,seed_column_id,seed_route_theme,route_theme_code,route_theme,route_name_note,product_type,target_segment,variant_code,days,active_spot_days,buffer_days,spots_count,route_spot_ids,route_sequence,region_set,hub_set,culture_spots,nature_spots,remote_or_high_altitude_spots,reservation_spots,route_capacity_persons_12day,seed_capacity_persons_12day,capacity_factor_vs_seed,attraction_score,diversity_score,comfort_score,low_pressure_score,avg_interspot_travel_hours_proxy,long_transfer_days_proxy,resource_intensity_score,portfolio_quality_score,capacity_source_note,generation_note,selected_in_portfolio,selection_status,selection_order
Q4V2_R048,COL007,Short_Urumqi_East,Short_Urumqi_East_nature_flagship,乌鲁木齐—东疆—赛湖自然风景12日线,由乌鲁木齐东疆短线种子扩展为跨区自然风景12天产品，不再按短线产品解释。,nature_flagship,自然风景,nature_flagship,12,9,3,9,P001;P035;P002;P004;P006;P003;P013;P008;P017,天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 葡萄沟 -> 交河故城 -> 火焰山 -> 吐峪沟麻扎村 -> 赛里木湖 -> 果子沟大桥,乌鲁木齐周边;东疆;伊犁,天池风景区;乌鲁木齐市;达坂城镇;吐鲁番市;赛里木湖,3,6,0,4,11830,20400,0.58,53.207,70.667,91.148,29.877,2.303,1,5.756,53.394,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,增强湖泊、草原、峡谷、冰川等自然体验,True,selected_q4v2_portfolio,11.0
Q4V2_R015,COL003,East_Heritage,East_Heritage_balanced_mass,乌鲁木齐—东疆大众均衡12日线,由东疆文化遗产线种子生成的大众均衡12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,capacity_balanced,大众均衡,balanced_mass,12,10,2,10,P002;P001;P036;P004;P012;P005;P006;P003;P011;P013,达坂城古镇 -> 天山天池 -> 北庭故城遗址 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,乌鲁木齐周边;东疆,达坂城镇;天池风景区;乌鲁木齐市;吐鲁番市,7,3,0,3,12240,15300,0.8,55.478,57.0,97.43,23.156,1.106,0,5.887,52.132,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,保留原线路主题，扩展为12天中等强度产品,True,selected_q4v2_portfolio,12.0
Q4V2_R029,COL005,Bazhou_Desert,Bazhou_Desert_balanced_mass,巴州—东疆—乌鲁木齐大众均衡12日线,由巴州沙漠湖泊线种子生成的大众均衡12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,capacity_balanced,大众均衡,balanced_mass,12,10,2,10,P034;P032;P030;P029;P033;P014;P017;P008;P001;P013,罗布人村寨 -> 博斯腾湖 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 天山天池 -> 吐峪沟麻扎村,巴州-南疆北线;伊犁;乌鲁木齐周边;东疆,库尔勒市;库车市;巴音布鲁克;霍城县(惠远古城);赛里木湖;天池风景区;吐鲁番市,3,9,0,5,11550,12240,0.944,45.772,70.0,79.456,33.639,3.257,2,6.64,46.96,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,保留原线路主题，扩展为12天中等强度产品,True,selected_q4v2_portfolio,13.0
Q4V2_R051,COL008,SilkRoad_Deep,SilkRoad_Deep_family_comfort,东疆—巴州—喀什亲子舒适12日线,由丝路深游线种子生成的亲子舒适12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,family_comfort,亲子舒适,family_comfort,12,8,4,8,P013;P011;P012;P005;P006;P030;P031;P024,吐峪沟麻扎村 -> 高昌故城 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 库车王府 -> 克孜尔石窟 -> 喀什古城,东疆;巴州-南疆北线;南疆,吐鲁番市;库车市;喀什市,8,1,0,2,5710,10200,0.56,55.434,60.125,98.0,35.832,2.727,2,5.354,52.657,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,减少长转场与高强度景点，增加缓冲日,True,selected_q4v2_portfolio,14.0
Q4V2_R008,COL002,Ili_Lake_Grass,Ili_Lake_Grass_balanced_mass,巴州—赛湖—东疆大众均衡12日线,由伊犁湖泊草原线种子生成的大众均衡12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,capacity_balanced,大众均衡,balanced_mass,12,10,2,10,P033;P009;P014;P017;P008;P010;P015;P029;P034;P013,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 昭苏草原 -> 天山神秘大峡谷 -> 罗布人村寨 -> 吐峪沟麻扎村,巴州-南疆北线;伊犁;东疆,巴音布鲁克;那拉提镇;霍城县(惠远古城);赛里木湖;特克斯县(八卦城);昭苏县(夏塔古道);库车市;库尔勒市;吐鲁番市,2,10,0,5,13990,17485,0.8,43.147,56.0,69.342,28.1,4.577,3,7.102,40.803,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,保留原线路主题，扩展为12天中等强度产品,True,selected_q4v2_portfolio,15.0
Q4V2_R045,COL007,Short_Urumqi_East,Short_Urumqi_East_senior_slow,乌鲁木齐—东疆长者慢游12日线,由乌鲁木齐东疆短线种子生成的长者慢游12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,senior_slow,长者慢游,senior_slow,12,7,5,7,P001;P002;P004;P005;P006;P003;P013,天山天池 -> 达坂城古镇 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 吐峪沟麻扎村,乌鲁木齐周边;东疆,天池风景区;达坂城镇;吐鲁番市,4,3,0,3,9180,20400,0.45,57.817,69.429,98.0,25.388,0.885,0,4.16,56.925,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,低海拔、低转场、低红日的慢节奏产品,True,selected_q4v2_portfolio,16.0
Q4V2_R041,COL006,Hotan_Plus,Hotan_Plus_nature_flagship,东疆—赛湖—喀什自然风景12日线,由和田南疆扩展线种子生成的自然风景12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,nature_flagship,自然风景,nature_flagship,12,9,3,9,P024;P040;P027;P037;P039;P034;P001;P013;P008,喀什古城 -> 奥依塔克冰川 -> 帕米尔高原白沙湖 -> 和田博物馆 -> 千里葡萄长廊 -> 罗布人村寨 -> 天山天池 -> 吐峪沟麻扎村 -> 赛里木湖,南疆;巴州-南疆北线;乌鲁木齐周边;东疆;伊犁,喀什市;塔什库尔干县(帕米尔高原);和田市;库尔勒市;天池风景区;吐鲁番市;赛里木湖,4,6,2,7,5400,12240,0.441,48.992,91.444,56.382,41.234,5.348,4,7.722,42.137,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,增强湖泊、草原、峡谷、冰川等自然体验,True,selected_q4v2_portfolio,17.0
Q4V2_R006,COL001,North_Kanas,North_Kanas_nature_flagship,东疆—北疆—赛湖自然风景12日线,由北疆喀纳斯线种子生成的自然风景12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,nature_flagship,自然风景,nature_flagship,12,9,3,9,P001;P035;P013;P023;P022;P019;P018;P021;P008,天山天池 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 可可托海 -> 赛里木湖,乌鲁木齐周边;东疆;北疆;伊犁,天池风景区;乌鲁木齐市;吐鲁番市;阿勒泰市;禾木村;可可托海;赛里木湖,1,7,0,5,7890,13600,0.58,35.865,69.333,69.797,35.171,5.186,3,6.765,39.235,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,增强湖泊、草原、峡谷、冰川等自然体验,True,selected_q4v2_portfolio,18.0
Q4V2_R001,COL001,North_Kanas,North_Kanas_balanced_mass,巴州—东疆—乌鲁木齐大众均衡12日线,由北疆喀纳斯线种子生成的大众均衡12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,capacity_balanced,大众均衡,balanced_mass,12,10,2,10,P001;P035;P002;P013;P034;P023;P022;P019;P018;P021,天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 罗布人村寨 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 可可托海,乌鲁木齐周边;东疆;巴州-南疆北线;北疆,天池风景区;乌鲁木齐市;达坂城镇;吐鲁番市;库尔勒市;阿勒泰市;禾木村;可可托海,3,7,0,5,7830,13600,0.576,41.294,75.0,70.021,33.595,4.43,3,7.05,41.18,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,保留原线路主题，扩展为12天中等强度产品,False,candidate_not_selected,
Q4V2_R002,COL001,North_Kanas,North_Kanas_family_comfort,乌鲁木齐—北疆亲子舒适12日线,由北疆喀纳斯线种子生成的亲子舒适12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,family_comfort,亲子舒适,family_comfort,12,8,4,8,P001;P035;P002;P023;P022;P019;P018;P021,天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 可可托海,乌鲁木齐周边;北疆,天池风景区;乌鲁木齐市;达坂城镇;阿勒泰市;禾木村;可可托海,1,5,0,5,6980,13600,0.513,27.695,56.0,97.825,24.756,3.921,1,5.772,40.254,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,减少长转场与高强度景点，增加缓冲日,False,candidate_not_selected,
Q4V2_R003,COL001,North_Kanas,North_Kanas_senior_slow,乌鲁木齐—北疆长者慢游12日线,由北疆喀纳斯线种子生成的长者慢游12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,senior_slow,长者慢游,senior_slow,12,7,5,7,P001;P035;P021;P022;P019;P018;P023,天山天池 -> 江布拉克草原 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 世界魔鬼城,乌鲁木齐周边;北疆,天池风景区;乌鲁木齐市;可可托海;禾木村;阿勒泰市,0,5,0,4,6120,13600,0.45,21.173,50.0,98.0,26.871,4.037,2,5.263,37.986,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,低海拔、低转场、低红日的慢节奏产品,False,candidate_not_selected,
Q4V2_R004,COL001,North_Kanas,North_Kanas_low_pressure,巴州—东疆—乌鲁木齐错峰分流12日线,由北疆喀纳斯线种子生成的错峰分流12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,decongested_route,错峰分流,low_pressure,12,9,3,9,P001;P013;P034;P023;P022;P019;P018;P008;P017,天山天池 -> 吐峪沟麻扎村 -> 罗布人村寨 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 赛里木湖 -> 果子沟大桥,乌鲁木齐周边;东疆;巴州-南疆北线;北疆;伊犁,天池风景区;吐鲁番市;库尔勒市;阿勒泰市;禾木村;赛里木湖,2,7,0,4,6560,13600,0.482,42.213,83.111,73.174,41.675,5.089,3,6.731,45.039,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,优先选高承载、低热点替代点，承担拥挤分流,False,candidate_not_selected,
Q4V2_R007,COL001,North_Kanas,North_Kanas_premium_reserve,巴州—东疆—乌鲁木齐精品预约12日线,由北疆喀纳斯线种子生成的精品预约12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,premium_reserve,精品预约,premium_reserve,12,8,4,8,P001;P013;P034;P023;P022;P019;P018;P021,天山天池 -> 吐峪沟麻扎村 -> 罗布人村寨 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 可可托海,乌鲁木齐周边;东疆;巴州-南疆北线;北疆,天池风景区;吐鲁番市;库尔勒市;阿勒泰市;禾木村;可可托海,2,6,0,4,4700,13600,0.346,38.858,78.5,80.1,36.081,5.149,3,6.202,43.633,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,小团预约制，承载低但满意度和可控性高,False,candidate_not_selected,
Q4V2_R009,COL002,Ili_Lake_Grass,Ili_Lake_Grass_family_comfort,巴州—伊犁—赛湖亲子舒适12日线,由伊犁湖泊草原线种子生成的亲子舒适12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,family_comfort,亲子舒适,family_comfort,12,8,4,8,P033;P009;P014;P017;P008;P010;P015;P034,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 昭苏草原 -> 罗布人村寨,巴州-南疆北线;伊犁,巴音布鲁克;那拉提镇;霍城县(惠远古城);赛里木湖;特克斯县(八卦城);昭苏县(夏塔古道);库尔勒市,1,8,0,5,9790,17485,0.56,38.008,51.125,95.639,24.062,4.343,1,5.92,43.597,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,减少长转场与高强度景点，增加缓冲日,False,candidate_not_selected,
Q4V2_R010,COL002,Ili_Lake_Grass,Ili_Lake_Grass_senior_slow,巴州—伊犁—赛湖长者慢游12日线,由伊犁湖泊草原线种子生成的长者慢游12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,senior_slow,长者慢游,senior_slow,12,7,5,7,P033;P009;P014;P017;P008;P010;P015,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 昭苏草原,巴州-南疆北线;伊犁,巴音布鲁克;那拉提镇;霍城县(惠远古城);赛里木湖;特克斯县(八卦城);昭苏县(夏塔古道),0,7,0,5,7870,17485,0.45,36.197,48.0,98.0,24.65,2.746,0,4.811,44.106,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,低海拔、低转场、低红日的慢节奏产品,False,candidate_not_selected,
Q4V2_R012,COL002,Ili_Lake_Grass,Ili_Lake_Grass_culture_deep,巴州—赛湖—东疆文化深游12日线,由伊犁湖泊草原线种子生成的文化深游12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,culture_deep,文化深游,culture_deep,12,9,3,9,P033;P009;P014;P017;P008;P010;P031;P034;P013,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 克孜尔石窟 -> 罗布人村寨 -> 吐峪沟麻扎村,巴州-南疆北线;伊犁;东疆,巴音布鲁克;那拉提镇;霍城县(惠远古城);赛里木湖;特克斯县(八卦城);库车市;库尔勒市;吐鲁番市,3,8,0,5,6670,17485,0.381,48.487,65.111,74.377,28.294,4.522,3,6.533,42.323,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,增强丝路、民俗、考古文化主题,False,candidate_not_selected,
Q4V2_R013,COL002,Ili_Lake_Grass,Ili_Lake_Grass_nature_flagship,巴州—伊犁—赛湖自然风景12日线,由伊犁湖泊草原线种子生成的自然风景12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,nature_flagship,自然风景,nature_flagship,12,9,3,9,P033;P009;P014;P017;P008;P010;P015;P029;P034,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 昭苏草原 -> 天山神秘大峡谷 -> 罗布人村寨,巴州-南疆北线;伊犁,巴音布鲁克;那拉提镇;霍城县(惠远古城);赛里木湖;特克斯县(八卦城);昭苏县(夏塔古道);库车市;库尔勒市,1,9,0,5,10140,17485,0.58,35.643,47.778,78.147,23.672,4.249,2,6.437,37.243,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,增强湖泊、草原、峡谷、冰川等自然体验,False,candidate_not_selected,
Q4V2_R014,COL002,Ili_Lake_Grass,Ili_Lake_Grass_premium_reserve,巴州—赛湖—东疆精品预约12日线,由伊犁湖泊草原线种子生成的精品预约12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,premium_reserve,精品预约,premium_reserve,12,8,4,8,P033;P009;P014;P017;P008;P010;P034;P013,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 罗布人村寨 -> 吐峪沟麻扎村,巴州-南疆北线;伊犁;东疆,巴音布鲁克;那拉提镇;霍城县(惠远古城);赛里木湖;特克斯县(八卦城);库尔勒市;吐鲁番市,2,8,0,5,7340,17485,0.42,46.254,63.25,87.833,28.937,4.489,2,5.971,46.002,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,小团预约制，承载低但满意度和可控性高,False,candidate_not_selected,
Q4V2_R016,COL003,East_Heritage,East_Heritage_family_comfort,乌鲁木齐—东疆亲子舒适12日线,由东疆文化遗产线种子生成的亲子舒适12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,family_comfort,亲子舒适,family_comfort,12,8,4,8,P002;P004;P012;P005;P006;P003;P011;P013,达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,乌鲁木齐周边;东疆,达坂城镇;吐鲁番市,6,2,0,2,8570,15300,0.56,56.887,60.5,98.0,24.884,0.552,0,4.593,53.964,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,减少长转场与高强度景点，增加缓冲日,False,candidate_not_selected,
Q4V2_R017,COL003,East_Heritage,East_Heritage_senior_slow,乌鲁木齐—东疆长者慢游12日线,由东疆文化遗产线种子生成的长者慢游12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,senior_slow,长者慢游,senior_slow,12,8,4,8,P002;P004;P012;P005;P006;P003;P011;P013,达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,乌鲁木齐周边;东疆,达坂城镇;吐鲁番市,6,2,0,2,6880,15300,0.45,56.887,60.5,98.0,24.884,0.552,0,4.593,53.035,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,低海拔、低转场、低红日的慢节奏产品,False,candidate_not_selected,
