day_index,spot_id,spot_name,region_cluster,time_slot,baseline_load,baseline_capacity,baseline_utilization,recommended_booking_ratio,release_batch_plan,operation_action,policy_note
2,P027,帕米尔高原白沙湖,南疆,evening,38.2067,370.5,0.1031,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P036,北庭故城遗址,乌鲁木齐周边,afternoon,259.5,2565.0,0.1012,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P035,江布拉克草原,乌鲁木齐周边,evening,139.304,1482.0,0.094,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P032,博斯腾湖,巴州-南疆北线,afternoon,334.308,5130.0,0.0652,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P032,博斯腾湖,巴州-南疆北线,evening,94.292,1482.0,0.0636,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P009,那拉提草原,伊犁,afternoon,302.146,5130.0,0.0589,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P009,那拉提草原,伊犁,evening,85.2207,1482.0,0.0575,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P004,葡萄沟,东疆,afternoon,194.402,3420.0,0.0568,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P036,北庭故城遗址,乌鲁木齐周边,morning,134.94,2394.0,0.0564,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P004,葡萄沟,东疆,evening,54.8313,988.0,0.0555,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P040,奥依塔克冰川,南疆,afternoon,273.26,5130.0,0.0533,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P040,奥依塔克冰川,南疆,evening,77.0733,1482.0,0.052,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P036,北庭故城遗址,乌鲁木齐周边,evening,38.06,741.0,0.0514,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P001,天山天池,乌鲁木齐周边,morning,325.05,10294.2,0.0316,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P001,天山天池,乌鲁木齐周边,afternoon,169.026,11029.5,0.0153,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P001,天山天池,乌鲁木齐周边,evening,47.674,3186.3,0.015,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P002,达坂城古镇,乌鲁木齐周边,morning,969.4,2394.0,0.4049,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P012,苏公塔,东疆,morning,715.35,2394.0,0.2988,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P027,帕米尔高原白沙湖,南疆,morning,257.4,1197.0,0.215,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P002,达坂城古镇,乌鲁木齐周边,afternoon,504.088,2565.0,0.1965,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P002,达坂城古镇,乌鲁木齐周边,evening,142.1787,741.0,0.1919,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P012,苏公塔,东疆,afternoon,371.982,2565.0,0.145,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P012,苏公塔,东疆,evening,104.918,741.0,0.1416,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P036,北庭故城遗址,乌鲁木齐周边,morning,325.05,2394.0,0.1358,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P004,葡萄沟,东疆,morning,414.35,3192.0,0.1298,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P030,库车王府,巴州-南疆北线,morning,307.5,2394.0,0.1284,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P014,霍城薰衣草花田,伊犁,morning,581.05,4788.0,0.1214,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P037,和田博物馆,南疆,morning,268.1,2394.0,0.112,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P027,帕米尔高原白沙湖,南疆,afternoon,133.848,1282.5,0.1044,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P027,帕米尔高原白沙湖,南疆,evening,37.752,370.5,0.1019,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P013,吐峪沟麻扎村,东疆,morning,239.9,2394.0,0.1002,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P036,北庭故城遗址,乌鲁木齐周边,afternoon,169.026,2565.0,0.0659,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P036,北庭故城遗址,乌鲁木齐周边,evening,47.674,741.0,0.0643,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P004,葡萄沟,东疆,afternoon,215.462,3420.0,0.063,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P030,库车王府,巴州-南疆北线,afternoon,159.9,2565.0,0.0623,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P004,葡萄沟,东疆,evening,60.7713,988.0,0.0615,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P030,库车王府,巴州-南疆北线,evening,45.1,741.0,0.0609,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P014,霍城薰衣草花田,伊犁,afternoon,302.146,5130.0,0.0589,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P014,霍城薰衣草花田,伊犁,evening,85.2207,1482.0,0.0575,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P037,和田博物馆,南疆,afternoon,139.412,2565.0,0.0544,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P037,和田博物馆,南疆,evening,39.3213,741.0,0.0531,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P013,吐峪沟麻扎村,东疆,afternoon,124.748,2565.0,0.0486,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
3,P013,吐峪沟麻扎村,东疆,evening,35.1853,741.0,0.0475,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P004,葡萄沟,东疆,morning,869.894,3192.0,0.2725,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P004,葡萄沟,东疆,afternoon,713.87,3420.0,0.2087,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P004,葡萄沟,东疆,evening,152.8193,988.0,0.1547,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P030,库车王府,巴州-南疆北线,afternoon,335.4,2565.0,0.1308,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P012,苏公塔,东疆,afternoon,285.5,2565.0,0.1113,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P030,库车王府,巴州-南疆北线,morning,174.408,2394.0,0.0729,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P030,库车王府,巴州-南疆北线,evening,49.192,741.0,0.0664,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P029,天山神秘大峡谷,巴州-南疆北线,morning,307.5,4788.0,0.0642,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P012,苏公塔,东疆,morning,148.46,2394.0,0.062,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P012,苏公塔,东疆,evening,41.8733,741.0,0.0565,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P025,艾提尕尔清真寺,南疆,afternoon,100.0,2565.0,0.039,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P040,奥依塔克冰川,南疆,morning,160.5,4788.0,0.0335,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P029,天山神秘大峡谷,巴州-南疆北线,afternoon,159.9,5130.0,0.0312,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P029,天山神秘大峡谷,巴州-南疆北线,evening,45.1,1482.0,0.0304,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P017,果子沟大桥,伊犁,afternoon,234.4,9405.0,0.0249,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P025,艾提尕尔清真寺,南疆,morning,52.0,2394.0,0.0217,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P025,艾提尕尔清真寺,南疆,evening,14.6667,741.0,0.0198,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P040,奥依塔克冰川,南疆,afternoon,83.46,5130.0,0.0163,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P040,奥依塔克冰川,南疆,evening,23.54,1482.0,0.0159,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P017,果子沟大桥,伊犁,morning,121.888,8778.0,0.0139,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
4,P017,果子沟大桥,伊犁,evening,34.3787,2717.0,0.0127,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P005,坎儿井民俗园,东疆,morning,1017.8,2394.0,0.4251,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P006,交河故城,东疆,morning,755.85,2394.0,0.3157,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P012,苏公塔,东疆,morning,683.5,2394.0,0.2855,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P005,坎儿井民俗园,东疆,afternoon,529.256,2565.0,0.2063,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P005,坎儿井民俗园,东疆,evening,149.2773,741.0,0.2015,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P006,交河故城,东疆,afternoon,393.042,2565.0,0.1532,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P006,交河故城,东疆,evening,110.858,741.0,0.1496,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P031,克孜尔石窟,巴州-南疆北线,morning,335.4,2394.0,0.1401,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P012,苏公塔,东疆,afternoon,355.42,2565.0,0.1386,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P012,苏公塔,东疆,evening,100.2467,741.0,0.1353,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P004,葡萄沟,东疆,morning,351.45,3192.0,0.1101,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P013,吐峪沟麻扎村,东疆,morning,259.5,2394.0,0.1084,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P037,和田博物馆,南疆,morning,257.4,2394.0,0.1075,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P039,千里葡萄长廊,南疆,morning,268.1,3192.0,0.084,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P031,克孜尔石窟,巴州-南疆北线,afternoon,174.408,2565.0,0.068,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P031,克孜尔石窟,巴州-南疆北线,evening,49.192,741.0,0.0664,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P033,巴音布鲁克草原,巴州-南疆北线,morning,307.5,4788.0,0.0642,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P004,葡萄沟,东疆,afternoon,182.754,3420.0,0.0534,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P013,吐峪沟麻扎村,东疆,afternoon,134.94,2565.0,0.0526,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P004,葡萄沟,东疆,evening,51.546,988.0,0.0522,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P037,和田博物馆,南疆,afternoon,133.848,2565.0,0.0522,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P013,吐峪沟麻扎村,东疆,evening,38.06,741.0,0.0514,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P037,和田博物馆,南疆,evening,37.752,741.0,0.0509,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P039,千里葡萄长廊,南疆,afternoon,139.412,3420.0,0.0408,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P039,千里葡萄长廊,南疆,evening,39.3213,988.0,0.0398,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P023,世界魔鬼城,北疆,morning,124.748,3192.0,0.0391,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P023,世界魔鬼城,北疆,evening,35.1853,988.0,0.0356,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P033,巴音布鲁克草原,巴州-南疆北线,afternoon,159.9,5130.0,0.0312,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P033,巴音布鲁克草原,巴州-南疆北线,evening,45.1,1482.0,0.0304,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P008,赛里木湖,伊犁,morning,234.4,8778.0,0.0267,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P017,果子沟大桥,伊犁,morning,180.258,8778.0,0.0205,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P017,果子沟大桥,伊犁,evening,50.842,2717.0,0.0187,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P008,赛里木湖,伊犁,afternoon,121.888,9405.0,0.013,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P008,赛里木湖,伊犁,evening,34.3787,2717.0,0.0127,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
5,P024,喀什古城,南疆,morning,260.5,47880.0,0.0054,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
