scenario_multiplier,source_route_id,source_route_theme,target_route_id,target_route_theme,source_overflow_visitors,target_spare_capacity,acceptance_probability,proposed_reallocated_visitors,region_similarity,theme_similarity,extra_travel_penalty,decision_note
1.2,Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,500.6998,1286.0957,0.148,74,0.6667,1.0,0.2836,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Q4V2_R030,巴州—乌鲁木齐—东疆亲子舒适12日线,500.6998,467.1591,0.1033,52,0.6667,0.35,0.5272,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,500.6998,2615.9044,0.0965,48,0.5,0.35,0.4914,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,500.6998,1048.3628,0.0956,48,1.0,0.35,0.0442,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Q4V2_R029,巴州—东疆—乌鲁木齐大众均衡12日线,500.6998,3978.2204,0.0931,47,0.5,0.35,0.4744,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Q4V2_R006,东疆—北疆—赛湖自然风景12日线,500.6998,3886.9867,0.0814,41,0.5,0.35,0.8602,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Q4V2_R041,东疆—赛湖—喀什自然风景12日线,500.6998,751.2452,0.0725,36,0.4,0.35,0.8926,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Q4V2_R008,巴州—赛湖—东疆大众均衡12日线,500.6998,7531.386,0.0724,36,0.25,0.35,0.7384,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Q4V2_R039,喀什—和田—东疆错峰分流12日线,500.6998,301.8464,0.0685,34,0.25,0.35,0.556,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,2244.4151,2615.9044,0.1209,271,0.4,0.35,0.123,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,Q4V2_R029,巴州—东疆—乌鲁木齐大众均衡12日线,2244.4151,3978.2204,0.1168,262,0.4,0.35,0.106,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,Q4V2_R039,喀什—和田—东疆错峰分流12日线,2244.4151,301.8464,0.1145,257,1.0,0.35,0.1876,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,2244.4151,2683.6933,0.1095,246,0.25,0.35,0.3304,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,Q4V2_R008,巴州—赛湖—东疆大众均衡12日线,2244.4151,7531.386,0.1095,246,0.5,0.35,0.37,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,Q4V2_R030,巴州—乌鲁木齐—东疆亲子舒适12日线,2244.4151,467.1591,0.102,229,0.5,0.35,0.1588,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,2244.4151,1286.0957,0.0977,219,0.2,0.35,0.0848,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,Q4V2_R006,东疆—北疆—赛湖自然风景12日线,2244.4151,3886.9867,0.091,204,0.1667,0.35,0.4918,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,Q4V2_R041,东疆—赛湖—喀什自然风景12日线,2244.4151,751.2452,0.0853,191,0.6,0.35,0.5242,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,2244.4151,1048.3628,0.0527,118,0.25,0.35,0.3242,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,Q4V2_R029,巴州—东疆—乌鲁木齐大众均衡12日线,3232.5562,3978.2204,0.1265,409,0.8,0.35,0.1206,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,3232.5562,2615.9044,0.1253,405,0.8,0.35,0.1036,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,Q4V2_R008,巴州—赛湖—东疆大众均衡12日线,3232.5562,7531.386,0.1116,361,0.6,0.35,0.1434,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,Q4V2_R006,东疆—北疆—赛湖自然风景12日线,3232.5562,3886.9867,0.1053,340,0.5,0.35,0.2652,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,Q4V2_R041,东疆—赛湖—喀什自然风景12日线,3232.5562,751.2452,0.1,323,1.0,0.35,0.2976,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,Q4V2_R030,巴州—乌鲁木齐—东疆亲子舒适12日线,3232.5562,467.1591,0.0994,321,0.6,0.35,0.0678,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,3232.5562,1286.0957,0.0983,318,0.6,0.35,0.3114,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,3232.5562,2683.6933,0.0977,316,0.4,0.35,0.557,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,Q4V2_R039,喀什—和田—东疆错峰分流12日线,3232.5562,301.8464,0.0898,290,0.6,0.35,0.039,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,3232.5562,1048.3628,0.046,149,0.4,0.35,0.5508,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Q4V2_R041,东疆—赛湖—喀什自然风景12日线,704.9744,751.2452,0.1225,86,1.0,0.35,0.0138,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,704.9744,2615.9044,0.1168,82,0.8,0.35,0.3874,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Q4V2_R029,巴州—东疆—乌鲁木齐大众均衡12日线,704.9744,3978.2204,0.1124,79,0.8,0.35,0.4044,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Q4V2_R008,巴州—赛湖—东疆大众均衡12日线,704.9744,7531.386,0.105,74,0.6,0.35,0.1404,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Q4V2_R006,东疆—北疆—赛湖自然风景12日线,704.9744,3886.9867,0.1046,74,0.5,0.35,0.0186,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,704.9744,1286.0957,0.1032,73,0.6,0.35,0.5952,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Q4V2_R030,巴州—乌鲁木齐—东疆亲子舒适12日线,704.9744,467.1591,0.1018,72,0.6,0.35,0.3516,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,704.9744,2683.6933,0.0903,64,0.4,0.35,0.8408,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Q4V2_R039,喀什—和田—东疆错峰分流12日线,704.9744,301.8464,0.0875,62,0.6,0.35,0.3228,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,704.9744,1048.3628,0.056,39,0.4,0.35,0.8346,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
