day_index,hub_name,room_demand,room_capacity,contributing_routes,capacity_source_type,utilization,overloaded_rooms,resource_status
7,库车市,248.4444,2250.55,Q4V2_R030,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1104,0.0,green
7,喀什市,74.0741,5088.2,Q4V2_R024,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0146,0.0,green
8,吐鲁番市,1507.6667,4109.7,Q4V2_R015;Q4V2_R018;Q4V2_R039;Q4V2_R043;Q4V2_R045;Q4V2_R048,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.3669,0.0,green
8,伊宁市(伊犁),911.1481,4207.55,Q4V2_R008;Q4V2_R011;Q4V2_R029;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.2166,0.0,green
8,库尔勒市,746.037,3718.3,Q4V2_R030;Q4V2_R041;Q4V2_R046,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.2006,0.0,green
8,阿勒泰市,369.9259,2152.7,Q4V2_R005;Q4V2_R006,simulated_limited_lodging|q4_operational_room_pool_calibrated,0.1718,0.0,green
8,库车市,285.5556,2250.55,Q4V2_R024;Q4V2_R051,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1269,0.0,green
8,乌鲁木齐市,118.8889,11742.0,Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0101,0.0,green
9,吐鲁番市,1507.6667,4109.7,Q4V2_R015;Q4V2_R018;Q4V2_R039;Q4V2_R043;Q4V2_R045;Q4V2_R048,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.3669,0.0,green
9,库车市,712.1481,2250.55,Q4V2_R008;Q4V2_R024;Q4V2_R051;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.3164,0.0,green
9,阿勒泰市,369.9259,2152.7,Q4V2_R005;Q4V2_R006,simulated_limited_lodging|q4_operational_room_pool_calibrated,0.1718,0.0,green
9,伊宁市(伊犁),534.7037,4207.55,Q4V2_R029;Q4V2_R046,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1271,0.0,green
9,库尔勒市,248.4444,3718.3,Q4V2_R030,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0668,0.0,green
9,乌鲁木齐市,566.3333,11742.0,Q4V2_R011;Q4V2_R041;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0482,0.0,green
10,吐鲁番市,1813.6667,4109.7,Q4V2_R011;Q4V2_R015;Q4V2_R018;Q4V2_R039;Q4V2_R041;Q4V2_R043;Q4V2_R045;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.4413,0.0,green
10,库车市,538.5185,2250.55,Q4V2_R024;Q4V2_R051;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.2393,0.0,green
10,阿勒泰市,369.9259,2152.7,Q4V2_R005;Q4V2_R006,simulated_limited_lodging|q4_operational_room_pool_calibrated,0.1718,0.0,green
10,伊宁市(伊犁),567.2593,4207.55,Q4V2_R046;Q4V2_R048,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1348,0.0,green
10,库尔勒市,173.6296,3718.3,Q4V2_R008,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0467,0.0,green
10,乌鲁木齐市,476.2222,11742.0,Q4V2_R029;Q4V2_R030,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0406,0.0,green
11,吐鲁番市,1877.037,4109.7,Q4V2_R008;Q4V2_R011;Q4V2_R015;Q4V2_R029;Q4V2_R030;Q4V2_R039;Q4V2_R043;Q4V2_R045,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.4567,0.0,green
11,伊宁市(伊犁),747.5926,4207.55,Q4V2_R006;Q4V2_R041;Q4V2_R048;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1777,0.0,green
11,喀什市,771.3704,5088.2,Q4V2_R046;Q4V2_R051;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1516,0.0,green
11,阿勒泰市,192.2222,2152.7,Q4V2_R005,simulated_limited_lodging|q4_operational_room_pool_calibrated,0.0893,0.0,green
11,库尔勒市,276.9259,3718.3,Q4V2_R018,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0745,0.0,green
11,库车市,74.0741,2250.55,Q4V2_R024,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0329,0.0,green
12,吐鲁番市,1877.037,4109.7,Q4V2_R008;Q4V2_R011;Q4V2_R015;Q4V2_R029;Q4V2_R030;Q4V2_R039;Q4V2_R043;Q4V2_R045,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.4567,0.0,green
12,伊宁市(伊犁),747.5926,4207.55,Q4V2_R006;Q4V2_R041;Q4V2_R048;Q4V2_R063,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1777,0.0,green
12,喀什市,771.3704,5088.2,Q4V2_R046;Q4V2_R051;Q4V2_R053,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.1516,0.0,green
12,阿勒泰市,192.2222,2152.7,Q4V2_R005,simulated_limited_lodging|q4_operational_room_pool_calibrated,0.0893,0.0,green
12,库尔勒市,276.9259,3718.3,Q4V2_R018,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0745,0.0,green
12,库车市,74.0741,2250.55,Q4V2_R024,local_hotel_price_plus_simulated_rooms|q4_operational_room_pool_calibrated,0.0329,0.0,green
