seed_id,objective,spots_count,optimized_spots_count,scheduled_days,hotel_nights,scheduled_active_hours,scheduled_travel_hours,scheduled_service_hours,transport_cost_yuan_per_two,ticket_cost_yuan_per_two,hotel_cost_yuan_room,itinerary_proxy_cost_yuan_excluding_meals,over_budget_days,time_window_violations,limited_lodging_nights,long_transfer_steps,route_sequence
SEED_011,255246.802,32,32,30,29,203.991,97.165,102.75,5580.11,3402.0,5630.0,14612.11,4,0,0,7,天山天池 -> 北庭故城遗址 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 达坂城古镇 -> 交河故城 -> 罗布人村寨 -> 博斯腾湖 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 和田博物馆 -> 千里葡萄长廊 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原
SEED_012,254873.072,32,32,30,29,200.165,93.61,102.75,3478.31,3402.0,5610.0,12490.31,5,0,0,6,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 克孜尔石窟 -> 库车王府 -> 千里葡萄长廊 -> 和田博物馆 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 博斯腾湖 -> 罗布人村寨
SEED_013,254820.139,32,32,30,29,199.743,93.688,102.75,3551.89,3402.0,5580.0,12533.89,5,0,0,6,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 千里葡萄长廊 -> 和田博物馆 -> 罗布人村寨 -> 博斯腾湖 -> 火焰山 -> 葡萄沟
SEED_014,254532.933,32,32,30,29,199.825,92.448,102.75,3362.25,3402.0,5530.0,12294.25,4,0,1,7,达坂城古镇 -> 苏公塔 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城 -> 罗布人村寨 -> 博斯腾湖 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 千里葡萄长廊 -> 和田博物馆 -> 巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池
SEED_015,254477.425,31,31,30,29,200.119,96.369,99.25,5633.3,3316.0,5690.0,14639.3,2,0,0,8,达坂城古镇 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 罗布人村寨 -> 博斯腾湖 -> 天山天池 -> 北庭故城遗址 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 夏塔古道 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 和田博物馆 -> 千里葡萄长廊
SEED_016,254139.431,31,31,30,29,201.032,96.477,99.25,5739.74,3316.0,5640.0,14695.74,3,0,0,6,达坂城古镇 -> 火焰山 -> 坎儿井民俗园 -> 交河故城 -> 罗布人村寨 -> 博斯腾湖 -> 苏公塔 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 天山天池 -> 葡萄沟 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊
SEED_017,253937.907,31,31,30,29,200.78,96.225,99.25,5608.78,3312.0,5710.0,14630.78,3,0,0,8,达坂城古镇 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 巴音布鲁克草原 -> 库车王府 -> 罗布人村寨 -> 天山神秘大峡谷 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 天山天池 -> 北庭故城遗址 -> 江布拉克草原
SEED_018,253563.066,32,32,30,29,202.613,95.058,102.75,5517.24,3402.0,5570.0,14489.24,5,0,0,6,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 博斯腾湖 -> 罗布人村寨 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原
SEED_019,223599.482,24,24,25,24,161.782,86.319,70.75,5360.11,2536.0,4640.0,12536.11,3,0,1,5,天山天池 -> 达坂城古镇 -> 苏公塔 -> 葡萄沟 -> 高昌故城 -> 火焰山 -> 吐峪沟麻扎村 -> 交河故城 -> 坎儿井民俗园 -> 北庭故城遗址 -> 和田博物馆 -> 石头城遗址 -> 香妃园 -> 艾提尕尔清真寺 -> 喀什古城 -> 库车王府 -> 罗布人村寨 -> 克孜尔石窟 -> 那拉提草原 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 果子沟大桥 -> 赛里木湖
SEED_020,-494161.891,38,38,36,35,253.127,110.328,136.25,8515.29,4892.0,7760.0,21167.29,8,0,3,7,天山天池 -> 北庭故城遗址 -> 江布拉克草原 -> 达坂城古镇 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 罗布人村寨 -> 博斯腾湖 -> 克孜尔石窟 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 那拉提草原 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 禾木村 -> 世界魔鬼城 -> 五彩滩 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 和田博物馆 -> 千里葡萄长廊 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园
SEED_021,-350282.265,36,36,35,34,247.456,120.206,121.75,9891.9,4564.0,7080.0,21535.9,8,0,1,8,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 高昌故城 -> 吐峪沟麻扎村 -> 火焰山 -> 博斯腾湖 -> 罗布人村寨 -> 北庭故城遗址 -> 江布拉克草原 -> 可可托海 -> 五彩滩 -> 喀纳斯湖 -> 白哈巴村 -> 和田博物馆 -> 千里葡萄长廊 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 喀什古城 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 香妃园 -> 天山天池 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 赛里木湖 -> 果子沟大桥
SEED_022,-371363.714,37,37,35,34,242.551,112.725,124.25,8513.24,4688.0,7390.0,20591.24,7,0,3,7,天山天池 -> 北庭故城遗址 -> 江布拉克草原 -> 达坂城古镇 -> 坎儿井民俗园 -> 吐峪沟麻扎村 -> 高昌故城 -> 交河故城 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 博斯腾湖 -> 罗布人村寨 -> 克孜尔石窟 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 那拉提草原 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀纳斯湖 -> 世界魔鬼城 -> 五彩滩 -> 白哈巴村 -> 可可托海 -> 香妃园 -> 喀什古城 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 和田博物馆 -> 千里葡萄长廊
