persona_id,day,visit_spots_count,visit_spots,day_travel_hours,day_service_hours,day_active_hours,transport_cost_yuan_for_two,distance_km,risk_proxy,fatigue_index,comfort_score,stress_level
family_comfort,4,1,吐峪沟麻扎村,0.594,2.5,3.094,11.08,20.147,0.046,0.69,99.31,green
family_comfort,5,1,北庭故城遗址,4.702,1.5,6.202,190.84,346.988,0.12,8.85,91.15,green
family_comfort,6,1,江布拉克草原,1.334,3.5,4.834,38.39,69.796,0.059,2.39,97.61,green
family_comfort,7,1,天山天池,1.957,5.0,6.957,94.59,171.989,0.095,3.86,96.14,green
family_comfort,8,0,跨区转场至赛里木湖,6.21,0.0,6.21,323.25,587.736,0.172,23.71,76.29,yellow
family_comfort,9,1,赛里木湖,0.0,6.0,6.0,0.0,0.0,0.02,1.8,98.2,green
family_comfort,10,2,霍城薰衣草花田 -> 果子沟大桥,1.752,4.0,5.752,56.13,102.053,0.127,1.9,98.1,green
family_comfort,11,0,跨区转场至喀拉峻大草原,5.036,0.0,5.036,187.09,340.162,0.151,12.08,87.92,green
family_comfort,12,1,喀拉峻大草原,0.0,6.0,6.0,0.0,0.0,0.02,1.8,98.2,green
family_comfort,13,1,夏塔古道,3.426,5.0,8.426,104.41,189.843,0.122,21.18,78.82,yellow
family_comfort,14,1,昭苏草原,3.726,3.5,7.226,66.27,120.499,0.102,6.81,93.19,green
family_comfort,15,0,跨区转场至那拉提草原,7.238,0.0,7.238,169.17,307.584,0.19,41.61,58.39,red
family_comfort,16,1,那拉提草原,0.0,6.0,6.0,0.0,0.0,0.02,1.8,98.2,green
family_comfort,17,0,跨区转场至博斯腾湖,7.945,0.0,7.945,241.1,438.359,0.178,55.38,44.62,red
family_comfort,18,1,博斯腾湖,0.0,3.5,3.5,0.0,0.0,0.02,1.8,98.2,green
family_comfort,19,1,罗布人村寨,2.921,2.5,5.421,95.13,172.955,0.088,1.31,98.69,green
family_comfort,20,0,跨区转场至天山神秘大峡谷,6.418,0.0,6.418,245.22,445.862,0.151,25.6,74.4,yellow
family_comfort,21,2,天山神秘大峡谷 -> 库车王府,1.301,5.0,6.301,36.48,66.329,0.103,3.05,96.95,green
family_comfort,22,1,克孜尔石窟,1.271,2.5,3.771,35.86,65.208,0.058,0.87,99.13,green
family_comfort,23,0,跨区转场至艾提尕尔清真寺,7.542,0.0,7.542,383.27,696.853,0.196,46.58,53.42,red
family_comfort,24,2,艾提尕尔清真寺 -> 喀什古城,0.151,5.0,5.151,1.2,2.175,0.083,2.74,97.26,green
family_comfort,25,1,奥依塔克冰川,2.155,3.5,5.655,57.44,104.429,0.099,1.48,98.52,green
family_comfort,26,1,帕米尔高原白沙湖,2.358,2.5,4.858,66.09,120.168,0.137,2.06,97.94,green
family_comfort,27,1,石头城遗址,1.602,2.5,4.102,55.56,101.012,0.124,1.86,98.14,green
family_comfort,28,1,香妃园,5.106,2.5,7.606,156.66,284.837,0.152,20.72,79.28,yellow
family_comfort,29,0,跨区转场至和田博物馆,5.571,0.0,5.571,273.86,497.932,0.16,18.6,81.4,yellow
family_comfort,30,1,和田博物馆,0.0,2.5,2.5,0.0,0.0,0.02,1.8,98.2,green
senior_slow,1,2,达坂城古镇 -> 交河故城,2.741,4.25,6.991,113.16,205.75,0.144,11.03,88.97,green
senior_slow,2,3,坎儿井民俗园 -> 苏公塔 -> 葡萄沟,0.857,6.0,6.857,13.64,24.798,0.145,11.73,88.27,green
senior_slow,3,2,火焰山 -> 高昌故城,0.902,5.0,5.902,24.5,44.547,0.086,1.61,98.39,green
senior_slow,4,1,吐峪沟麻扎村,0.594,2.5,3.094,11.08,20.147,0.046,0.69,99.31,green
senior_slow,5,0,跨区转场至天山天池,3.907,0.0,3.907,169.98,309.055,0.13,6.78,93.22,green
senior_slow,6,1,天山天池,0.0,5.0,5.0,0.0,0.0,0.02,1.8,98.2,green
senior_slow,7,0,跨区转场至赛里木湖,6.21,0.0,6.21,323.25,587.736,0.172,31.23,68.77,red
senior_slow,8,1,赛里木湖,0.0,6.0,6.0,0.0,0.0,0.02,2.6,97.4,green
senior_slow,9,2,霍城薰衣草花田 -> 果子沟大桥,1.752,4.0,5.752,56.13,102.053,0.127,1.9,98.1,green
senior_slow,10,0,跨区转场至喀拉峻大草原,5.036,0.0,5.036,187.09,340.162,0.151,16.62,83.38,yellow
senior_slow,11,1,喀拉峻大草原,0.0,6.0,6.0,0.0,0.0,0.02,2.6,97.4,green
senior_slow,12,0,跨区转场至夏塔古道,3.426,0.0,3.426,104.41,189.843,0.122,3.56,96.44,green
senior_slow,13,1,夏塔古道,0.0,5.0,5.0,0.0,0.0,0.02,1.8,98.2,green
senior_slow,14,0,跨区转场至昭苏草原,3.726,0.0,3.726,66.27,120.499,0.102,5.1,94.9,green
senior_slow,15,1,昭苏草原,0.0,3.5,3.5,0.0,0.0,0.02,1.8,98.2,green
senior_slow,16,0,跨区转场至那拉提草原,7.238,0.0,7.238,169.17,307.584,0.19,52.98,47.02,red
senior_slow,17,1,那拉提草原,0.0,6.0,6.0,0.0,0.0,0.02,2.6,97.4,green
senior_slow,18,0,跨区转场至罗布人村寨,8.048,0.0,8.048,275.95,501.722,0.18,79.49,20.51,red
senior_slow,19,1,罗布人村寨,0.0,2.5,2.5,0.0,0.0,0.02,1.8,98.2,green
senior_slow,20,1,库车王府,5.437,1.5,6.937,214.57,390.126,0.158,29.0,71.0,red
senior_slow,21,1,克孜尔石窟,1.271,2.5,3.771,35.86,65.208,0.058,2.37,97.63,green
senior_slow,22,0,跨区转场至喀什古城,7.561,0.0,7.561,383.3,696.908,0.196,62.49,37.51,red
senior_slow,23,1,喀什古城,0.0,3.5,3.5,0.0,0.0,0.02,1.8,98.2,green
explorer_dense,1,3,达坂城古镇 -> 交河故城 -> 坎儿井民俗园,3.043,5.75,8.793,118.53,215.521,0.185,5.06,94.94,green
explorer_dense,2,3,苏公塔 -> 葡萄沟 -> 火焰山,1.126,7.0,8.126,25.06,45.56,0.15,4.25,95.75,green
explorer_dense,3,2,高昌故城 -> 吐峪沟麻扎村,0.925,5.0,5.925,18.79,34.161,0.087,1.3,98.7,green
explorer_dense,4,1,北庭故城遗址,4.702,1.5,6.202,190.84,346.988,0.12,1.79,98.21,green
explorer_dense,5,1,江布拉克草原,1.334,3.5,4.834,38.39,69.796,0.059,0.89,99.11,green
explorer_dense,6,1,天山天池,1.957,5.0,6.957,94.59,171.989,0.095,1.43,98.57,green
explorer_dense,7,0,跨区转场至赛里木湖,6.21,0.0,6.21,323.25,587.736,0.172,6.04,93.96,green
explorer_dense,8,2,赛里木湖 -> 霍城薰衣草花田,1.155,8.5,9.655,37.03,67.334,0.101,9.59,90.41,green
explorer_dense,9,1,果子沟大桥,0.597,1.5,2.097,19.1,34.719,0.046,0.69,99.31,green
explorer_dense,10,1,喀拉峻大草原,5.036,6.0,11.036,187.09,340.162,0.151,33.77,66.23,red
explorer_dense,11,1,夏塔古道,3.426,5.0,8.426,104.41,189.843,0.122,1.83,98.17,green
explorer_dense,12,1,昭苏草原,3.726,3.5,7.226,66.27,120.499,0.102,1.53,98.47,green
explorer_dense,13,0,跨区转场至那拉提草原,7.238,0.0,7.238,169.17,307.584,0.19,14.45,85.55,green
explorer_dense,14,1,那拉提草原,0.0,6.0,6.0,0.0,0.0,0.02,1.8,98.2,green
explorer_dense,15,0,跨区转场至博斯腾湖,7.945,0.0,7.945,241.1,438.359,0.178,21.06,78.94,yellow
explorer_dense,16,2,博斯腾湖 -> 罗布人村寨,2.921,6.0,8.921,95.13,172.955,0.108,4.03,95.97,green
explorer_dense,17,0,跨区转场至巴音布鲁克草原,6.582,0.0,6.582,243.67,443.035,0.178,8.79,91.21,green
explorer_dense,18,1,巴音布鲁克草原,0.0,6.0,6.0,0.0,0.0,0.02,1.8,98.2,green
explorer_dense,19,2,天山神秘大峡谷 -> 库车王府,4.678,5.0,9.678,142.53,259.148,0.179,9.48,90.52,green
explorer_dense,20,1,克孜尔石窟,1.271,2.5,3.771,35.86,65.208,0.058,0.87,99.13,green
explorer_dense,21,1,艾提尕尔清真寺,7.542,1.5,9.042,383.27,696.853,0.196,19.0,81.0,yellow
explorer_dense,22,2,喀什古城 -> 奥依塔克冰川,2.306,7.0,9.306,58.64,106.604,0.162,7.48,92.52,green
explorer_dense,23,2,帕米尔高原白沙湖 -> 石头城遗址,3.96,5.0,8.96,121.65,221.18,0.261,5.06,94.94,green
explorer_dense,24,1,香妃园,5.106,2.5,7.606,156.66,284.837,0.152,2.28,97.72,green
explorer_dense,25,2,和田博物馆 -> 千里葡萄长廊,5.967,4.0,9.967,280.79,510.533,0.227,15.01,84.99,green
