from_spot_id,from_spot_name,to_spot_id,to_spot_name,scenario_id,shortest_time_hours,shortest_cost_yuan_per_two,path_risk,path_modes
P002,达坂城古镇,P021,可可托海,base_summer,6.861,343.87,0.248,self_drive
P002,达坂城古镇,P022,五彩滩,base_summer,7.231,351.88,0.253,self_drive
P002,达坂城古镇,P023,世界魔鬼城,base_summer,5.36,287.44,0.214,self_drive
P002,达坂城古镇,P024,喀什古城,base_summer,8.274,2629.93,0.233,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P002,达坂城古镇,P025,艾提尕尔清真寺,base_summer,8.274,2629.93,0.233,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P002,达坂城古镇,P026,香妃园,base_summer,8.274,2629.93,0.233,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P002,达坂城古镇,P027,帕米尔高原白沙湖,base_summer,11.921,2734.56,0.336,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P002,达坂城古镇,P028,石头城遗址,base_summer,12.774,2789.43,0.313,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P002,达坂城古镇,P029,天山神秘大峡谷,base_summer,8.807,1249.93,0.233,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P002,达坂城古镇,P030,库车王府,base_summer,7.607,1249.93,0.233,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P002,达坂城古镇,P031,克孜尔石窟,base_summer,8.63,403.6,0.325,self_drive
P002,达坂城古镇,P032,博斯腾湖,base_summer,4.942,188.05,0.154,self_drive
P002,达坂城古镇,P033,巴音布鲁克草原,base_summer,6.552,254.62,0.194,self_drive
P002,达坂城古镇,P034,罗布人村寨,base_summer,5.458,258.61,0.197,self_drive
P002,达坂城古镇,P035,江布拉克草原,base_summer,3.63,182.41,0.151,self_drive
P002,达坂城古镇,P036,北庭故城遗址,base_summer,2.967,149.02,0.13,self_drive
P002,达坂城古镇,P037,和田博物馆,base_summer,8.274,2441.93,0.233,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P002,达坂城古镇,P038,尼雅遗址,base_summer,11.474,2502.43,0.313,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P002,达坂城古镇,P039,千里葡萄长廊,base_summer,8.274,2441.93,0.233,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P002,达坂城古镇,P040,奥依塔克冰川,base_summer,9.974,2629.93,0.233,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P003,火焰山,P001,天山天池,base_summer,3.571,159.44,0.137,self_drive
P003,火焰山,P002,达坂城古镇,base_summer,2.086,81.4,0.089,self_drive
P003,火焰山,P003,火焰山,base_summer,0.0,0.0,0.0,
P003,火焰山,P004,葡萄沟,base_summer,0.578,16.67,0.05,self_drive
P003,火焰山,P005,坎儿井民俗园,base_summer,0.679,18.14,0.051,self_drive
P003,火焰山,P006,交河故城,base_summer,0.801,22.99,0.054,self_drive
P003,火焰山,P007,楼兰古城,base_summer,10.003,2697.78,0.315,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P003,火焰山,P008,赛里木湖,base_summer,8.365,417.72,0.33,self_drive
P003,火焰山,P009,那拉提草原,base_summer,9.694,354.14,0.295,self_drive
P003,火焰山,P010,喀拉峻大草原,base_summer,12.787,359.96,0.33,self_drive -> scenic_shuttle -> transfer -> rail -> rail -> transfer -> self_drive -> scenic_shuttle
P003,火焰山,P011,高昌故城,base_summer,0.331,7.71,0.045,self_drive
P003,火焰山,P012,苏公塔,base_summer,0.521,15.71,0.05,self_drive
P003,火焰山,P013,吐峪沟麻扎村,base_summer,0.378,10.74,0.047,self_drive
P003,火焰山,P014,霍城薰衣草花田,base_summer,9.312,451.64,0.33,self_drive
P003,火焰山,P015,昭苏草原,base_summer,14.955,604.34,0.463,self_drive -> self_drive
P003,火焰山,P016,夏塔古道,base_summer,13.787,460.71,0.33,self_drive -> scenic_shuttle -> transfer -> rail -> rail -> transfer -> self_drive -> scenic_shuttle
P003,火焰山,P017,果子沟大桥,base_summer,8.665,447.72,0.41,self_drive -> scenic_shuttle -> scenic_shuttle
P003,火焰山,P018,喀纳斯湖,base_summer,9.043,448.57,0.41,self_drive -> scenic_shuttle -> scenic_shuttle
P003,火焰山,P019,禾木村,base_summer,9.043,448.57,0.41,self_drive -> scenic_shuttle -> scenic_shuttle
P003,火焰山,P020,白哈巴村,base_summer,9.901,465.8,0.46,self_drive -> scenic_shuttle -> scenic_shuttle -> self_drive
P003,火焰山,P021,可可托海,base_summer,8.53,410.56,0.329,self_drive
P003,火焰山,P022,五彩滩,base_summer,8.743,418.57,0.33,self_drive
P003,火焰山,P023,世界魔鬼城,base_summer,7.072,354.13,0.255,self_drive
P003,火焰山,P024,喀什古城,base_summer,9.87,2696.62,0.274,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P003,火焰山,P025,艾提尕尔清真寺,base_summer,9.87,2696.62,0.274,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P003,火焰山,P026,香妃园,base_summer,9.87,2696.62,0.274,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P003,火焰山,P027,帕米尔高原白沙湖,base_summer,13.517,2801.25,0.377,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P003,火焰山,P028,石头城遗址,base_summer,14.37,2856.12,0.354,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P003,火焰山,P029,天山神秘大峡谷,base_summer,9.851,402.72,0.324,self_drive
P003,火焰山,P030,库车王府,base_summer,8.876,372.07,0.305,self_drive
P003,火焰山,P031,克孜尔石窟,base_summer,9.86,401.98,0.324,self_drive
P003,火焰山,P032,博斯腾湖,base_summer,5.568,195.61,0.159,self_drive
P003,火焰山,P033,巴音布鲁克草原,base_summer,8.213,321.31,0.275,self_drive
P003,火焰山,P034,罗布人村寨,base_summer,6.321,249.21,0.21,self_drive -> scenic_shuttle -> self_drive -> scenic_shuttle
P003,火焰山,P035,江布拉克草原,base_summer,4.531,178.66,0.148,self_drive
P003,火焰山,P036,北庭故城遗址,base_summer,4.776,196.34,0.159,self_drive
P003,火焰山,P037,和田博物馆,base_summer,9.87,2508.62,0.274,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P003,火焰山,P038,尼雅遗址,base_summer,13.07,2569.12,0.354,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P003,火焰山,P039,千里葡萄长廊,base_summer,9.87,2508.62,0.274,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P003,火焰山,P040,奥依塔克冰川,base_summer,11.57,2696.62,0.274,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P004,葡萄沟,P001,天山天池,base_summer,3.245,147.52,0.129,self_drive
P004,葡萄沟,P002,达坂城古镇,base_summer,1.772,69.48,0.082,self_drive
P004,葡萄沟,P003,火焰山,base_summer,0.571,16.79,0.05,self_drive
P004,葡萄沟,P004,葡萄沟,base_summer,0.0,0.0,0.0,
P004,葡萄沟,P005,坎儿井民俗园,base_summer,0.416,7.54,0.045,self_drive
P004,葡萄沟,P006,交河故城,base_summer,0.54,11.18,0.047,self_drive
P004,葡萄沟,P007,楼兰古城,base_summer,9.69,2685.87,0.307,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P004,葡萄沟,P008,赛里木湖,base_summer,7.994,405.8,0.286,self_drive
P004,葡萄沟,P009,那拉提草原,base_summer,9.396,342.22,0.287,self_drive
P004,葡萄沟,P010,喀拉峻大草原,base_summer,12.266,344.25,0.28,scenic_shuttle -> transfer -> rail -> rail -> transfer -> self_drive -> scenic_shuttle
P004,葡萄沟,P011,高昌故城,base_summer,0.853,21.49,0.053,self_drive
P004,葡萄沟,P012,苏公塔,base_summer,0.295,5.0,0.043,self_drive
P004,葡萄沟,P013,吐峪沟麻扎村,base_summer,0.907,27.34,0.057,self_drive
P004,葡萄沟,P014,霍城薰衣草花田,base_summer,8.974,439.73,0.33,self_drive
P004,葡萄沟,P015,昭苏草原,base_summer,14.617,592.43,0.463,self_drive -> self_drive
P004,葡萄沟,P016,夏塔古道,base_summer,13.266,445.0,0.28,scenic_shuttle -> transfer -> rail -> rail -> transfer -> self_drive -> scenic_shuttle
P004,葡萄沟,P017,果子沟大桥,base_summer,8.294,435.8,0.366,self_drive -> scenic_shuttle -> scenic_shuttle
P004,葡萄沟,P018,喀纳斯湖,base_summer,8.715,436.66,0.406,self_drive -> scenic_shuttle -> scenic_shuttle
P004,葡萄沟,P019,禾木村,base_summer,8.715,436.66,0.406,self_drive -> scenic_shuttle -> scenic_shuttle
P004,葡萄沟,P020,白哈巴村,base_summer,9.573,453.89,0.456,self_drive -> scenic_shuttle -> scenic_shuttle -> self_drive
P004,葡萄沟,P021,可可托海,base_summer,8.191,398.64,0.322,self_drive
P004,葡萄沟,P022,五彩滩,base_summer,8.415,406.66,0.326,self_drive
P004,葡萄沟,P023,世界魔鬼城,base_summer,6.735,342.22,0.247,self_drive
P004,葡萄沟,P024,喀什古城,base_summer,9.557,2684.71,0.266,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P004,葡萄沟,P025,艾提尕尔清真寺,base_summer,9.557,2684.71,0.266,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P004,葡萄沟,P026,香妃园,base_summer,9.557,2684.71,0.266,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P004,葡萄沟,P027,帕米尔高原白沙湖,base_summer,13.204,2789.34,0.369,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P004,葡萄沟,P028,石头城遗址,base_summer,14.057,2844.21,0.346,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P004,葡萄沟,P029,天山神秘大峡谷,base_summer,9.664,392.26,0.318,self_drive
P004,葡萄沟,P030,库车王府,base_summer,8.667,361.61,0.299,self_drive
P004,葡萄沟,P031,克孜尔石窟,base_summer,9.652,391.53,0.317,self_drive
P004,葡萄沟,P032,博斯腾湖,base_summer,5.1,233.5,0.16,scenic_shuttle -> self_drive -> scenic_shuttle
P004,葡萄沟,P033,巴音布鲁克草原,base_summer,7.92,309.39,0.228,self_drive
P004,葡萄沟,P034,罗布人村寨,base_summer,5.8,233.5,0.16,scenic_shuttle -> self_drive -> scenic_shuttle
P004,葡萄沟,P035,江布拉克草原,base_summer,5.022,195.14,0.158,self_drive
P004,葡萄沟,P036,北庭故城遗址,base_summer,4.291,203.8,0.164,self_drive
P004,葡萄沟,P037,和田博物馆,base_summer,9.557,2496.71,0.266,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P004,葡萄沟,P038,尼雅遗址,base_summer,12.757,2557.21,0.346,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P004,葡萄沟,P039,千里葡萄长廊,base_summer,9.557,2496.71,0.266,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P004,葡萄沟,P040,奥依塔克冰川,base_summer,11.257,2684.71,0.266,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P005,坎儿井民俗园,P001,天山天池,base_summer,3.268,145.56,0.128,self_drive
P005,坎儿井民俗园,P002,达坂城古镇,base_summer,1.794,67.52,0.081,self_drive
P005,坎儿井民俗园,P003,火焰山,base_summer,0.669,18.0,0.051,self_drive
P005,坎儿井民俗园,P004,葡萄沟,base_summer,0.442,7.9,0.045,self_drive
P005,坎儿井民俗园,P005,坎儿井民俗园,base_summer,0.0,0.0,0.0,
P005,坎儿井民俗园,P006,交河故城,base_summer,0.223,4.16,0.043,self_drive
P005,坎儿井民俗园,P007,楼兰古城,base_summer,9.702,2683.91,0.306,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P005,坎儿井民俗园,P008,赛里木湖,base_summer,8.023,403.84,0.325,self_drive
P005,坎儿井民俗园,P009,那拉提草原,base_summer,9.838,350.12,0.332,self_drive -> self_drive
P005,坎儿井民俗园,P010,喀拉峻大草原,base_summer,12.266,344.25,0.28,scenic_shuttle -> transfer -> rail -> rail -> transfer -> self_drive -> scenic_shuttle
P005,坎儿井民俗园,P011,高昌故城,base_summer,0.953,22.7,0.054,self_drive
P005,坎儿井民俗园,P012,苏公塔,base_summer,0.257,3.27,0.042,self_drive
P005,坎儿井民俗园,P013,吐峪沟麻扎村,base_summer,1.016,28.55,0.057,self_drive
P005,坎儿井民俗园,P014,霍城薰衣草花田,base_summer,8.995,437.76,0.33,self_drive
P005,坎儿井民俗园,P015,昭苏草原,base_summer,14.638,590.46,0.463,self_drive -> self_drive
P005,坎儿井民俗园,P016,夏塔古道,base_summer,13.266,445.0,0.28,scenic_shuttle -> transfer -> rail -> rail -> transfer -> self_drive -> scenic_shuttle
P005,坎儿井民俗园,P017,果子沟大桥,base_summer,8.323,433.84,0.405,self_drive -> scenic_shuttle -> scenic_shuttle
P005,坎儿井民俗园,P018,喀纳斯湖,base_summer,8.727,434.69,0.405,self_drive -> scenic_shuttle -> scenic_shuttle
P005,坎儿井民俗园,P019,禾木村,base_summer,8.727,434.69,0.405,self_drive -> scenic_shuttle -> scenic_shuttle
P005,坎儿井民俗园,P020,白哈巴村,base_summer,9.585,451.92,0.455,self_drive -> scenic_shuttle -> scenic_shuttle -> self_drive
P005,坎儿井民俗园,P021,可可托海,base_summer,8.213,396.68,0.32,self_drive
P005,坎儿井民俗园,P022,五彩滩,base_summer,8.427,404.69,0.325,self_drive
P005,坎儿井民俗园,P023,世界魔鬼城,base_summer,6.753,340.25,0.246,self_drive
P005,坎儿井民俗园,P024,喀什古城,base_summer,9.569,2682.75,0.265,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P005,坎儿井民俗园,P025,艾提尕尔清真寺,base_summer,9.569,2682.75,0.265,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P005,坎儿井民俗园,P026,香妃园,base_summer,9.569,2682.75,0.265,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P005,坎儿井民俗园,P027,帕米尔高原白沙湖,base_summer,13.216,2787.38,0.368,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P005,坎儿井民俗园,P028,石头城遗址,base_summer,14.069,2842.25,0.345,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P005,坎儿井民俗园,P029,天山神秘大峡谷,base_summer,9.266,385.36,0.314,self_drive
P005,坎儿井民俗园,P030,库车王府,base_summer,8.281,354.71,0.295,self_drive
P005,坎儿井民俗园,P031,克孜尔石窟,base_summer,9.294,384.63,0.313,self_drive
P005,坎儿井民俗园,P032,博斯腾湖,base_summer,5.071,178.26,0.148,self_drive
P005,坎儿井民俗园,P033,巴音布鲁克草原,base_summer,8.346,322.14,0.275,self_drive -> self_drive
P005,坎儿井民俗园,P034,罗布人村寨,base_summer,5.8,233.5,0.16,scenic_shuttle -> self_drive -> scenic_shuttle
P005,坎儿井民俗园,P035,江布拉克草原,base_summer,5.135,196.35,0.159,self_drive
P005,坎儿井民俗园,P036,北庭故城遗址,base_summer,4.309,201.83,0.162,self_drive
P005,坎儿井民俗园,P037,和田博物馆,base_summer,9.569,2494.75,0.265,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P005,坎儿井民俗园,P038,尼雅遗址,base_summer,12.769,2555.25,0.345,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P005,坎儿井民俗园,P039,千里葡萄长廊,base_summer,9.569,2494.75,0.265,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P005,坎儿井民俗园,P040,奥依塔克冰川,base_summer,11.269,2682.75,0.265,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P006,交河故城,P001,天山天池,base_summer,3.483,149.86,0.131,self_drive
P006,交河故城,P002,达坂城古镇,base_summer,1.992,71.82,0.084,self_drive
P006,交河故城,P003,火焰山,base_summer,0.865,24.08,0.055,self_drive
P006,交河故城,P004,葡萄沟,base_summer,0.6,30.0,0.08,scenic_shuttle -> scenic_shuttle
P006,交河故城,P005,坎儿井民俗园,base_summer,0.302,5.37,0.043,self_drive
P006,交河故城,P006,交河故城,base_summer,0.0,0.0,0.0,
P006,交河故城,P007,楼兰古城,base_summer,9.716,2680.16,0.321,scenic_shuttle -> transfer -> rail -> transfer -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P006,交河故城,P008,赛里木湖,base_summer,8.267,408.14,0.327,self_drive
P006,交河故城,P009,那拉提草原,base_summer,9.996,372.22,0.367,scenic_shuttle -> scenic_shuttle -> self_drive
P006,交河故城,P010,喀拉峻大草原,base_summer,12.266,344.25,0.28,scenic_shuttle -> transfer -> rail -> rail -> transfer -> self_drive -> scenic_shuttle
P006,交河故城,P011,高昌故城,base_summer,1.148,28.77,0.057,self_drive
P006,交河故城,P012,苏公塔,base_summer,0.458,8.91,0.045,self_drive
P006,交河故城,P013,吐峪沟麻扎村,base_summer,1.209,34.62,0.061,self_drive
P006,交河故城,P014,霍城薰衣草花田,base_summer,9.229,442.07,0.33,self_drive
P006,交河故城,P015,昭苏草原,base_summer,14.766,380.0,0.28,scenic_shuttle -> transfer -> rail -> rail -> transfer -> self_drive -> scenic_shuttle
P006,交河故城,P016,夏塔古道,base_summer,13.266,445.0,0.28,scenic_shuttle -> transfer -> rail -> rail -> transfer -> self_drive -> scenic_shuttle
P006,交河故城,P017,果子沟大桥,base_summer,8.567,438.14,0.407,self_drive -> scenic_shuttle -> scenic_shuttle
P006,交河故城,P018,喀纳斯湖,base_summer,8.974,438.99,0.408,self_drive -> scenic_shuttle -> scenic_shuttle
P006,交河故城,P019,禾木村,base_summer,8.974,438.99,0.408,self_drive -> scenic_shuttle -> scenic_shuttle
P006,交河故城,P020,白哈巴村,base_summer,9.832,456.22,0.458,self_drive -> scenic_shuttle -> scenic_shuttle -> self_drive
P006,交河故城,P021,可可托海,base_summer,8.452,400.98,0.323,self_drive
P006,交河故城,P022,五彩滩,base_summer,8.674,408.99,0.328,self_drive
P006,交河故城,P023,世界魔鬼城,base_summer,6.987,344.56,0.249,self_drive
P006,交河故城,P024,喀什古城,base_summer,9.583,2679.0,0.28,scenic_shuttle -> transfer -> rail -> transfer -> transfer -> air -> transfer -> scenic_shuttle
P006,交河故城,P025,艾提尕尔清真寺,base_summer,9.583,2679.0,0.28,scenic_shuttle -> transfer -> rail -> transfer -> transfer -> air -> transfer -> scenic_shuttle
P006,交河故城,P026,香妃园,base_summer,9.583,2679.0,0.28,scenic_shuttle -> transfer -> rail -> transfer -> transfer -> air -> transfer -> scenic_shuttle
P006,交河故城,P027,帕米尔高原白沙湖,base_summer,13.23,2783.63,0.383,scenic_shuttle -> transfer -> rail -> transfer -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P006,交河故城,P028,石头城遗址,base_summer,14.083,2838.5,0.36,scenic_shuttle -> transfer -> rail -> transfer -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P006,交河故城,P029,天山神秘大峡谷,base_summer,9.447,389.22,0.316,self_drive
P006,交河故城,P030,库车王府,base_summer,8.45,358.57,0.297,self_drive
P006,交河故城,P031,克孜尔石窟,base_summer,9.457,388.48,0.315,self_drive
P006,交河故城,P032,博斯腾湖,base_summer,5.1,233.5,0.16,scenic_shuttle -> self_drive -> scenic_shuttle
P006,交河故城,P033,巴音布鲁克草原,base_summer,8.52,339.39,0.308,scenic_shuttle -> scenic_shuttle -> self_drive
P006,交河故城,P034,罗布人村寨,base_summer,5.8,233.5,0.16,scenic_shuttle -> self_drive -> scenic_shuttle
P006,交河故城,P035,江布拉克草原,base_summer,5.225,230.68,0.237,scenic_shuttle -> transfer -> rail -> transfer -> self_drive
P006,交河故城,P036,北庭故城遗址,base_summer,4.53,197.29,0.217,scenic_shuttle -> transfer -> rail -> transfer -> self_drive
P006,交河故城,P037,和田博物馆,base_summer,9.583,2491.0,0.28,scenic_shuttle -> transfer -> rail -> transfer -> transfer -> air -> transfer -> scenic_shuttle
P006,交河故城,P038,尼雅遗址,base_summer,12.783,2551.5,0.36,scenic_shuttle -> transfer -> rail -> transfer -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P006,交河故城,P039,千里葡萄长廊,base_summer,9.583,2491.0,0.28,scenic_shuttle -> transfer -> rail -> transfer -> transfer -> air -> transfer -> scenic_shuttle
P006,交河故城,P040,奥依塔克冰川,base_summer,11.283,2679.0,0.28,scenic_shuttle -> transfer -> rail -> transfer -> transfer -> air -> transfer -> scenic_shuttle
P007,楼兰古城,P001,天山天池,base_summer,8.215,2613.75,0.263,self_drive -> scenic_shuttle -> transfer -> air -> transfer -> self_drive
P007,楼兰古城,P002,达坂城古镇,base_summer,8.581,2632.16,0.275,self_drive -> scenic_shuttle -> transfer -> air -> transfer -> self_drive
P007,楼兰古城,P003,火焰山,base_summer,9.974,2699.07,0.315,self_drive -> scenic_shuttle -> transfer -> air -> transfer -> self_drive
P007,楼兰古城,P004,葡萄沟,base_summer,9.647,2686.97,0.308,self_drive -> scenic_shuttle -> transfer -> air -> transfer -> self_drive
P007,楼兰古城,P005,坎儿井民俗园,base_summer,9.665,2684.96,0.307,self_drive -> scenic_shuttle -> transfer -> air -> transfer -> self_drive
P007,楼兰古城,P006,交河故城,base_summer,9.772,2688.05,0.308,self_drive -> scenic_shuttle -> transfer -> air -> transfer -> self_drive
P007,楼兰古城,P007,楼兰古城,base_summer,0.0,0.0,0.0,
P007,楼兰古城,P008,赛里木湖,base_summer,13.08,2877.22,0.423,self_drive -> scenic_shuttle -> transfer -> air -> transfer -> self_drive
