edge_id,from_hub_id,from_hub_name,to_hub_id,to_hub_name,mode,distance_km,time_hours,avg_speed_kmh,route_note,directionality_assumption,is_seasonal_sensitive,touches_external_node
E030,H003,达坂城镇,H002,吐鲁番市,self_drive_road,120.0,1.8,66.66666666666667,G30连霍高速,two_way_from_undirected_source,False,False
E031,H002,吐鲁番市,H015,鄯善县(库木塔格沙漠),self_drive_road,90.0,1.2,75.0,G30连霍高速,two_way_from_undirected_source,False,False
E032,H015,鄯善县(库木塔格沙漠),H002,吐鲁番市,self_drive_road,90.0,1.2,75.0,G30连霍高速,two_way_from_undirected_source,False,False
E033,H004,伊宁市(伊犁),H016,霍城县(惠远古城),self_drive_road,45.0,1.0,45.0,清伊高速+G218线,two_way_from_undirected_source,False,False
E034,H016,霍城县(惠远古城),H004,伊宁市(伊犁),self_drive_road,45.0,1.0,45.0,清伊高速+G218线,two_way_from_undirected_source,False,False
E035,H004,伊宁市(伊犁),H017,特克斯县(八卦城),self_drive_road,115.0,2.0,57.5,S220线,two_way_from_undirected_source,False,False
E036,H017,特克斯县(八卦城),H004,伊宁市(伊犁),self_drive_road,115.0,2.0,57.5,S220线,two_way_from_undirected_source,False,False
E037,H004,伊宁市(伊犁),H018,昭苏县(夏塔古道),self_drive_road,180.0,3.5,51.42857142857143,S237线,two_way_from_undirected_source,False,False
E038,H018,昭苏县(夏塔古道),H004,伊宁市(伊犁),self_drive_road,180.0,3.5,51.42857142857143,S237线,two_way_from_undirected_source,False,False
E039,H009,那拉提镇,H019,巴音布鲁克,self_drive_road,160.0,2.5,64.0,G218国道,two_way_from_undirected_source,False,False
E040,H019,巴音布鲁克,H009,那拉提镇,self_drive_road,160.0,2.5,64.0,G218国道,two_way_from_undirected_source,False,False
E041,H019,巴音布鲁克,H020,库车市,self_drive_road,260.0,4.0,65.0,G217独库公路,two_way_from_undirected_source,True,False
E042,H020,库车市,H019,巴音布鲁克,self_drive_road,260.0,4.0,65.0,G217独库公路,two_way_from_undirected_source,True,False
E043,H020,库车市,H005,喀什市,self_drive_road,710.0,9.0,78.88888888888889,吐和高速,two_way_from_undirected_source,False,False
E044,H005,喀什市,H020,库车市,self_drive_road,710.0,9.0,78.88888888888889,吐和高速,two_way_from_undirected_source,False,False
E045,H005,喀什市,H021,塔什库尔干县(帕米尔高原),self_drive_road,290.0,4.5,64.44444444444444,G314中巴公路,two_way_from_undirected_source,False,False
E046,H021,塔什库尔干县(帕米尔高原),H005,喀什市,self_drive_road,290.0,4.5,64.44444444444444,G314中巴公路,two_way_from_undirected_source,False,False
E047,H005,喀什市,H022,莎车县,self_drive_road,190.0,2.5,76.0,吐和高速,two_way_from_undirected_source,False,False
E048,H022,莎车县,H005,喀什市,self_drive_road,190.0,2.5,76.0,吐和高速,two_way_from_undirected_source,False,False
E049,H023,和田市,H005,喀什市,self_drive_road,500.0,6.5,76.92307692307692,吐和高速,two_way_from_undirected_source,False,False
E050,H005,喀什市,H023,和田市,self_drive_road,500.0,6.5,76.92307692307692,吐和高速,two_way_from_undirected_source,False,False
E051,H023,和田市,H024,民丰县(尼雅遗址),self_drive_road,110.0,1.5,73.33333333333333,G315国道,two_way_from_undirected_source,False,False
E052,H024,民丰县(尼雅遗址),H023,和田市,self_drive_road,110.0,1.5,73.33333333333333,G315国道,two_way_from_undirected_source,False,False
E053,H008,若羌县(楼兰),H023,和田市,self_drive_road,820.0,10.0,82.0,G315国道,two_way_from_undirected_source,False,False
E054,H023,和田市,H008,若羌县(楼兰),self_drive_road,820.0,10.0,82.0,G315国道,two_way_from_undirected_source,False,False
E055,H008,若羌县(楼兰),H025,茫崖市,self_drive_road,350.0,4.5,77.77777777777777,G315国道,two_way_from_undirected_source,False,True
E056,H025,茫崖市,H008,若羌县(楼兰),self_drive_road,350.0,4.5,77.77777777777777,G315国道,two_way_from_undirected_source,False,True
