route_id,day,start_time,end_time,visit_spots_count,visit_spots,day_travel_hours,day_wait_hours,day_service_hours,day_active_hours,active_budget_status,over_budget_hours,transport_cost_yuan_per_two,ticket_cost_yuan_per_two,risk_score,lodging_hub,lodging_status,room_price_yuan,time_window_violations,notes
PCOP_ALNS,25,08:30,20:48,1,禾木村,0.3,0.0,12.0,12.3,over_budget,4.3,30.0,204.0,0.08,禾木村,standard_hotel_hub,350.0,0,当天活动超过8小时预算
PCOP_ALNS,26,08:30,15:48,1,喀纳斯湖,0.3,0.0,7.0,7.3,ok,0.0,30.0,460.0,0.08,禾木村,standard_hotel_hub,350.0,0,
PCOP_ALNS,27,08:30,13:51,1,白哈巴村,0.86,0.0,4.5,5.36,ok,0.0,17.23,360.0,0.05,白哈巴,standard_hotel_hub,260.0,0,
PCOP_ALNS,28,08:30,14:54,0,,6.4,0.0,0.0,6.4,ok,0.0,238.0,0.0,0.286,可可托海,standard_hotel_hub,260.0,0,跨区长距离转移；到达后次日游览目标景区
PCOP_ALNS,29,08:30,14:30,1,可可托海,0.0,1.0,5.0,6.0,ok,0.0,0.0,252.0,0.0,可可托海,standard_hotel_hub,260.0,0,
PCOP_ALNS,30,08:30,21:18,0,,12.8,0.0,0.0,12.8,over_budget,4.8,2675.11,0.0,0.375,和田市,standard_hotel_hub,160.0,0,跨区长距离转移超过8小时，建议改为夜间火车/航班或拆分中停
PCOP_ALNS,31,08:30,14:24,2,和田博物馆 -> 千里葡萄长廊,0.4,1.5,4.0,5.9,ok,0.0,6.93,0.0,0.044,和田市,standard_hotel_hub,160.0,0,
PCOP_ALNS,32,08:30,18:18,0,,9.79,0.0,0.0,9.79,over_budget,1.79,422.05,0.0,0.33,塔什库尔干县(帕米尔高原),standard_hotel_hub,200.0,0,跨区长距离转移超过8小时，建议改为夜间火车/航班或拆分中停
PCOP_ALNS,33,08:30,13:30,1,石头城遗址,0.0,0.5,4.5,5.0,ok,0.0,0.0,60.0,0.0,塔什库尔干县(帕米尔高原),standard_hotel_hub,200.0,0,
PCOP_ALNS,34,08:30,14:28,1,帕米尔高原白沙湖,1.47,0.0,4.5,5.97,ok,0.0,55.09,80.0,0.073,塔什库尔干县(帕米尔高原),standard_hotel_hub,200.0,0,
PCOP_ALNS,35,08:30,15:03,1,奥依塔克冰川,2.06,0.0,4.5,6.56,ok,0.0,66.09,90.0,0.08,喀什市,standard_hotel_hub,180.0,0,
PCOP_ALNS,36,08:30,15:45,2,艾提尕尔清真寺 -> 喀什古城,2.25,0.0,5.0,7.25,ok,0.0,53.64,60.0,0.113,喀什市,standard_hotel_hub,180.0,0,
PCOP_ALNS,37,08:30,12:30,1,香妃园,0.23,1.27,2.5,4.0,ok,0.0,2.08,120.0,0.041,喀什市,standard_hotel_hub,180.0,0,
PCOP_ALNS,38,08:30,15:33,0,,7.05,0.0,0.0,7.05,ok,0.0,2575.0,0.0,0.16,乌鲁木齐市,standard_hotel_hub,150.0,0,
