question,profile_id,profile_name,persona_id,persona_name,policy_id,policy_name,expected_loss,tail_loss_cvar75,risk_adjusted_objective,min_success_probability,weighted_success_probability,weighted_red_risk,coverage_loss_spots,cost_penalty_yuan,is_selected
Q1,conservative,保守可靠型,standard_active,普通体力型30天主线,drop_low_value,删减低收益点并错峰预约,2932.74,5428.56,7547.01,0.3441,0.8278,0.1485,2,300,False
Q1,extreme_safe,极端安全型,explorer_dense,探索紧凑型30天改造,split_slow_trip,拆成两段慢游,3876.72,7219.25,13622.7,0.5593,0.8283,0.1287,0,1800,True
Q1,extreme_safe,极端安全型,explorer_dense,探索紧凑型30天改造,drop_low_value,删减低收益点并错峰预约,4305.76,9120.43,16618.34,0.3831,0.7598,0.1945,2,300,False
Q1,extreme_safe,极端安全型,explorer_dense,探索紧凑型30天改造,buffer_light,预留1-2天机动缓冲,4149.79,9881.39,17489.67,0.2869,0.7224,0.2403,0,650,False
Q1,extreme_safe,极端安全型,explorer_dense,探索紧凑型30天改造,as_planned,按原画像路线执行,4014.7,10648.85,18390.64,0.1988,0.6881,0.2861,0,0,False
Q1,extreme_safe,极端安全型,family_comfort,亲子舒适型30天改造,split_slow_trip,拆成两段慢游,6663.08,8713.15,18425.83,0.4596,0.5992,0.3278,0,1800,True
Q1,extreme_safe,极端安全型,family_comfort,亲子舒适型30天改造,drop_low_value,删减低收益点并错峰预约,8234.01,11148.63,23284.66,0.2435,0.4389,0.4953,2,300,False
Q1,extreme_safe,极端安全型,family_comfort,亲子舒适型30天改造,buffer_light,预留1-2天机动缓冲,9116.23,12971.59,26627.88,0.0675,0.3213,0.6484,0,650,False
Q1,extreme_safe,极端安全型,family_comfort,亲子舒适型30天改造,as_planned,按原画像路线执行,9294.23,13282.59,27225.73,0.0175,0.2713,0.7284,0,0,False
Q1,extreme_safe,极端安全型,senior_slow,长者慢游型30天改造,split_slow_trip,拆成两段慢游,4350.21,8619.53,15986.57,0.4665,0.7864,0.1043,0,1800,True
Q1,extreme_safe,极端安全型,senior_slow,长者慢游型30天改造,drop_low_value,删减低收益点并错峰预约,4923.65,10911.63,19654.35,0.2531,0.7011,0.1576,2,300,False
Q1,extreme_safe,极端安全型,senior_slow,长者慢游型30天改造,buffer_light,预留1-2天机动缓冲,4913.56,11887.79,20962.08,0.1367,0.6545,0.1946,0,650,False
Q1,extreme_safe,极端安全型,senior_slow,长者慢游型30天改造,as_planned,按原画像路线执行,5028.61,12854.45,22382.12,0.03,0.6118,0.2317,0,0,False
Q1,extreme_safe,极端安全型,standard_active,普通体力型30天主线,split_slow_trip,拆成两段慢游,4159.28,7654.4,14492.72,0.5315,0.8069,0.1528,0,1800,True
Q1,extreme_safe,极端安全型,standard_active,普通体力型30天主线,drop_low_value,删减低收益点并错峰预约,4702.9,9715.32,17818.58,0.3441,0.7297,0.231,2,300,False
Q1,extreme_safe,极端安全型,standard_active,普通体力型30天主线,buffer_light,预留1-2天机动缓冲,4613.0,10569.72,18882.12,0.2419,0.6876,0.2853,0,650,False
Q1,extreme_safe,极端安全型,standard_active,普通体力型30天主线,as_planned,按原画像路线执行,4541.53,11426.4,19967.17,0.1482,0.649,0.3397,0,0,False
Q1,optimistic,乐观效率型,explorer_dense,探索紧凑型30天改造,as_planned,按原画像路线执行,580.0,1967.11,875.07,0.1988,0.8841,0.1078,0,0,True
Q1,optimistic,乐观效率型,explorer_dense,探索紧凑型30天改造,buffer_light,预留1-2天机动缓冲,1145.91,2327.41,1495.03,0.2869,0.8969,0.0905,0,650,False
Q1,optimistic,乐观效率型,explorer_dense,探索紧凑型30天改造,drop_low_value,删减低收益点并错峰预约,1751.84,2727.36,2160.94,0.3831,0.9106,0.0733,2,300,False
Q1,optimistic,乐观效率型,explorer_dense,探索紧凑型30天改造,split_slow_trip,拆成两段慢游,2083.13,2746.06,2495.04,0.5593,0.9355,0.0485,0,1800,False
Q1,optimistic,乐观效率型,family_comfort,亲子舒适型30天改造,as_planned,按原画像路线执行,2482.38,4350.44,3134.95,0.0175,0.5008,0.4988,0,0,True
Q1,optimistic,乐观效率型,family_comfort,亲子舒适型30天改造,buffer_light,预留1-2天机动缓冲,2745.08,4538.32,3425.82,0.0675,0.5508,0.4188,0,650,False
Q1,optimistic,乐观效率型,family_comfort,亲子舒适型30天改造,split_slow_trip,拆成两段慢游,3007.08,3913.62,3594.12,0.4596,0.7254,0.2245,0,1800,False
Q1,optimistic,乐观效率型,family_comfort,亲子舒适型30天改造,drop_low_value,删减低收益点并错峰预约,3085.97,4396.89,3745.51,0.2435,0.6156,0.3392,2,300,False
Q1,optimistic,乐观效率型,senior_slow,长者慢游型30天改造,as_planned,按原画像路线执行,863.83,2198.82,1193.65,0.03,0.8299,0.0685,0,0,True
Q1,optimistic,乐观效率型,senior_slow,长者慢游型30天改造,buffer_light,预留1-2天机动缓冲,1286.21,2382.02,1643.52,0.1367,0.8486,0.0576,0,650,False
Q1,optimistic,乐观效率型,senior_slow,长者慢游型30天改造,drop_low_value,删减低收益点并错峰预约,1823.66,2653.43,2221.68,0.2531,0.869,0.0466,2,300,False
Q1,optimistic,乐观效率型,senior_slow,长者慢游型30天改造,split_slow_trip,拆成两段慢游,2139.29,2718.5,2547.07,0.4665,0.9062,0.0308,0,1800,False
Q1,optimistic,乐观效率型,standard_active,普通体力型30天主线,as_planned,按原画像路线执行,697.18,2101.46,1012.4,0.1482,0.8627,0.1342,0,0,True
Q1,optimistic,乐观效率型,standard_active,普通体力型30天主线,buffer_light,预留1-2天机动缓冲,1245.63,2444.75,1612.34,0.2419,0.8778,0.1127,0,650,False
Q1,optimistic,乐观效率型,standard_active,普通体力型30天主线,drop_low_value,删减低收益点并错峰预约,1835.3,2827.44,2259.41,0.3441,0.8943,0.0912,2,300,False
Q1,optimistic,乐观效率型,standard_active,普通体力型30天主线,split_slow_trip,拆成两段慢游,2139.99,2818.61,2562.78,0.5315,0.9245,0.0604,0,1800,False
