question,persona_id,persona_name,scenario_id,scenario_name,policy_id,policy_name,adjusted_success_probability,adjusted_red_risk_probability,adjusted_mean_comfort,cost_penalty_yuan,coverage_loss_spots,feasible_note
Q1,standard_active,普通体力型30天主线,reservation_tight,预约收紧,drop_low_value,删减低收益点并错峰预约,0.7157,0.2511,88.44,300,2,可实施
Q1,standard_active,普通体力型30天主线,reservation_tight,预约收紧,split_slow_trip,拆成两段慢游,0.7969,0.1662,90.94,1800,0,可实施
Q1,standard_active,普通体力型30天主线,peak_summer,暑期客流高峰,as_planned,按原画像路线执行,0.7873,0.2125,82.35,0,0,可实施
Q1,standard_active,普通体力型30天主线,peak_summer,暑期客流高峰,buffer_light,预留1-2天机动缓冲,0.8107,0.1785,85.35,650,0,可实施
Q1,standard_active,普通体力型30天主线,peak_summer,暑期客流高峰,drop_low_value,删减低收益点并错峰预约,0.8362,0.1445,87.85,300,2,可实施
Q1,standard_active,普通体力型30天主线,peak_summer,暑期客流高峰,split_slow_trip,拆成两段慢游,0.883,0.0956,90.35,1800,0,可实施
Q1,standard_active,普通体力型30天主线,compound_extreme,复合极端冲击,as_planned,按原画像路线执行,0.1482,0.809,70.12,0,0,可实施
Q1,standard_active,普通体力型30天主线,compound_extreme,复合极端冲击,buffer_light,预留1-2天机动缓冲,0.2419,0.6796,73.12,650,0,可实施
Q1,standard_active,普通体力型30天主线,compound_extreme,复合极端冲击,drop_low_value,删减低收益点并错峰预约,0.3441,0.5501,75.62,300,2,可实施
Q1,standard_active,普通体力型30天主线,compound_extreme,复合极端冲击,split_slow_trip,拆成两段慢游,0.5315,0.364,78.12,1800,0,可实施
Q1,family_comfort,亲子舒适型30天改造,normal_summer,常规暑期,as_planned,按原画像路线执行,0.7192,0.2807,86.14,0,0,可实施
Q1,family_comfort,亲子舒适型30天改造,normal_summer,常规暑期,buffer_light,预留1-2天机动缓冲,0.7692,0.2007,89.14,650,0,满30天路线无法直接加缓冲，需要同步删点
Q1,family_comfort,亲子舒适型30天改造,normal_summer,常规暑期,drop_low_value,删减低收益点并错峰预约,0.7838,0.1909,91.64,300,2,可实施
Q1,family_comfort,亲子舒适型30天改造,normal_summer,常规暑期,split_slow_trip,拆成两段慢游,0.8456,0.1263,94.14,1800,0,可实施
Q1,family_comfort,亲子舒适型30天改造,heatwave,热浪高温,as_planned,按原画像路线执行,0.604,0.3937,79.35,0,0,可实施
Q1,family_comfort,亲子舒适型30天改造,heatwave,热浪高温,buffer_light,预留1-2天机动缓冲,0.654,0.3137,82.35,650,0,满30天路线无法直接加缓冲，需要同步删点
Q1,family_comfort,亲子舒适型30天改造,heatwave,热浪高温,drop_low_value,删减低收益点并错峰预约,0.6951,0.2677,84.85,300,2,可实施
Q1,family_comfort,亲子舒适型30天改造,heatwave,热浪高温,split_slow_trip,拆成两段慢游,0.7822,0.1772,87.35,1800,0,可实施
Q1,family_comfort,亲子舒适型30天改造,rain_flood_delay,雨洪道路延误,as_planned,按原画像路线执行,0.3635,0.6365,83.03,0,0,可实施
Q1,family_comfort,亲子舒适型30天改造,rain_flood_delay,雨洪道路延误,buffer_light,预留1-2天机动缓冲,0.4135,0.5565,86.03,650,0,满30天路线无法直接加缓冲，需要同步删点
Q1,family_comfort,亲子舒适型30天改造,rain_flood_delay,雨洪道路延误,drop_low_value,删减低收益点并错峰预约,0.5099,0.4328,88.53,300,2,可实施
Q1,family_comfort,亲子舒适型30天改造,rain_flood_delay,雨洪道路延误,split_slow_trip,拆成两段慢游,0.6499,0.2864,91.03,1800,0,可实施
Q1,family_comfort,亲子舒适型30天改造,reservation_tight,预约收紧,as_planned,按原画像路线执行,0.1253,0.8748,81.0,0,0,可实施
Q1,family_comfort,亲子舒适型30天改造,reservation_tight,预约收紧,buffer_light,预留1-2天机动缓冲,0.1753,0.7948,84.0,650,0,满30天路线无法直接加缓冲，需要同步删点
Q1,family_comfort,亲子舒适型30天改造,reservation_tight,预约收紧,drop_low_value,删减低收益点并错峰预约,0.3265,0.5949,86.5,300,2,可实施
Q1,family_comfort,亲子舒适型30天改造,reservation_tight,预约收紧,split_slow_trip,拆成两段慢游,0.5189,0.3937,89.0,1800,0,可实施
Q1,family_comfort,亲子舒适型30天改造,peak_summer,暑期客流高峰,as_planned,按原画像路线执行,0.2452,0.7548,80.26,0,0,可实施
Q1,family_comfort,亲子舒适型30天改造,peak_summer,暑期客流高峰,buffer_light,预留1-2天机动缓冲,0.2952,0.6748,83.26,650,0,满30天路线无法直接加缓冲，需要同步删点
Q1,family_comfort,亲子舒适型30天改造,peak_summer,暑期客流高峰,drop_low_value,删减低收益点并错峰预约,0.4188,0.5133,85.76,300,2,可实施
Q1,family_comfort,亲子舒适型30天改造,peak_summer,暑期客流高峰,split_slow_trip,拆成两段慢游,0.5849,0.3397,88.26,1800,0,可实施
Q1,family_comfort,亲子舒适型30天改造,compound_extreme,复合极端冲击,as_planned,按原画像路线执行,0.0175,0.9822,68.35,0,0,可实施
Q1,family_comfort,亲子舒适型30天改造,compound_extreme,复合极端冲击,buffer_light,预留1-2天机动缓冲,0.0675,0.9022,71.35,650,0,满30天路线无法直接加缓冲，需要同步删点
Q1,family_comfort,亲子舒适型30天改造,compound_extreme,复合极端冲击,drop_low_value,删减低收益点并错峰预约,0.2435,0.6679,73.85,300,2,可实施
Q1,family_comfort,亲子舒适型30天改造,compound_extreme,复合极端冲击,split_slow_trip,拆成两段慢游,0.4596,0.442,76.35,1800,0,可实施
Q1,senior_slow,长者慢游型30天改造,normal_summer,常规暑期,as_planned,按原画像路线执行,0.9918,0.0013,82.84,0,0,可实施
Q1,senior_slow,长者慢游型30天改造,normal_summer,常规暑期,buffer_light,预留1-2天机动缓冲,0.9927,0.0011,85.84,650,0,可实施
Q1,senior_slow,长者慢游型30天改造,normal_summer,常规暑期,drop_low_value,删减低收益点并错峰预约,0.9937,0.0009,88.34,300,2,可实施
Q1,senior_slow,长者慢游型30天改造,normal_summer,常规暑期,split_slow_trip,拆成两段慢游,0.995,0.0006,90.84,1800,0,可实施
Q1,senior_slow,长者慢游型30天改造,heatwave,热浪高温,as_planned,按原画像路线执行,0.6923,0.0283,76.16,0,0,可实施
Q1,senior_slow,长者慢游型30天改造,heatwave,热浪高温,buffer_light,预留1-2天机动缓冲,0.7261,0.0238,79.16,650,0,可实施
Q1,senior_slow,长者慢游型30天改造,heatwave,热浪高温,drop_low_value,删减低收益点并错峰预约,0.7631,0.0192,81.66,300,2,可实施
Q1,senior_slow,长者慢游型30天改造,heatwave,热浪高温,split_slow_trip,拆成两段慢游,0.8308,0.0127,84.16,1800,0,可实施
Q1,senior_slow,长者慢游型30天改造,rain_flood_delay,雨洪道路延误,as_planned,按原画像路线执行,0.8427,0.044,78.8,0,0,可实施
Q1,senior_slow,长者慢游型30天改造,rain_flood_delay,雨洪道路延误,buffer_light,预留1-2天机动缓冲,0.86,0.037,81.8,650,0,可实施
Q1,senior_slow,长者慢游型30天改造,rain_flood_delay,雨洪道路延误,drop_low_value,删减低收益点并错峰预约,0.8789,0.0299,84.3,300,2,可实施
Q1,senior_slow,长者慢游型30天改造,rain_flood_delay,雨洪道路延误,split_slow_trip,拆成两段慢游,0.9135,0.0198,86.8,1800,0,可实施
Q1,senior_slow,长者慢游型30天改造,reservation_tight,预约收紧,as_planned,按原画像路线执行,0.8283,0.1185,78.88,0,0,可实施
Q1,senior_slow,长者慢游型30天改造,reservation_tight,预约收紧,buffer_light,预留1-2天机动缓冲,0.8472,0.0995,81.88,650,0,可实施
Q1,senior_slow,长者慢游型30天改造,reservation_tight,预约收紧,drop_low_value,删减低收益点并错峰预约,0.8678,0.0806,84.38,300,2,可实施
Q1,senior_slow,长者慢游型30天改造,reservation_tight,预约收紧,split_slow_trip,拆成两段慢游,0.9056,0.0533,86.88,1800,0,可实施
Q1,senior_slow,长者慢游型30天改造,peak_summer,暑期客流高峰,as_planned,按原画像路线执行,0.7408,0.0655,77.12,0,0,可实施
Q1,senior_slow,长者慢游型30天改造,peak_summer,暑期客流高峰,buffer_light,预留1-2天机动缓冲,0.7693,0.055,80.12,650,0,可实施
Q1,senior_slow,长者慢游型30天改造,peak_summer,暑期客流高峰,drop_low_value,删减低收益点并错峰预约,0.8004,0.0445,82.62,300,2,可实施
Q1,senior_slow,长者慢游型30天改造,peak_summer,暑期客流高峰,split_slow_trip,拆成两段慢游,0.8574,0.0295,85.12,1800,0,可实施
Q1,senior_slow,长者慢游型30天改造,compound_extreme,复合极端冲击,as_planned,按原画像路线执行,0.03,0.752,66.21,0,0,可实施
Q1,senior_slow,长者慢游型30天改造,compound_extreme,复合极端冲击,buffer_light,预留1-2天机动缓冲,0.1367,0.6317,69.21,650,0,可实施
Q1,senior_slow,长者慢游型30天改造,compound_extreme,复合极端冲击,drop_low_value,删减低收益点并错峰预约,0.2531,0.5114,71.71,300,2,可实施
Q1,senior_slow,长者慢游型30天改造,compound_extreme,复合极端冲击,split_slow_trip,拆成两段慢游,0.4665,0.3384,74.21,1800,0,可实施
