spot_id,spot_name,region_raw,region_cluster,hub_id,hub_name,map_confidence,visit_hours_min,visit_hours_max,visit_hours_mid,ticket_high_base_yuan_per_person,ticket_high_mandatory_local_yuan_per_person,ticket_high_total_yuan_per_person,ticket_low_total_yuan_per_person,ticket_parse_note,is_cultural,is_natural,is_topic_preference,priority_score_for_op,requires_approval,requires_border_permit,requires_reservation,high_altitude_or_remote,ordinary_tourist_restricted,open_time_raw,local_access_km_from_text,local_access_hours_from_text,raw_ticket_high,raw_duration,modeling_note
P026,香妃园,喀什地区喀什市,南疆,H005,喀什市,high,2.0,3.0,2.5,60.0,0.0,60.0,60.0,numeric,True,False,False,3,False,False,True,False,False,10:00-19:00,10.0,,60,2-3小时,喀什市内景点
P027,帕米尔高原白沙湖,喀什地区塔什库尔干县,南疆,H021,塔什库尔干县(帕米尔高原),high,2.0,3.0,2.5,40.0,0.0,40.0,40.0,numeric_with_note:40（南岸）,False,True,False,2,False,True,True,True,False,9:30-19:30,150.0,2.5,40（南岸）,2-3小时,帕米尔/塔县方向，需边防证
P028,石头城遗址,喀什地区塔什库尔干县,南疆,H021,塔什库尔干县(帕米尔高原),high,2.0,3.0,2.5,30.0,0.0,30.0,30.0,numeric,True,False,False,3,False,True,True,True,False,9:00-19:00,10.0,,30,2-3小时,塔县景点，需边防证
P029,天山神秘大峡谷,阿克苏地区库车市,巴州-南疆北线,H020,库车市,medium,3.0,4.0,3.5,40.0,0.0,40.0,40.0,numeric,False,True,False,2,False,False,False,False,False,8:00-17:00,70.0,1.5,40,3-4小时,库车方向景点，需本地接驳
P030,库车王府,阿克苏地区库车市,巴州-南疆北线,H020,库车市,high,1.0,2.0,1.5,40.0,0.0,40.0,40.0,numeric,True,False,False,3,False,False,True,False,False,9:00-19:00,5.0,,40,1-2小时,库车市内景点
P031,克孜尔石窟,阿克苏地区拜城县,巴州-南疆北线,H020,库车市,medium,2.0,3.0,2.5,70.0,0.0,70.0,70.0,numeric,True,False,False,3,False,False,False,False,False,夏季9:30-19:00，冬季10:00-18:00,70.0,1.5,70,2-3小时,拜城县方向，边表缺拜城，先映射库车
P032,博斯腾湖,巴音郭楞蒙古自治州博湖县,巴州-南疆北线,H007,库尔勒市,medium,3.0,4.0,3.5,45.0,0.0,45.0,45.0,numeric,False,True,False,2,False,False,False,False,False,9:00-19:00,20.0,,45,3-4小时,博湖方向，边表缺博湖，先映射库尔勒
P033,巴音布鲁克草原,巴音郭楞蒙古自治州和静县,巴州-南疆北线,H019,巴音布鲁克,high,6.0,6.0,6.0,140.0,0.0,140.0,140.0,numeric_with_note:140（含区间车）,False,True,False,2,False,False,True,False,False,6-9月9:00-19:45，9-10月9:00-18:30,280.0,4.0,140（含区间车）,6小时,边表有巴音布鲁克节点
P034,罗布人村寨,巴音郭楞蒙古自治州尉犁县,巴州-南疆北线,H007,库尔勒市,medium,2.0,3.0,2.5,35.0,0.0,35.0,35.0,numeric,True,True,False,4,False,False,False,False,False,9:00-19:00,40.0,1.0,35,2-3小时,尉犁方向，边表缺尉犁，先映射库尔勒
P035,江布拉克草原,昌吉回族自治州奇台县,乌鲁木齐周边,H001,乌鲁木齐市,low,3.0,4.0,3.5,43.0,0.0,43.0,43.0,numeric,False,True,False,2,False,False,False,False,False,8:00-19:00,60.0,1.5,43,3-4小时,边表缺奇台/江布拉克节点，需补边
P036,北庭故城遗址,昌吉回族自治州吉木萨尔县,乌鲁木齐周边,H001,乌鲁木齐市,low,1.0,2.0,1.5,38.0,0.0,38.0,38.0,numeric,True,False,False,3,False,False,False,False,False,9:00-19:00,10.0,,38,1-2小时,边表缺吉木萨尔节点，需补边
P037,和田博物馆,和田地区和田市,南疆,H023,和田市,high,2.0,3.0,2.5,0.0,0.0,0.0,0.0,free,True,False,False,3,False,False,True,False,False,10:00-19:00,5.0,,免费,2-3小时,和田市内景点
P038,尼雅遗址,和田地区民丰县,南疆,H024,民丰县(尼雅遗址),high,8.0,8.0,8.0,45.0,0.0,45.0,45.0,numeric,True,False,False,1,True,False,True,False,True,需提前申请审批,100.0,2.0,45,1天,边表有民丰县(尼雅遗址)节点；需审批/向导
P039,千里葡萄长廊,和田地区和田县,南疆,H023,和田市,medium,1.0,2.0,1.5,0.0,0.0,0.0,0.0,free,False,False,False,1,False,False,True,False,False,全天开放,10.0,,免费,1-2小时,和田县近郊，先映射和田市
P040,奥依塔克冰川,克孜勒苏柯尔克孜自治州阿克陶县,南疆,H005,喀什市,medium,3.0,4.0,3.5,45.0,0.0,45.0,45.0,numeric,False,True,False,2,False,False,True,True,False,10:00-20:00,100.0,2.0,45,3-4小时,阿克陶方向，边表缺阿克陶，先映射喀什
