problem,persona_id,persona_name,day,visit_spots,day_active_hours,day_travel_hours,visit_spots_count,risk_score,fatigue_index,comfort_score,stress_level
Q1_30day_route,senior_slow,长者慢游型,8,无景点，跨区转场,6.21,6.21,0,0.236,34.08,65.92,red
Q1_30day_route,explorer_dense,探索紧凑型,8,无景点，跨区转场,6.21,6.21,0,0.236,5.82,94.18,green
Q1_30day_route,standard_active,普通体力型,9,赛里木湖,6.0,0.0,1,0.0,1.5,98.5,green
Q1_30day_route,family_comfort,亲子舒适型,9,赛里木湖,6.0,0.0,1,0.0,1.5,98.5,green
Q1_30day_route,senior_slow,长者慢游型,9,赛里木湖,6.0,0.0,1,0.0,2.3,97.7,green
Q1_30day_route,explorer_dense,探索紧凑型,9,赛里木湖,6.0,0.0,1,0.0,1.5,98.5,green
Q1_30day_route,standard_active,普通体力型,10,霍城薰衣草花田 -> 果子沟大桥,5.75,1.75,2,0.114,1.6,98.4,green
Q1_30day_route,family_comfort,亲子舒适型,10,霍城薰衣草花田 -> 果子沟大桥,5.75,1.75,2,0.114,2.17,97.83,green
Q1_30day_route,senior_slow,长者慢游型,10,霍城薰衣草花田 -> 果子沟大桥,5.75,1.75,2,0.114,2.62,97.38,green
Q1_30day_route,explorer_dense,探索紧凑型,10,霍城薰衣草花田 -> 果子沟大桥,5.75,1.75,2,0.114,1.14,98.86,green
Q1_30day_route,standard_active,普通体力型,11,喀拉峻大草原,10.96,4.96,1,0.221,67.96,32.04,red
Q1_30day_route,family_comfort,亲子舒适型,11,喀拉峻大草原,10.96,4.96,1,0.221,114.44,0.0,red
Q1_30day_route,senior_slow,长者慢游型,11,喀拉峻大草原,10.96,4.96,1,0.221,152.98,0.0,red
Q1_30day_route,explorer_dense,探索紧凑型,11,喀拉峻大草原,10.96,4.96,1,0.221,31.7,68.3,red
Q1_30day_route,standard_active,普通体力型,12,夏塔古道,8.43,3.43,1,0.103,7.79,92.21,green
Q1_30day_route,family_comfort,亲子舒适型,12,夏塔古道,8.43,3.43,1,0.103,21.4,78.6,yellow
Q1_30day_route,senior_slow,长者慢游型,12,夏塔古道,8.43,3.43,1,0.103,42.36,57.64,red
Q1_30day_route,explorer_dense,探索紧凑型,12,夏塔古道,8.43,3.43,1,0.103,1.03,98.97,green
Q1_30day_route,standard_active,普通体力型,13,昭苏草原,7.23,3.73,1,0.08,1.12,98.88,green
Q1_30day_route,family_comfort,亲子舒适型,13,昭苏草原,7.23,3.73,1,0.08,6.85,93.15,green
Q1_30day_route,senior_slow,长者慢游型,13,昭苏草原,7.23,3.73,1,0.08,16.82,83.18,yellow
Q1_30day_route,explorer_dense,探索紧凑型,13,昭苏草原,7.23,3.73,1,0.08,0.8,99.2,green
Q1_30day_route,standard_active,普通体力型,14,无景点，跨区转场,7.24,7.24,0,0.143,23.45,76.55,yellow
Q1_30day_route,family_comfort,亲子舒适型,14,无景点，跨区转场,7.24,7.24,0,0.143,40.02,59.98,red
Q1_30day_route,senior_slow,长者慢游型,14,无景点，跨区转场,7.24,7.24,0,0.143,53.47,46.53,red
Q1_30day_route,explorer_dense,探索紧凑型,14,无景点，跨区转场,7.24,7.24,0,0.143,13.05,86.95,green
Q1_30day_route,standard_active,普通体力型,15,那拉提草原,6.0,0.0,1,0.0,1.5,98.5,green
Q1_30day_route,family_comfort,亲子舒适型,15,那拉提草原,6.0,0.0,1,0.0,1.5,98.5,green
Q1_30day_route,senior_slow,长者慢游型,15,那拉提草原,6.0,0.0,1,0.0,2.3,97.7,green
Q1_30day_route,explorer_dense,探索紧凑型,15,那拉提草原,6.0,0.0,1,0.0,1.5,98.5,green
Q1_30day_route,standard_active,普通体力型,16,无景点，跨区转场,7.95,7.95,0,0.186,34.26,65.74,red
Q1_30day_route,family_comfort,亲子舒适型,16,无景点，跨区转场,7.95,7.95,0,0.186,56.37,43.63,red
Q1_30day_route,senior_slow,长者慢游型,16,无景点，跨区转场,7.95,7.95,0,0.186,77.37,22.63,red
Q1_30day_route,explorer_dense,探索紧凑型,16,无景点，跨区转场,7.95,7.95,0,0.186,20.3,79.7,yellow
Q1_30day_route,standard_active,普通体力型,17,博斯腾湖 -> 罗布人村寨,7.8,1.3,2,0.08,4.0,96.0,green
Q1_30day_route,family_comfort,亲子舒适型,17,博斯腾湖 -> 罗布人村寨,7.8,1.3,2,0.08,13.0,87.0,green
Q1_30day_route,senior_slow,长者慢游型,17,博斯腾湖 -> 罗布人村寨,7.8,1.3,2,0.08,25.26,74.74,yellow
Q1_30day_route,explorer_dense,探索紧凑型,17,博斯腾湖 -> 罗布人村寨,7.8,1.3,2,0.08,2.3,97.7,green
Q1_30day_route,standard_active,普通体力型,18,无景点，跨区转场,6.58,6.58,0,0.188,17.41,82.59,yellow
Q1_30day_route,family_comfort,亲子舒适型,18,无景点，跨区转场,6.58,6.58,0,0.188,28.92,71.08,red
Q1_30day_route,senior_slow,长者慢游型,18,无景点，跨区转场,6.58,6.58,0,0.188,40.1,59.9,red
Q1_30day_route,explorer_dense,探索紧凑型,18,无景点，跨区转场,6.58,6.58,0,0.188,7.98,92.02,green
Q1_30day_route,standard_active,普通体力型,19,巴音布鲁克草原,6.5,0.0,1,0.0,1.5,98.5,green
Q1_30day_route,family_comfort,亲子舒适型,19,巴音布鲁克草原,6.5,0.0,1,0.0,1.5,98.5,green
Q1_30day_route,senior_slow,长者慢游型,19,巴音布鲁克草原,6.5,0.0,1,0.0,5.82,94.18,green
Q1_30day_route,explorer_dense,探索紧凑型,19,巴音布鲁克草原,6.5,0.0,1,0.0,1.5,98.5,green
Q1_30day_route,standard_active,普通体力型,20,天山神秘大峡谷,6.88,3.38,1,0.104,1.46,98.54,green
Q1_30day_route,family_comfort,亲子舒适型,20,天山神秘大峡谷,6.88,3.38,1,0.104,3.87,96.13,green
Q1_30day_route,senior_slow,长者慢游型,20,天山神秘大峡谷,6.88,3.38,1,0.104,11.65,88.35,green
Q1_30day_route,explorer_dense,探索紧凑型,20,天山神秘大峡谷,6.88,3.38,1,0.104,1.04,98.96,green
Q1_30day_route,standard_active,普通体力型,21,库车王府 -> 克孜尔石窟,6.57,2.57,2,0.124,1.74,98.26,green
Q1_30day_route,family_comfort,亲子舒适型,21,库车王府 -> 克孜尔石窟,6.57,2.57,2,0.124,2.55,97.45,green
Q1_30day_route,senior_slow,长者慢游型,21,库车王府 -> 克孜尔石窟,6.57,2.57,2,0.124,7.77,92.23,green
Q1_30day_route,explorer_dense,探索紧凑型,21,库车王府 -> 克孜尔石窟,6.57,2.57,2,0.124,1.24,98.76,green
Q1_30day_route,standard_active,普通体力型,22,无景点，跨区转场,7.54,7.54,0,0.272,28.57,71.43,red
Q1_30day_route,family_comfort,亲子舒适型,22,无景点，跨区转场,7.54,7.54,0,0.272,48.77,51.23,red
Q1_30day_route,senior_slow,长者慢游型,22,无景点，跨区转场,7.54,7.54,0,0.272,65.13,34.87,red
Q1_30day_route,explorer_dense,探索紧凑型,22,无景点，跨区转场,7.54,7.54,0,0.272,17.12,82.88,yellow
Q1_30day_route,standard_active,普通体力型,23,艾提尕尔清真寺 -> 喀什古城,6.65,0.15,2,0.041,2.07,97.93,green
Q1_30day_route,family_comfort,亲子舒适型,23,艾提尕尔清真寺 -> 喀什古城,6.65,0.15,2,0.041,2.82,97.18,green
Q1_30day_route,senior_slow,长者慢游型,23,艾提尕尔清真寺 -> 喀什古城,6.65,0.15,2,0.041,8.06,91.94,green
Q1_30day_route,explorer_dense,探索紧凑型,23,艾提尕尔清真寺 -> 喀什古城,6.65,0.15,2,0.041,1.91,98.09,green
Q1_30day_route,standard_active,普通体力型,24,奥依塔克冰川,6.66,2.15,1,0.075,1.05,98.95,green
Q1_30day_route,family_comfort,亲子舒适型,24,奥依塔克冰川,6.66,2.15,1,0.075,2.01,97.99,green
Q1_30day_route,senior_slow,长者慢游型,24,奥依塔克冰川,6.66,2.15,1,0.075,7.44,92.56,green
Q1_30day_route,explorer_dense,探索紧凑型,24,奥依塔克冰川,6.66,2.15,1,0.075,0.75,99.25,green
Q1_30day_route,standard_active,普通体力型,25,帕米尔高原白沙湖,6.86,2.36,1,0.08,1.12,98.88,green
Q1_30day_route,family_comfort,亲子舒适型,25,帕米尔高原白沙湖,6.86,2.36,1,0.08,3.28,96.72,green
Q1_30day_route,senior_slow,长者慢游型,25,帕米尔高原白沙湖,6.86,2.36,1,0.08,9.41,90.59,green
Q1_30day_route,explorer_dense,探索紧凑型,25,帕米尔高原白沙湖,6.86,2.36,1,0.08,0.8,99.2,green
Q1_30day_route,standard_active,普通体力型,26,石头城遗址,6.1,1.6,1,0.074,1.04,98.96,green
Q1_30day_route,family_comfort,亲子舒适型,26,石头城遗址,6.1,1.6,1,0.074,1.41,98.59,green
Q1_30day_route,senior_slow,长者慢游型,26,石头城遗址,6.1,1.6,1,0.074,3.08,96.92,green
Q1_30day_route,explorer_dense,探索紧凑型,26,石头城遗址,6.1,1.6,1,0.074,0.74,99.26,green
Q1_30day_route,standard_active,普通体力型,27,香妃园,7.6,5.1,1,0.16,5.31,94.69,green
Q1_30day_route,family_comfort,亲子舒适型,27,香妃园,7.6,5.1,1,0.16,21.37,78.63,yellow
Q1_30day_route,senior_slow,长者慢游型,27,香妃园,7.6,5.1,1,0.16,36.31,63.69,red
Q1_30day_route,explorer_dense,探索紧凑型,27,香妃园,7.6,5.1,1,0.16,1.6,98.4,green
Q1_30day_route,standard_active,普通体力型,28,无景点，跨区转场,5.57,5.57,0,0.206,8.91,91.09,green
Q1_30day_route,family_comfort,亲子舒适型,28,无景点，跨区转场,5.57,5.57,0,0.206,18.6,81.4,yellow
Q1_30day_route,senior_slow,长者慢游型,28,无景点，跨区转场,5.57,5.57,0,0.206,24.41,75.59,yellow
Q1_30day_route,explorer_dense,探索紧凑型,28,无景点，跨区转场,5.57,5.57,0,0.206,2.21,97.79,green
Q1_30day_route,standard_active,普通体力型,29,和田博物馆 -> 千里葡萄长廊,5.9,0.4,2,0.044,2.12,97.88,green
Q1_30day_route,family_comfort,亲子舒适型,29,和田博物馆 -> 千里葡萄长廊,5.9,0.4,2,0.044,2.34,97.66,green
Q1_30day_route,senior_slow,长者慢游型,29,和田博物馆 -> 千里葡萄长廊,5.9,0.4,2,0.044,2.82,97.18,green
Q1_30day_route,explorer_dense,探索紧凑型,29,和田博物馆 -> 千里葡萄长廊,5.9,0.4,2,0.044,1.94,98.06,green
Q1_30day_route,standard_active,普通体力型,30,无景点，跨区转场,7.05,7.05,0,0.16,21.7,78.3,yellow
Q1_30day_route,family_comfort,亲子舒适型,30,无景点，跨区转场,7.05,7.05,0,0.16,36.58,63.42,red
Q1_30day_route,senior_slow,长者慢游型,30,无景点，跨区转场,7.05,7.05,0,0.16,49.48,50.52,red
Q1_30day_route,explorer_dense,探索紧凑型,30,无景点，跨区转场,7.05,7.05,0,0.16,11.54,88.46,green
