route_id,order,spot_id,spot_name,region_cluster,travel_from_previous_hours,distance_from_previous_km,service_hours_used,cumulative_hours,cumulative_day_equiv,requires_approval,requires_border_permit
P2_AMAP_Y2_East_South_open,7,P006,交河故城,东疆,0.22,7.6,1.75,20.36,2.54,False,False
P2_AMAP_Y2_East_South_open,8,P032,博斯腾湖,巴州-南疆北线,5.21,331.1,3.5,29.07,3.63,False,False
P2_AMAP_Y2_East_South_open,9,P034,罗布人村寨,巴州-南疆北线,2.92,173.0,2.5,34.49,4.31,False,False
P2_AMAP_Y2_East_South_open,10,P033,巴音布鲁克草原,巴州-南疆北线,6.58,443.0,6.0,47.07,5.88,False,False
P2_AMAP_Y2_East_South_open,11,P029,天山神秘大峡谷,巴州-南疆北线,3.38,192.8,3.5,53.95,6.74,False,False
P2_AMAP_Y2_East_South_open,12,P031,克孜尔石窟,巴州-南疆北线,1.5,84.3,2.5,57.95,7.24,False,False
P2_AMAP_Y2_East_South_open,13,P030,库车王府,巴州-南疆北线,1.29,65.2,1.5,60.74,7.59,False,False
P2_AMAP_Y2_East_South_open,14,P026,香妃园,南疆,7.13,707.5,2.5,70.37,8.8,False,False
P2_AMAP_Y2_East_South_open,15,P024,喀什古城,南疆,0.26,4.4,3.5,74.13,9.27,False,False
P2_AMAP_Y2_East_South_open,16,P025,艾提尕尔清真寺,南疆,0.2,3.1,1.5,75.82,9.48,False,False
P2_AMAP_Y2_East_South_open,17,P028,石头城遗址,南疆,5.16,289.9,2.5,83.48,10.44,False,True
P2_AMAP_Y2_East_South_open,18,P027,帕米尔高原白沙湖,南疆,1.47,100.2,2.5,87.46,10.93,False,True
P2_AMAP_Y2_East_South_open,19,P040,奥依塔克冰川,南疆,2.06,120.2,3.5,93.01,11.63,False,False
P2_AMAP_Y2_East_South_open,20,P037,和田博物馆,南疆,6.74,575.5,2.5,102.25,12.78,False,False
P2_AMAP_Y2_East_South_open,21,P039,千里葡萄长廊,南疆,0.4,12.6,1.5,104.15,13.02,False,False
P2_AMAP_Y2_Approval_Extension_open,1,P013,吐峪沟麻扎村,东疆,2.86,253.1,2.5,5.36,0.67,False,False
P2_AMAP_Y2_Approval_Extension_open,2,P011,高昌故城,东疆,0.42,17.8,2.5,8.28,1.04,False,False
P2_AMAP_Y2_Approval_Extension_open,3,P003,火焰山,东疆,0.47,15.7,2.5,11.26,1.41,False,False
P2_AMAP_Y2_Approval_Extension_open,4,P004,葡萄沟,东疆,0.58,30.3,3.0,14.83,1.85,False,False
P2_AMAP_Y2_Approval_Extension_open,5,P012,苏公塔,东疆,0.3,9.1,1.5,16.63,2.08,False,False
P2_AMAP_Y2_Approval_Extension_open,6,P005,坎儿井民俗园,东疆,0.26,5.9,1.5,18.39,2.3,False,False
P2_AMAP_Y2_Approval_Extension_open,7,P006,交河故城,东疆,0.22,7.6,1.75,20.36,2.54,False,False
P2_AMAP_Y2_Approval_Extension_open,8,P032,博斯腾湖,巴州-南疆北线,5.21,331.1,3.5,29.07,3.63,False,False
P2_AMAP_Y2_Approval_Extension_open,9,P034,罗布人村寨,巴州-南疆北线,2.92,173.0,2.5,34.49,4.31,False,False
P2_AMAP_Y2_Approval_Extension_open,10,P033,巴音布鲁克草原,巴州-南疆北线,6.58,443.0,6.0,47.07,5.88,False,False
P2_AMAP_Y2_Approval_Extension_open,11,P029,天山神秘大峡谷,巴州-南疆北线,3.38,192.8,3.5,53.95,6.74,False,False
P2_AMAP_Y2_Approval_Extension_open,12,P031,克孜尔石窟,巴州-南疆北线,1.5,84.3,2.5,57.95,7.24,False,False
P2_AMAP_Y2_Approval_Extension_open,13,P030,库车王府,巴州-南疆北线,1.29,65.2,1.5,60.74,7.59,False,False
P2_AMAP_Y2_Approval_Extension_open,14,P026,香妃园,南疆,7.13,707.5,2.5,70.37,8.8,False,False
P2_AMAP_Y2_Approval_Extension_open,15,P025,艾提尕尔清真寺,南疆,0.29,5.0,1.5,72.15,9.02,False,False
P2_AMAP_Y2_Approval_Extension_open,16,P024,喀什古城,南疆,0.15,2.2,3.5,75.8,9.48,False,False
P2_AMAP_Y2_Approval_Extension_open,17,P007,楼兰古城,巴州-南疆北线,0.14,2.0,8.0,83.95,10.49,True,False
P2_AMAP_Y2_Approval_Extension_open,18,P028,石头城遗址,南疆,5.11,290.6,2.5,91.56,11.45,False,True
P2_AMAP_Y2_Approval_Extension_open,19,P027,帕米尔高原白沙湖,南疆,1.47,100.2,2.5,95.53,11.94,False,True
P2_AMAP_Y2_Approval_Extension_open,20,P040,奥依塔克冰川,南疆,2.06,120.2,3.5,101.09,12.64,False,False
P2_AMAP_Y2_Approval_Extension_open,21,P039,千里葡萄长廊,南疆,6.84,579.8,1.5,109.43,13.68,False,False
P2_AMAP_Y2_Approval_Extension_open,22,P037,和田博物馆,南疆,0.45,13.9,2.5,112.38,14.05,False,False
P2_AMAP_Y2_Approval_Extension_open,23,P038,尼雅遗址,南疆,5.08,370.9,8.0,125.46,15.68,True,False
