label_id,from_id,from_name,to_id,to_name,time_hours,cost_yuan_for_two,risk_score,mode_combo,dominant_mode,source
Q3V2_P038_TO_P034,P038,尼雅遗址,P034,罗布人村寨,9.146,370.13,0.154,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P007,P013,吐峪沟麻扎村,P007,楼兰古城,16.159,769.53,0.242,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P038,P013,吐峪沟麻扎村,P038,尼雅遗址,15.825,605.72,0.238,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P031,P013,吐峪沟麻扎村,P031,克孜尔石窟,10.274,412.53,0.168,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P006,P013,吐峪沟麻扎村,P006,交河故城,1.129,33.53,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P011,P013,吐峪沟麻扎村,P011,高昌故城,0.424,9.8,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P012,P013,吐峪沟麻扎村,P012,苏公塔,0.846,26.25,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P036,P013,吐峪沟麻扎村,P036,北庭故城遗址,4.702,190.84,0.099,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P024,P013,吐峪沟麻扎村,P024,喀什古城,16.127,768.6,0.242,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P025,P013,吐峪沟麻扎村,P025,艾提尕尔清真寺,16.098,768.57,0.241,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P026,P013,吐峪沟麻扎村,P026,香妃园,16.113,768.58,0.241,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P028,P013,吐峪沟麻扎村,P028,石头城遗址,20.307,929.23,0.294,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P030,P013,吐峪沟麻扎村,P030,库车王府,9.306,382.61,0.156,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P013_TO_P034,P013,吐峪沟麻扎村,P034,罗布人村寨,7.071,267.58,0.128,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P007,P031,克孜尔石窟,P007,楼兰古城,7.649,384.23,0.136,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P038,P031,克孜尔石窟,P038,尼雅遗址,10.397,380.4,0.17,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P013,P031,克孜尔石窟,P013,吐峪沟麻扎村,10.318,418.6,0.169,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P006,P031,克孜尔石窟,P006,交河故城,9.546,393.49,0.159,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P011,P031,克孜尔石窟,P011,高昌故城,10.207,412.76,0.168,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P012,P031,克孜尔石窟,P012,苏公塔,9.541,392.89,0.159,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P036,P031,克孜尔石窟,P036,北庭故城遗址,9.693,463.37,0.161,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P024,P031,克孜尔石窟,P024,喀什古城,7.561,383.3,0.135,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P025,P031,克孜尔石窟,P025,艾提尕尔清真寺,7.542,383.27,0.134,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P026,P031,克孜尔石窟,P026,香妃园,7.493,383.28,0.134,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P028,P031,克孜尔石窟,P028,石头城遗址,11.956,543.93,0.189,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P030,P031,克孜尔石窟,P030,库车王府,1.287,35.87,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P031_TO_P034,P031,克孜尔石窟,P034,罗布人村寨,6.169,244.31,0.117,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P007,P006,交河故城,P007,楼兰古城,15.342,745.48,0.232,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P038,P006,交河故城,P038,尼雅遗址,15.089,581.68,0.229,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P013,P006,交河故城,P013,吐峪沟麻扎村,1.209,34.62,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P031,P006,交河故城,P031,克孜尔石窟,9.457,388.48,0.158,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P011,P006,交河故城,P011,高昌故城,1.148,28.77,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P012,P006,交河故城,P012,苏公塔,0.458,8.91,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P036,P006,交河故城,P036,北庭故城遗址,4.541,206.14,0.097,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P024,P006,交河故城,P024,喀什古城,15.305,744.56,0.231,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P025,P006,交河故城,P025,艾提尕尔清真寺,15.278,744.53,0.231,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P026,P006,交河故城,P026,香妃园,15.292,744.53,0.231,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P028,P006,交河故城,P028,石头城遗址,19.548,905.19,0.284,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P030,P006,交河故城,P030,库车王府,8.45,358.57,0.146,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P006_TO_P034,P006,交河故城,P034,罗布人村寨,6.281,243.54,0.119,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P007,P011,高昌故城,P007,楼兰古城,16.299,762.05,0.244,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P038,P011,高昌故城,P038,尼雅遗址,15.906,598.24,0.239,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P013,P011,高昌故城,P013,吐峪沟麻扎村,0.594,11.08,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P031,P011,高昌故城,P031,克孜尔石窟,10.317,405.05,0.169,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P006,P011,高昌故城,P006,交河故城,1.228,26.05,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P012,P011,高昌故城,P012,苏公塔,0.9,21.42,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P036,P011,高昌故城,P036,北庭故城遗址,5.12,203.59,0.104,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P024,P011,高昌故城,P024,喀什古城,16.252,761.12,0.243,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P025,P011,高昌故城,P025,艾提尕尔清真寺,16.219,761.09,0.243,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P026,P011,高昌故城,P026,香妃园,16.222,761.1,0.243,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P028,P011,高昌故城,P028,石头城遗址,20.457,921.75,0.296,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P030,P011,高昌故城,P030,库车王府,9.364,375.13,0.157,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P011_TO_P034,P011,高昌故城,P034,罗布人村寨,7.145,260.1,0.129,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P007,P012,苏公塔,P007,楼兰古城,15.279,743.74,0.231,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P038,P012,苏公塔,P038,尼雅遗址,14.994,579.94,0.227,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P013,P012,苏公塔,P013,吐峪沟麻扎村,0.841,26.11,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P031,P012,苏公塔,P031,克孜尔石窟,9.399,386.75,0.157,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P006,P012,苏公塔,P006,交河故城,0.388,7.75,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P011,P012,苏公塔,P011,高昌故城,0.796,20.27,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P036,P012,苏公塔,P036,北庭故城遗址,4.387,204.84,0.095,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P024,P012,苏公塔,P024,喀什古城,15.24,742.82,0.23,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P025,P012,苏公塔,P025,艾提尕尔清真寺,15.214,742.79,0.23,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P026,P012,苏公塔,P026,香妃园,15.228,742.8,0.23,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P028,P012,苏公塔,P028,石头城遗址,19.455,903.45,0.283,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P030,P012,苏公塔,P030,库车王府,8.392,356.83,0.145,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P012_TO_P034,P012,苏公塔,P034,罗布人村寨,6.252,241.8,0.118,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P007,P036,北庭故城遗址,P007,楼兰古城,15.968,820.06,0.24,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P038,P036,北庭故城遗址,P038,尼雅遗址,15.609,656.26,0.235,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P013,P036,北庭故城遗址,P013,吐峪沟麻扎村,4.699,191.17,0.099,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P031,P036,北庭故城遗址,P031,克孜尔石窟,9.99,463.06,0.165,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P006,P036,北庭故城遗址,P006,交河故城,4.294,205.6,0.094,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P011,P036,北庭故城遗址,P011,高昌故城,4.975,203.27,0.102,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P012,P036,北庭故城遗址,P012,苏公塔,4.261,205.57,0.093,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P024,P036,北庭故城遗址,P024,喀什古城,15.924,819.13,0.239,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P025,P036,北庭故城遗址,P025,艾提尕尔清真寺,15.899,819.1,0.239,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P026,P036,北庭故城遗址,P026,香妃园,15.905,819.11,0.239,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P028,P036,北庭故城遗址,P028,石头城遗址,20.131,979.77,0.292,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P030,P036,北庭故城遗址,P030,库车王府,9.007,433.15,0.153,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P036_TO_P034,P036,北庭故城遗址,P034,罗布人村寨,6.787,318.07,0.125,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P007,P024,喀什古城,P007,楼兰古城,0.143,1.11,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P038,P024,喀什古城,P038,尼雅遗址,9.835,465.68,0.163,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P013,P024,喀什古城,P013,吐峪沟麻扎村,16.181,774.96,0.242,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P031,P024,喀什古城,P031,克孜尔石窟,7.629,383.98,0.135,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P006,P024,喀什古城,P006,交河故城,15.448,749.85,0.233,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P011,P024,喀什古城,P011,高昌故城,16.093,769.11,0.241,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P012,P024,喀什古城,P012,苏公塔,15.445,749.25,0.233,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P036,P024,喀什古城,P036,北庭故城遗址,15.761,819.73,0.237,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P025,P024,喀什古城,P025,艾提尕尔清真寺,0.195,1.72,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P026,P024,喀什古城,P026,香妃园,0.232,2.08,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P028,P024,喀什古城,P028,石头城遗址,5.222,160.1,0.105,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P030,P024,喀什古城,P030,库车王府,7.182,389.64,0.13,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P024_TO_P034,P024,喀什古城,P034,罗布人村寨,12.239,600.67,0.193,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P007,P025,艾提尕尔清真寺,P007,楼兰古城,0.133,1.16,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P038,P025,艾提尕尔清真寺,P038,尼雅遗址,9.827,465.48,0.163,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P013,P025,艾提尕尔清真寺,P013,吐峪沟麻扎村,16.158,774.62,0.242,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P031,P025,艾提尕尔清真寺,P031,克孜尔石窟,7.605,383.64,0.135,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P006,P025,艾提尕尔清真寺,P006,交河故城,15.432,749.5,0.233,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P011,P025,艾提尕尔清真寺,P011,高昌故城,16.07,768.77,0.241,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P012,P025,艾提尕尔清真寺,P012,苏公塔,15.428,748.91,0.233,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P036,P025,艾提尕尔清真寺,P036,北庭故城遗址,15.742,819.39,0.237,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P024,P025,艾提尕尔清真寺,P024,喀什古城,0.151,1.2,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P026,P025,艾提尕尔清真寺,P026,香妃园,0.304,2.93,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P028,P025,艾提尕尔清真寺,P028,石头城遗址,5.161,159.46,0.105,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P030,P025,艾提尕尔清真寺,P030,库车王府,7.167,389.29,0.13,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P025_TO_P034,P025,艾提尕尔清真寺,P034,罗布人村寨,12.214,600.33,0.193,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P007,P026,香妃园,P007,楼兰古城,0.274,2.48,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P038,P026,香妃园,P038,尼雅遗址,9.826,466.32,0.163,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P013,P026,香妃园,P013,吐峪沟麻扎村,16.056,774.31,0.241,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P031,P026,香妃园,P031,克孜尔石窟,7.508,383.33,0.134,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P006,P026,香妃园,P006,交河故城,15.324,749.19,0.232,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P011,P026,香妃园,P011,高昌故城,15.962,768.46,0.24,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P012,P026,香妃园,P012,苏公塔,15.32,748.6,0.232,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P036,P026,香妃园,P036,北庭故城遗址,15.624,819.08,0.235,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P024,P026,香妃园,P024,喀什古城,0.262,2.4,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P025,P026,香妃园,P025,艾提尕尔清真寺,0.287,2.72,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P028,P026,香妃园,P028,石头城遗址,5.345,161.46,0.107,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P030,P026,香妃园,P030,库车王府,7.072,388.98,0.128,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P026_TO_P034,P026,香妃园,P034,罗布人村寨,12.096,600.02,0.191,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P028_TO_P007,P028,石头城遗址,P007,楼兰古城,4.93,154.89,0.102,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
