resource_type,resource_id,day,group_id,spot_id,spot_name,usage_reason
offroad_vehicle,OFFROAD_SPECIAL_01,4,1,P007,楼兰古城,特殊准入点越野车辆
safety_staff,SAFETY_G1,4,1,P007,楼兰古城,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,4,2,P006,交河故城,遗址测绘/考古记录
fieldwork_equipment,EQUIP_G1,5,1,P007,楼兰古城,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,5,1,P007,楼兰古城,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,5,1,P007,楼兰古城,特殊准入点越野车辆
safety_staff,SAFETY_G1,5,1,P007,楼兰古城,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,5,2,P034,罗布人村寨,民俗访谈与影像记录
fieldwork_equipment,EQUIP_G3,5,3,P031,克孜尔石窟,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,6,1,P007,楼兰古城,特殊准入点持证向导
licensed_guide,GUIDE_SPECIAL_01,6,1,P038,尼雅遗址,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,6,1,P007,楼兰古城,特殊准入点越野车辆
offroad_vehicle,OFFROAD_SPECIAL_01,6,1,P038,尼雅遗址,特殊准入点越野车辆
safety_staff,SAFETY_G1,6,1,P007,楼兰古城,远程/审批点安全保障
safety_staff,SAFETY_G1,6,1,P038,尼雅遗址,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,6,2,P034,罗布人村寨,民俗访谈与影像记录
border_permit_support,PERMIT_SUPPORT_01,6,3,P028,石头城遗址,边防通行支持
fieldwork_equipment,EQUIP_G3,6,3,P031,克孜尔石窟,遗址测绘/考古记录
safety_staff,SAFETY_G3,6,3,P028,石头城遗址,远程/审批点安全保障
fieldwork_equipment,EQUIP_G1,7,1,P038,尼雅遗址,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,7,1,P038,尼雅遗址,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,7,1,P038,尼雅遗址,特殊准入点越野车辆
safety_staff,SAFETY_G1,7,1,P038,尼雅遗址,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,7,2,P030,库车王府,遗产点资料记录
border_permit_support,PERMIT_SUPPORT_01,7,3,P028,石头城遗址,边防通行支持
fieldwork_equipment,EQUIP_G3,7,3,P028,石头城遗址,遗址测绘/考古记录
safety_staff,SAFETY_G3,7,3,P028,石头城遗址,远程/审批点安全保障
fieldwork_equipment,EQUIP_G1,8,1,P038,尼雅遗址,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,8,1,P038,尼雅遗址,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,8,1,P038,尼雅遗址,特殊准入点越野车辆
safety_staff,SAFETY_G1,8,1,P038,尼雅遗址,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,8,2,P025,艾提尕尔清真寺,宗教民族文化访谈
border_permit_support,PERMIT_SUPPORT_01,8,3,P028,石头城遗址,边防通行支持
fieldwork_equipment,EQUIP_G3,8,3,P028,石头城遗址,遗址测绘/考古记录
safety_staff,SAFETY_G3,8,3,P028,石头城遗址,远程/审批点安全保障
fieldwork_equipment,EQUIP_G1,9,1,P038,尼雅遗址,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,9,1,P038,尼雅遗址,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,9,1,P038,尼雅遗址,特殊准入点越野车辆
safety_staff,SAFETY_G1,9,1,P038,尼雅遗址,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,9,2,P025,艾提尕尔清真寺,宗教民族文化访谈
fieldwork_equipment,EQUIP_G2,9,2,P024,喀什古城,遗址测绘/考古记录
border_permit_support,PERMIT_SUPPORT_01,9,3,P028,石头城遗址,边防通行支持
fieldwork_equipment,EQUIP_G3,9,3,P028,石头城遗址,遗址测绘/考古记录
safety_staff,SAFETY_G3,9,3,P028,石头城遗址,远程/审批点安全保障
fieldwork_equipment,EQUIP_G1,10,1,P038,尼雅遗址,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,10,1,P038,尼雅遗址,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,10,1,P038,尼雅遗址,特殊准入点越野车辆
safety_staff,SAFETY_G1,10,1,P038,尼雅遗址,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,10,2,P024,喀什古城,遗址测绘/考古记录
fieldwork_equipment,EQUIP_G3,10,3,P026,香妃园,宗教民族文化访谈
fieldwork_equipment,EQUIP_G1,11,1,P038,尼雅遗址,遗址测绘/考古记录
licensed_guide,GUIDE_SPECIAL_01,11,1,P038,尼雅遗址,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,11,1,P038,尼雅遗址,特殊准入点越野车辆
safety_staff,SAFETY_G1,11,1,P038,尼雅遗址,远程/审批点安全保障
fieldwork_equipment,EQUIP_G2,11,2,P024,喀什古城,遗址测绘/考古记录
fieldwork_equipment,EQUIP_G3,11,3,P026,香妃园,宗教民族文化访谈
licensed_guide,GUIDE_SPECIAL_01,12,1,P038,尼雅遗址,特殊准入点持证向导
offroad_vehicle,OFFROAD_SPECIAL_01,12,1,P038,尼雅遗址,特殊准入点越野车辆
safety_staff,SAFETY_G1,12,1,P038,尼雅遗址,远程/审批点安全保障
standby_team,STANDBY_G2,13,2,,,项目缓冲与机动复核
standby_team,STANDBY_G3,13,3,,,项目缓冲与机动复核
standby_team,STANDBY_G1,14,1,,,项目缓冲与机动复核
standby_team,STANDBY_G2,14,2,,,项目缓冲与机动复核
standby_team,STANDBY_G3,14,3,,,项目缓冲与机动复核
standby_team,STANDBY_G1,15,1,,,项目缓冲与机动复核
standby_team,STANDBY_G2,15,2,,,项目缓冲与机动复核
standby_team,STANDBY_G3,15,3,,,项目缓冲与机动复核
standby_team,STANDBY_G1,16,1,,,项目缓冲与机动复核
standby_team,STANDBY_G2,16,2,,,项目缓冲与机动复核
standby_team,STANDBY_G3,16,3,,,项目缓冲与机动复核
standby_team,STANDBY_G1,17,1,,,项目缓冲与机动复核
standby_team,STANDBY_G2,17,2,,,项目缓冲与机动复核
standby_team,STANDBY_G3,17,3,,,项目缓冲与机动复核
standby_team,STANDBY_G1,18,1,,,项目缓冲与机动复核
