solution_id,spots_count,profit_score,total_hours,objective_cost_yuan,risk_score,route_sequence
NSGA_011,18,83.0,120.57,10849.52,2.279,喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 五彩滩 -> 天山天池 -> 吐峪沟麻扎村 -> 火焰山 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城
NSGA_012,17,81.0,110.03,9836.14,1.967,喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 天山天池 -> 吐峪沟麻扎村 -> 火焰山 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城
NSGA_013,16,76.0,102.13,9548.04,1.909,喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 喀拉峻大草原 -> 夏塔古道 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 天山天池 -> 吐峪沟麻扎村 -> 火焰山 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城
NSGA_014,16,71.0,116.2,8014.77,2.296,天山天池 -> 达坂城古镇 -> 火焰山 -> 高昌故城 -> 坎儿井民俗园 -> 交河故城 -> 罗布人村寨 -> 和田博物馆 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 喀什古城 -> 库车王府 -> 那拉提草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥
NSGA_015,15,69.0,99.04,9460.43,1.851,喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 喀拉峻大草原 -> 夏塔古道 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 天山天池 -> 火焰山 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城
NSGA_016,17,67.0,118.61,7893.53,2.322,北庭故城遗址 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 火焰山 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 葡萄沟 -> 博斯腾湖 -> 天山神秘大峡谷 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 赛里木湖 -> 白哈巴村 -> 禾木村 -> 五彩滩
NSGA_017,16,66.0,121.59,8315.46,2.215,天山天池 -> 北庭故城遗址 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城 -> 博斯腾湖 -> 罗布人村寨 -> 克孜尔石窟 -> 巴音布鲁克草原 -> 那拉提草原 -> 昭苏草原 -> 赛里木湖 -> 禾木村
NSGA_018,15,64.0,109.59,9418.3,1.867,喀什古城 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 那拉提草原 -> 喀拉峻大草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 坎儿井民俗园
NSGA_019,15,63.0,98.4,8814.97,1.888,香妃园 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 坎儿井民俗园 -> 葡萄沟
NSGA_020,15,63.0,102.46,9264.68,1.853,喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 库车王府 -> 天山神秘大峡谷 -> 那拉提草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 天山天池 -> 葡萄沟 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 坎儿井民俗园
