edge_id,from_node,to_node,mode,layer,base_time_hours,base_cost_yuan_per_two,base_risk,source_id,distance_km,seasonal_sensitive,daily_departures,schedule_wait_hours,schedule_id,model_option_role,quality_flag,local_shuttle_raw_cost_yuan_per_two,local_shuttle_cost_floor_yuan_per_two,cost_floor_applied,amap_edge_type,od_quality_note
T0032,HUB::禾木村,BUS::禾木村,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0032R,BUS::禾木村,HUB::禾木村,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0033,HUB::若羌县(楼兰),BUS::若羌县(楼兰),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0033R,BUS::若羌县(楼兰),HUB::若羌县(楼兰),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0034,HUB::茫崖市,BUS::茫崖市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0034R,BUS::茫崖市,HUB::茫崖市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0035,HUB::莎车县,BUS::莎车县,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0035R,BUS::莎车县,HUB::莎车县,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0036,HUB::赛里木湖,BUS::赛里木湖,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0036R,BUS::赛里木湖,HUB::赛里木湖,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0037,HUB::达坂城镇,BUS::达坂城镇,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0037R,BUS::达坂城镇,HUB::达坂城镇,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0038,HUB::那拉提镇,BUS::那拉提镇,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0038R,BUS::那拉提镇,HUB::那拉提镇,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0039,HUB::鄯善县(库木塔格沙漠),BUS::鄯善县(库木塔格沙漠),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0039R,BUS::鄯善县(库木塔格沙漠),HUB::鄯善县(库木塔格沙漠),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0040,HUB::阿勒泰市,BUS::阿勒泰市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0040R,BUS::阿勒泰市,HUB::阿勒泰市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0041,HUB::霍城县(惠远古城),BUS::霍城县(惠远古城),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0041R,BUS::霍城县(惠远古城),HUB::霍城县(惠远古城),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
R0042,HUB::乌鲁木齐市,HUB::吐鲁番市,self_drive,road,2.5,99.0,0.08,SOURCE_LOCAL_ROAD_TABLE,180.0,False,,,,,,,,,,
R0043,HUB::吐鲁番市,HUB::乌鲁木齐市,self_drive,road,2.5,99.0,0.08,SOURCE_LOCAL_ROAD_TABLE,180.0,False,,,,,,,,,,
R0044,HUB::乌鲁木齐市,HUB::达坂城镇,self_drive,road,1.5,55.0,0.08,SOURCE_LOCAL_ROAD_TABLE,100.0,False,,,,,,,,,,
R0045,HUB::达坂城镇,HUB::乌鲁木齐市,self_drive,road,1.5,55.0,0.08,SOURCE_LOCAL_ROAD_TABLE,100.0,False,,,,,,,,,,
R0046,HUB::乌鲁木齐市,HUB::伊宁市(伊犁),self_drive,road,7.0,379.5,0.08,SOURCE_LOCAL_ROAD_TABLE,690.0,False,,,,,,,,,,
R0047,HUB::伊宁市(伊犁),HUB::乌鲁木齐市,self_drive,road,7.0,379.5,0.08,SOURCE_LOCAL_ROAD_TABLE,690.0,False,,,,,,,,,,
R0048,HUB::乌鲁木齐市,HUB::喀什市,self_drive,road,18.0,805.75,0.08,SOURCE_LOCAL_ROAD_TABLE,1465.0,False,,,,,,,,,,
R0049,HUB::喀什市,HUB::乌鲁木齐市,self_drive,road,18.0,805.75,0.08,SOURCE_LOCAL_ROAD_TABLE,1465.0,False,,,,,,,,,,
R0050,HUB::乌鲁木齐市,HUB::阿勒泰市,self_drive,road,6.0,275.0,0.08,SOURCE_LOCAL_ROAD_TABLE,500.0,False,,,,,,,,,,
R0051,HUB::阿勒泰市,HUB::乌鲁木齐市,self_drive,road,6.0,275.0,0.08,SOURCE_LOCAL_ROAD_TABLE,500.0,False,,,,,,,,,,
R0052,HUB::乌鲁木齐市,HUB::库尔勒市,self_drive,road,6.0,259.05,0.08,SOURCE_LOCAL_ROAD_TABLE,471.0,False,,,,,,,,,,
R0053,HUB::库尔勒市,HUB::乌鲁木齐市,self_drive,road,6.0,259.05,0.08,SOURCE_LOCAL_ROAD_TABLE,471.0,False,,,,,,,,,,
R0054,HUB::吐鲁番市,HUB::库尔勒市,self_drive,road,4.5,203.5,0.08,SOURCE_LOCAL_ROAD_TABLE,370.0,False,,,,,,,,,,
R0055,HUB::库尔勒市,HUB::吐鲁番市,self_drive,road,4.5,203.5,0.08,SOURCE_LOCAL_ROAD_TABLE,370.0,False,,,,,,,,,,
R0056,HUB::库尔勒市,HUB::若羌县(楼兰),self_drive,road,6.0,258.5,0.08,SOURCE_LOCAL_ROAD_TABLE,470.0,False,,,,,,,,,,
R0057,HUB::若羌县(楼兰),HUB::库尔勒市,self_drive,road,6.0,258.5,0.08,SOURCE_LOCAL_ROAD_TABLE,470.0,False,,,,,,,,,,
R0058,HUB::伊宁市(伊犁),HUB::那拉提镇,self_drive,road,3.0,137.5,0.08,SOURCE_LOCAL_ROAD_TABLE,250.0,False,,,,,,,,,,
R0059,HUB::那拉提镇,HUB::伊宁市(伊犁),self_drive,road,3.0,137.5,0.08,SOURCE_LOCAL_ROAD_TABLE,250.0,False,,,,,,,,,,
R0060,HUB::伊宁市(伊犁),HUB::赛里木湖,self_drive,road,2.0,82.5,0.08,SOURCE_LOCAL_ROAD_TABLE,150.0,False,,,,,,,,,,
R0061,HUB::赛里木湖,HUB::伊宁市(伊犁),self_drive,road,2.0,82.5,0.08,SOURCE_LOCAL_ROAD_TABLE,150.0,False,,,,,,,,,,
R0062,HUB::乌鲁木齐市,HUB::天池风景区,self_drive,road,1.5,52.25,0.08,SOURCE_LOCAL_ROAD_TABLE,95.0,False,,,,,,,,,,
R0063,HUB::天池风景区,HUB::乌鲁木齐市,self_drive,road,1.5,52.25,0.08,SOURCE_LOCAL_ROAD_TABLE,95.0,False,,,,,,,,,,
R0064,HUB::乌鲁木齐市,HUB::可可托海,self_drive,road,6.5,291.5,0.08,SOURCE_LOCAL_ROAD_TABLE,530.0,False,,,,,,,,,,
R0065,HUB::可可托海,HUB::乌鲁木齐市,self_drive,road,6.5,291.5,0.08,SOURCE_LOCAL_ROAD_TABLE,530.0,False,,,,,,,,,,
R0066,HUB::乌鲁木齐市,HUB::禾木村,self_drive,road,7.5,341.0,0.08,SOURCE_LOCAL_ROAD_TABLE,620.0,False,,,,,,,,,,
R0067,HUB::禾木村,HUB::乌鲁木齐市,self_drive,road,7.5,341.0,0.08,SOURCE_LOCAL_ROAD_TABLE,620.0,False,,,,,,,,,,
R0068,HUB::乌鲁木齐市,HUB::白哈巴,self_drive,road,8.5,374.0,0.08,SOURCE_LOCAL_ROAD_TABLE,680.0,False,,,,,,,,,,
R0069,HUB::白哈巴,HUB::乌鲁木齐市,self_drive,road,8.5,374.0,0.08,SOURCE_LOCAL_ROAD_TABLE,680.0,False,,,,,,,,,,
R0070,HUB::吐鲁番市,HUB::达坂城镇,self_drive,road,1.8,66.0,0.08,SOURCE_LOCAL_ROAD_TABLE,120.0,False,,,,,,,,,,
R0071,HUB::达坂城镇,HUB::吐鲁番市,self_drive,road,1.8,66.0,0.08,SOURCE_LOCAL_ROAD_TABLE,120.0,False,,,,,,,,,,
R0072,HUB::吐鲁番市,HUB::鄯善县(库木塔格沙漠),self_drive,road,1.2,49.5,0.08,SOURCE_LOCAL_ROAD_TABLE,90.0,False,,,,,,,,,,
R0073,HUB::鄯善县(库木塔格沙漠),HUB::吐鲁番市,self_drive,road,1.2,49.5,0.08,SOURCE_LOCAL_ROAD_TABLE,90.0,False,,,,,,,,,,
R0074,HUB::伊宁市(伊犁),HUB::霍城县(惠远古城),self_drive,road,1.0,24.75,0.08,SOURCE_LOCAL_ROAD_TABLE,45.0,False,,,,,,,,,,
R0075,HUB::霍城县(惠远古城),HUB::伊宁市(伊犁),self_drive,road,1.0,24.75,0.08,SOURCE_LOCAL_ROAD_TABLE,45.0,False,,,,,,,,,,
R0076,HUB::伊宁市(伊犁),HUB::特克斯县(八卦城),self_drive,road,2.0,63.25,0.08,SOURCE_LOCAL_ROAD_TABLE,115.0,False,,,,,,,,,,
R0077,HUB::特克斯县(八卦城),HUB::伊宁市(伊犁),self_drive,road,2.0,63.25,0.08,SOURCE_LOCAL_ROAD_TABLE,115.0,False,,,,,,,,,,
R0078,HUB::伊宁市(伊犁),HUB::昭苏县(夏塔古道),self_drive,road,3.5,99.0,0.08,SOURCE_LOCAL_ROAD_TABLE,180.0,False,,,,,,,,,,
R0079,HUB::昭苏县(夏塔古道),HUB::伊宁市(伊犁),self_drive,road,3.5,99.0,0.08,SOURCE_LOCAL_ROAD_TABLE,180.0,False,,,,,,,,,,
R0080,HUB::那拉提镇,HUB::巴音布鲁克,self_drive,road,2.5,88.0,0.08,SOURCE_LOCAL_ROAD_TABLE,160.0,False,,,,,,,,,,
R0081,HUB::巴音布鲁克,HUB::那拉提镇,self_drive,road,2.5,88.0,0.08,SOURCE_LOCAL_ROAD_TABLE,160.0,False,,,,,,,,,,
R0082,HUB::巴音布鲁克,HUB::库车市,self_drive,road,4.0,143.0,0.35,SRC_DUKU_CCTV_2026;SRC_DUKU_FIRSTDAY,260.0,True,,,,,,,,,,
R0083,HUB::库车市,HUB::巴音布鲁克,self_drive,road,4.0,143.0,0.35,SRC_DUKU_CCTV_2026;SRC_DUKU_FIRSTDAY,260.0,True,,,,,,,,,,
R0084,HUB::库车市,HUB::喀什市,self_drive,road,9.0,390.5,0.08,SOURCE_LOCAL_ROAD_TABLE,710.0,False,,,,,,,,,,
R0085,HUB::喀什市,HUB::库车市,self_drive,road,9.0,390.5,0.08,SOURCE_LOCAL_ROAD_TABLE,710.0,False,,,,,,,,,,
R0086,HUB::喀什市,HUB::塔什库尔干县(帕米尔高原),self_drive,road,4.5,159.5,0.08,SOURCE_LOCAL_ROAD_TABLE,290.0,False,,,,,,,,,,
R0087,HUB::塔什库尔干县(帕米尔高原),HUB::喀什市,self_drive,road,4.5,159.5,0.08,SOURCE_LOCAL_ROAD_TABLE,290.0,False,,,,,,,,,,
R0088,HUB::喀什市,HUB::莎车县,self_drive,road,2.5,104.5,0.08,SOURCE_LOCAL_ROAD_TABLE,190.0,False,,,,,,,,,,
R0089,HUB::莎车县,HUB::喀什市,self_drive,road,2.5,104.5,0.08,SOURCE_LOCAL_ROAD_TABLE,190.0,False,,,,,,,,,,
R0090,HUB::和田市,HUB::喀什市,self_drive,road,6.5,275.0,0.08,SOURCE_LOCAL_ROAD_TABLE,500.0,False,,,,,,,,,,
R0091,HUB::喀什市,HUB::和田市,self_drive,road,6.5,275.0,0.08,SOURCE_LOCAL_ROAD_TABLE,500.0,False,,,,,,,,,,
R0092,HUB::和田市,HUB::民丰县(尼雅遗址),self_drive,road,1.5,60.5,0.08,SOURCE_LOCAL_ROAD_TABLE,110.0,False,,,,,,,,,,
R0093,HUB::民丰县(尼雅遗址),HUB::和田市,self_drive,road,1.5,60.5,0.08,SOURCE_LOCAL_ROAD_TABLE,110.0,False,,,,,,,,,,
R0094,HUB::若羌县(楼兰),HUB::和田市,self_drive,road,10.0,451.0,0.08,SOURCE_LOCAL_ROAD_TABLE,820.0,False,,,,,,,,,,
R0095,HUB::和田市,HUB::若羌县(楼兰),self_drive,road,10.0,451.0,0.08,SOURCE_LOCAL_ROAD_TABLE,820.0,False,,,,,,,,,,
R0096,HUB::若羌县(楼兰),HUB::茫崖市,self_drive,road,4.5,192.5,0.08,SOURCE_LOCAL_ROAD_TABLE,350.0,False,,,,,,,,,,
R0097,HUB::茫崖市,HUB::若羌县(楼兰),self_drive,road,4.5,192.5,0.08,SOURCE_LOCAL_ROAD_TABLE,350.0,False,,,,,,,,,,
RL0098,RAIL::乌鲁木齐市,RAIL::吐鲁番市,rail,rail,0.783,49.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,D8814,fastest,,,,,,
RL0098R,RAIL::吐鲁番市,RAIL::乌鲁木齐市,rail,rail,0.783,49.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,D8814,fastest,,,,,,
RL0099,RAIL::乌鲁木齐市,RAIL::库尔勒市,rail,rail,3.45,216.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,C872,fastest,,,,,,
RL0099R,RAIL::库尔勒市,RAIL::乌鲁木齐市,rail,rail,3.45,216.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,C872,fastest,,,,,,
RL0100,RAIL::乌鲁木齐市,RAIL::伊宁市(伊犁),rail,rail,4.983,162.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,C845,fastest,,,,,,
RL0100R,RAIL::伊宁市(伊犁),RAIL::乌鲁木齐市,rail,rail,4.983,162.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,C845,fastest,,,,,,
RL0101,RAIL::乌鲁木齐市,RAIL::喀什市,rail,rail,11.5,2760.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,Z6516,fastest,,,,,,
RL0101R,RAIL::喀什市,RAIL::乌鲁木齐市,rail,rail,11.5,2760.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,Z6516,fastest,,,,,,
RL0102,RAIL::喀什市,RAIL::和田市,rail,rail,3.817,916.08,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,Z6539,fastest,,,,,,
RL0102R,RAIL::和田市,RAIL::喀什市,rail,rail,3.817,916.08,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,Z6539,fastest,,,,,,
RL0103,RAIL::乌鲁木齐市,RAIL::阿克苏市,rail,rail,9.617,257.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,T9516,fastest,,,,,,
RL0103R,RAIL::阿克苏市,RAIL::乌鲁木齐市,rail,rail,9.617,257.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,T9516,fastest,,,,,,
RL0104,RAIL::阿克苏市,RAIL::库车市,rail,rail,2.083,499.92,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,T9528,fastest,,,,,,
RL0104R,RAIL::库车市,RAIL::阿克苏市,rail,rail,2.083,499.92,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,T9528,fastest,,,,,,
RL0105,RAIL::库车市,RAIL::库尔勒市,rail,rail,2.4,87.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,T9528,fastest,,,,,,
RL0105R,RAIL::库尔勒市,RAIL::库车市,rail,rail,2.4,87.0,0.04,RAIL_12306_MODEL_OPTIONS,,,1.0,0.75,T9528,fastest,,,,,,
AR0106,AIR::乌鲁木齐市,AIR::喀什市,air,air,4.5,2440.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,CZ6805,,schedule_high_fare_proxy,,,,,
AR0106R,AIR::喀什市,AIR::乌鲁木齐市,air,air,4.5,2440.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,CZ6805,,schedule_high_fare_proxy,,,,,
AR0107,AIR::乌鲁木齐市,AIR::伊宁市(伊犁),air,air,3.75,1118.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,GS*,,schedule_medium_price_missing,,,,,
AR0107R,AIR::伊宁市(伊犁),AIR::乌鲁木齐市,air,air,3.75,1118.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,GS*,,schedule_medium_price_missing,,,,,
AR0108,AIR::乌鲁木齐市,AIR::库尔勒市,air,air,3.583,2188.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,GJ8665,,schedule_medium_price_missing,,,,,
AR0108R,AIR::库尔勒市,AIR::乌鲁木齐市,air,air,3.583,2188.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,GJ8665,,schedule_medium_price_missing,,,,,
AR0109,AIR::乌鲁木齐市,AIR::阿克苏市,air,air,3.833,1760.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,CZ6867,,schedule_medium_price_missing,,,,,
AR0109R,AIR::阿克苏市,AIR::乌鲁木齐市,air,air,3.833,1760.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,CZ6867,,schedule_medium_price_missing,,,,,
AR0110,AIR::乌鲁木齐市,AIR::和田市,air,air,4.5,2252.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,GS7497,,schedule_high_price_missing,,,,,
AR0110R,AIR::和田市,AIR::乌鲁木齐市,air,air,4.5,2252.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,GS7497,,schedule_high_price_missing,,,,,
AR0111,AIR::乌鲁木齐市,AIR::库车市,air,air,3.833,1060.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,GS7553,,schedule_medium_price_missing,,,,,
AR0111R,AIR::库车市,AIR::乌鲁木齐市,air,air,3.833,1060.0,0.06,AIR_PUBLIC_SCHEDULE_SEED,,,1.0,1.0,GS7553,,schedule_medium_price_missing,,,,,
