from_hub_name,to_hub_name,shortest_time_hours,shortest_distance_km,path_hubs,path_edges
乌鲁木齐市,茫崖市,16.5,1291.0,乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰) -> 茫崖市,E011 -> E015 -> E055
吐鲁番市,乌鲁木齐市,2.5,180.0,吐鲁番市 -> 乌鲁木齐市,E002
吐鲁番市,吐鲁番市,0.0,0.0,吐鲁番市,
吐鲁番市,达坂城镇,1.8,120.0,吐鲁番市 -> 达坂城镇,E029
吐鲁番市,伊宁市(伊犁),9.5,870.0,吐鲁番市 -> 乌鲁木齐市 -> 伊宁市(伊犁),E002 -> E005
吐鲁番市,喀什市,20.5,1645.0,吐鲁番市 -> 乌鲁木齐市 -> 喀什市,E002 -> E007
吐鲁番市,阿勒泰市,8.5,680.0,吐鲁番市 -> 乌鲁木齐市 -> 阿勒泰市,E002 -> E009
吐鲁番市,库尔勒市,4.5,370.0,吐鲁番市 -> 库尔勒市,E013
吐鲁番市,若羌县(楼兰),10.5,840.0,吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰),E013 -> E015
吐鲁番市,那拉提镇,12.5,1120.0,吐鲁番市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇,E002 -> E005 -> E017
吐鲁番市,赛里木湖,11.5,1020.0,吐鲁番市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖,E002 -> E005 -> E019
吐鲁番市,天池风景区,4.0,275.0,吐鲁番市 -> 乌鲁木齐市 -> 天池风景区,E002 -> E021
吐鲁番市,可可托海,9.0,710.0,吐鲁番市 -> 乌鲁木齐市 -> 可可托海,E002 -> E023
吐鲁番市,禾木村,10.0,800.0,吐鲁番市 -> 乌鲁木齐市 -> 禾木村,E002 -> E025
吐鲁番市,白哈巴,11.0,860.0,吐鲁番市 -> 乌鲁木齐市 -> 白哈巴,E002 -> E027
吐鲁番市,鄯善县(库木塔格沙漠),1.2,90.0,吐鲁番市 -> 鄯善县(库木塔格沙漠),E031
吐鲁番市,霍城县(惠远古城),10.5,915.0,吐鲁番市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 霍城县(惠远古城),E002 -> E005 -> E033
吐鲁番市,特克斯县(八卦城),11.5,985.0,吐鲁番市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 特克斯县(八卦城),E002 -> E005 -> E035
吐鲁番市,昭苏县(夏塔古道),13.0,1050.0,吐鲁番市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 昭苏县(夏塔古道),E002 -> E005 -> E037
吐鲁番市,巴音布鲁克,15.0,1280.0,吐鲁番市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克,E002 -> E005 -> E017 -> E039
吐鲁番市,库车市,19.0,1540.0,吐鲁番市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市,E002 -> E005 -> E017 -> E039 -> E041
吐鲁番市,塔什库尔干县(帕米尔高原),25.0,1935.0,吐鲁番市 -> 乌鲁木齐市 -> 喀什市 -> 塔什库尔干县(帕米尔高原),E002 -> E007 -> E045
吐鲁番市,莎车县,23.0,1835.0,吐鲁番市 -> 乌鲁木齐市 -> 喀什市 -> 莎车县,E002 -> E007 -> E047
吐鲁番市,和田市,20.5,1660.0,吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市,E013 -> E015 -> E053
吐鲁番市,民丰县(尼雅遗址),22.0,1770.0,吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市 -> 民丰县(尼雅遗址),E013 -> E015 -> E053 -> E051
吐鲁番市,茫崖市,15.0,1190.0,吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰) -> 茫崖市,E013 -> E015 -> E055
达坂城镇,乌鲁木齐市,1.5,100.0,达坂城镇 -> 乌鲁木齐市,E004
达坂城镇,吐鲁番市,1.8,120.0,达坂城镇 -> 吐鲁番市,E030
达坂城镇,达坂城镇,0.0,0.0,达坂城镇,
达坂城镇,伊宁市(伊犁),8.5,790.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁),E004 -> E005
达坂城镇,喀什市,19.5,1565.0,达坂城镇 -> 乌鲁木齐市 -> 喀什市,E004 -> E007
达坂城镇,阿勒泰市,7.5,600.0,达坂城镇 -> 乌鲁木齐市 -> 阿勒泰市,E004 -> E009
达坂城镇,库尔勒市,6.3,490.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市,E030 -> E013
达坂城镇,若羌县(楼兰),12.3,960.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰),E030 -> E013 -> E015
达坂城镇,那拉提镇,11.5,1040.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇,E004 -> E005 -> E017
达坂城镇,赛里木湖,10.5,940.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖,E004 -> E005 -> E019
达坂城镇,天池风景区,3.0,195.0,达坂城镇 -> 乌鲁木齐市 -> 天池风景区,E004 -> E021
达坂城镇,可可托海,8.0,630.0,达坂城镇 -> 乌鲁木齐市 -> 可可托海,E004 -> E023
达坂城镇,禾木村,9.0,720.0,达坂城镇 -> 乌鲁木齐市 -> 禾木村,E004 -> E025
达坂城镇,白哈巴,10.0,780.0,达坂城镇 -> 乌鲁木齐市 -> 白哈巴,E004 -> E027
达坂城镇,鄯善县(库木塔格沙漠),3.0,210.0,达坂城镇 -> 吐鲁番市 -> 鄯善县(库木塔格沙漠),E030 -> E031
达坂城镇,霍城县(惠远古城),9.5,835.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 霍城县(惠远古城),E004 -> E005 -> E033
达坂城镇,特克斯县(八卦城),10.5,905.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 特克斯县(八卦城),E004 -> E005 -> E035
达坂城镇,昭苏县(夏塔古道),12.0,970.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 昭苏县(夏塔古道),E004 -> E005 -> E037
达坂城镇,巴音布鲁克,14.0,1200.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克,E004 -> E005 -> E017 -> E039
达坂城镇,库车市,18.0,1460.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市,E004 -> E005 -> E017 -> E039 -> E041
达坂城镇,塔什库尔干县(帕米尔高原),24.0,1855.0,达坂城镇 -> 乌鲁木齐市 -> 喀什市 -> 塔什库尔干县(帕米尔高原),E004 -> E007 -> E045
达坂城镇,莎车县,22.0,1755.0,达坂城镇 -> 乌鲁木齐市 -> 喀什市 -> 莎车县,E004 -> E007 -> E047
达坂城镇,和田市,22.3,1780.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市,E030 -> E013 -> E015 -> E053
达坂城镇,民丰县(尼雅遗址),23.8,1890.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市 -> 民丰县(尼雅遗址),E030 -> E013 -> E015 -> E053 -> E051
达坂城镇,茫崖市,16.8,1310.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰) -> 茫崖市,E030 -> E013 -> E015 -> E055
伊宁市(伊犁),乌鲁木齐市,7.0,690.0,伊宁市(伊犁) -> 乌鲁木齐市,E006
伊宁市(伊犁),吐鲁番市,9.5,870.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 吐鲁番市,E006 -> E001
伊宁市(伊犁),达坂城镇,8.5,790.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 达坂城镇,E006 -> E003
伊宁市(伊犁),伊宁市(伊犁),0.0,0.0,伊宁市(伊犁),
伊宁市(伊犁),喀什市,18.5,1380.0,伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市 -> 喀什市,E017 -> E039 -> E041 -> E043
伊宁市(伊犁),阿勒泰市,13.0,1190.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 阿勒泰市,E006 -> E009
伊宁市(伊犁),库尔勒市,13.0,1161.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 库尔勒市,E006 -> E011
伊宁市(伊犁),若羌县(楼兰),19.0,1631.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰),E006 -> E011 -> E015
伊宁市(伊犁),那拉提镇,3.0,250.0,伊宁市(伊犁) -> 那拉提镇,E017
伊宁市(伊犁),赛里木湖,2.0,150.0,伊宁市(伊犁) -> 赛里木湖,E019
伊宁市(伊犁),天池风景区,8.5,785.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 天池风景区,E006 -> E021
伊宁市(伊犁),可可托海,13.5,1220.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 可可托海,E006 -> E023
伊宁市(伊犁),禾木村,14.5,1310.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 禾木村,E006 -> E025
伊宁市(伊犁),白哈巴,15.5,1370.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 白哈巴,E006 -> E027
伊宁市(伊犁),鄯善县(库木塔格沙漠),10.7,960.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 吐鲁番市 -> 鄯善县(库木塔格沙漠),E006 -> E001 -> E031
伊宁市(伊犁),霍城县(惠远古城),1.0,45.0,伊宁市(伊犁) -> 霍城县(惠远古城),E033
伊宁市(伊犁),特克斯县(八卦城),2.0,115.0,伊宁市(伊犁) -> 特克斯县(八卦城),E035
伊宁市(伊犁),昭苏县(夏塔古道),3.5,180.0,伊宁市(伊犁) -> 昭苏县(夏塔古道),E037
伊宁市(伊犁),巴音布鲁克,5.5,410.0,伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克,E017 -> E039
伊宁市(伊犁),库车市,9.5,670.0,伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市,E017 -> E039 -> E041
伊宁市(伊犁),塔什库尔干县(帕米尔高原),23.0,1670.0,伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市 -> 喀什市 -> 塔什库尔干县(帕米尔高原),E017 -> E039 -> E041 -> E043 -> E045
伊宁市(伊犁),莎车县,21.0,1570.0,伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市 -> 喀什市 -> 莎车县,E017 -> E039 -> E041 -> E043 -> E047
伊宁市(伊犁),和田市,25.0,1880.0,伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市 -> 喀什市 -> 和田市,E017 -> E039 -> E041 -> E043 -> E050
伊宁市(伊犁),民丰县(尼雅遗址),26.5,1990.0,伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市 -> 喀什市 -> 和田市 -> 民丰县(尼雅遗址),E017 -> E039 -> E041 -> E043 -> E050 -> E051
伊宁市(伊犁),茫崖市,23.5,1981.0,伊宁市(伊犁) -> 乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰) -> 茫崖市,E006 -> E011 -> E015 -> E055
喀什市,乌鲁木齐市,18.0,1465.0,喀什市 -> 乌鲁木齐市,E008
喀什市,吐鲁番市,20.5,1645.0,喀什市 -> 乌鲁木齐市 -> 吐鲁番市,E008 -> E001
喀什市,达坂城镇,19.5,1565.0,喀什市 -> 乌鲁木齐市 -> 达坂城镇,E008 -> E003
喀什市,伊宁市(伊犁),18.5,1380.0,喀什市 -> 库车市 -> 巴音布鲁克 -> 那拉提镇 -> 伊宁市(伊犁),E044 -> E042 -> E040 -> E018
喀什市,喀什市,0.0,0.0,喀什市,
喀什市,阿勒泰市,24.0,1965.0,喀什市 -> 乌鲁木齐市 -> 阿勒泰市,E008 -> E009
喀什市,库尔勒市,22.5,1790.0,喀什市 -> 和田市 -> 若羌县(楼兰) -> 库尔勒市,E050 -> E054 -> E016
喀什市,若羌县(楼兰),16.5,1320.0,喀什市 -> 和田市 -> 若羌县(楼兰),E050 -> E054
喀什市,那拉提镇,15.5,1130.0,喀什市 -> 库车市 -> 巴音布鲁克 -> 那拉提镇,E044 -> E042 -> E040
喀什市,赛里木湖,20.5,1530.0,喀什市 -> 库车市 -> 巴音布鲁克 -> 那拉提镇 -> 伊宁市(伊犁) -> 赛里木湖,E044 -> E042 -> E040 -> E018 -> E019
喀什市,天池风景区,19.5,1560.0,喀什市 -> 乌鲁木齐市 -> 天池风景区,E008 -> E021
喀什市,可可托海,24.5,1995.0,喀什市 -> 乌鲁木齐市 -> 可可托海,E008 -> E023
喀什市,禾木村,25.5,2085.0,喀什市 -> 乌鲁木齐市 -> 禾木村,E008 -> E025
喀什市,白哈巴,26.5,2145.0,喀什市 -> 乌鲁木齐市 -> 白哈巴,E008 -> E027
喀什市,鄯善县(库木塔格沙漠),21.7,1735.0,喀什市 -> 乌鲁木齐市 -> 吐鲁番市 -> 鄯善县(库木塔格沙漠),E008 -> E001 -> E031
喀什市,霍城县(惠远古城),19.5,1425.0,喀什市 -> 库车市 -> 巴音布鲁克 -> 那拉提镇 -> 伊宁市(伊犁) -> 霍城县(惠远古城),E044 -> E042 -> E040 -> E018 -> E033
喀什市,特克斯县(八卦城),20.5,1495.0,喀什市 -> 库车市 -> 巴音布鲁克 -> 那拉提镇 -> 伊宁市(伊犁) -> 特克斯县(八卦城),E044 -> E042 -> E040 -> E018 -> E035
喀什市,昭苏县(夏塔古道),22.0,1560.0,喀什市 -> 库车市 -> 巴音布鲁克 -> 那拉提镇 -> 伊宁市(伊犁) -> 昭苏县(夏塔古道),E044 -> E042 -> E040 -> E018 -> E037
喀什市,巴音布鲁克,13.0,970.0,喀什市 -> 库车市 -> 巴音布鲁克,E044 -> E042
喀什市,库车市,9.0,710.0,喀什市 -> 库车市,E044
喀什市,塔什库尔干县(帕米尔高原),4.5,290.0,喀什市 -> 塔什库尔干县(帕米尔高原),E045
喀什市,莎车县,2.5,190.0,喀什市 -> 莎车县,E047
喀什市,和田市,6.5,500.0,喀什市 -> 和田市,E050
喀什市,民丰县(尼雅遗址),8.0,610.0,喀什市 -> 和田市 -> 民丰县(尼雅遗址),E050 -> E051
喀什市,茫崖市,21.0,1670.0,喀什市 -> 和田市 -> 若羌县(楼兰) -> 茫崖市,E050 -> E054 -> E055
阿勒泰市,乌鲁木齐市,6.0,500.0,阿勒泰市 -> 乌鲁木齐市,E010
阿勒泰市,吐鲁番市,8.5,680.0,阿勒泰市 -> 乌鲁木齐市 -> 吐鲁番市,E010 -> E001
阿勒泰市,达坂城镇,7.5,600.0,阿勒泰市 -> 乌鲁木齐市 -> 达坂城镇,E010 -> E003
阿勒泰市,伊宁市(伊犁),13.0,1190.0,阿勒泰市 -> 乌鲁木齐市 -> 伊宁市(伊犁),E010 -> E005
阿勒泰市,喀什市,24.0,1965.0,阿勒泰市 -> 乌鲁木齐市 -> 喀什市,E010 -> E007
阿勒泰市,阿勒泰市,0.0,0.0,阿勒泰市,
阿勒泰市,库尔勒市,12.0,971.0,阿勒泰市 -> 乌鲁木齐市 -> 库尔勒市,E010 -> E011
阿勒泰市,若羌县(楼兰),18.0,1441.0,阿勒泰市 -> 乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰),E010 -> E011 -> E015
阿勒泰市,那拉提镇,16.0,1440.0,阿勒泰市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇,E010 -> E005 -> E017
阿勒泰市,赛里木湖,15.0,1340.0,阿勒泰市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖,E010 -> E005 -> E019
阿勒泰市,天池风景区,7.5,595.0,阿勒泰市 -> 乌鲁木齐市 -> 天池风景区,E010 -> E021
阿勒泰市,可可托海,12.5,1030.0,阿勒泰市 -> 乌鲁木齐市 -> 可可托海,E010 -> E023
阿勒泰市,禾木村,13.5,1120.0,阿勒泰市 -> 乌鲁木齐市 -> 禾木村,E010 -> E025
阿勒泰市,白哈巴,14.5,1180.0,阿勒泰市 -> 乌鲁木齐市 -> 白哈巴,E010 -> E027
阿勒泰市,鄯善县(库木塔格沙漠),9.7,770.0,阿勒泰市 -> 乌鲁木齐市 -> 吐鲁番市 -> 鄯善县(库木塔格沙漠),E010 -> E001 -> E031
阿勒泰市,霍城县(惠远古城),14.0,1235.0,阿勒泰市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 霍城县(惠远古城),E010 -> E005 -> E033
阿勒泰市,特克斯县(八卦城),15.0,1305.0,阿勒泰市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 特克斯县(八卦城),E010 -> E005 -> E035
阿勒泰市,昭苏县(夏塔古道),16.5,1370.0,阿勒泰市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 昭苏县(夏塔古道),E010 -> E005 -> E037
阿勒泰市,巴音布鲁克,18.5,1600.0,阿勒泰市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克,E010 -> E005 -> E017 -> E039
阿勒泰市,库车市,22.5,1860.0,阿勒泰市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市,E010 -> E005 -> E017 -> E039 -> E041
阿勒泰市,塔什库尔干县(帕米尔高原),28.5,2255.0,阿勒泰市 -> 乌鲁木齐市 -> 喀什市 -> 塔什库尔干县(帕米尔高原),E010 -> E007 -> E045
阿勒泰市,莎车县,26.5,2155.0,阿勒泰市 -> 乌鲁木齐市 -> 喀什市 -> 莎车县,E010 -> E007 -> E047
阿勒泰市,和田市,28.0,2261.0,阿勒泰市 -> 乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市,E010 -> E011 -> E015 -> E053
阿勒泰市,民丰县(尼雅遗址),29.5,2371.0,阿勒泰市 -> 乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市 -> 民丰县(尼雅遗址),E010 -> E011 -> E015 -> E053 -> E051
阿勒泰市,茫崖市,22.5,1791.0,阿勒泰市 -> 乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰) -> 茫崖市,E010 -> E011 -> E015 -> E055
库尔勒市,乌鲁木齐市,6.0,471.0,库尔勒市 -> 乌鲁木齐市,E012
库尔勒市,吐鲁番市,4.5,370.0,库尔勒市 -> 吐鲁番市,E014
库尔勒市,达坂城镇,6.3,490.0,库尔勒市 -> 吐鲁番市 -> 达坂城镇,E014 -> E029
库尔勒市,伊宁市(伊犁),13.0,1161.0,库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁),E012 -> E005
库尔勒市,喀什市,22.5,1790.0,库尔勒市 -> 若羌县(楼兰) -> 和田市 -> 喀什市,E015 -> E053 -> E049
库尔勒市,阿勒泰市,12.0,971.0,库尔勒市 -> 乌鲁木齐市 -> 阿勒泰市,E012 -> E009
库尔勒市,库尔勒市,0.0,0.0,库尔勒市,
库尔勒市,若羌县(楼兰),6.0,470.0,库尔勒市 -> 若羌县(楼兰),E015
库尔勒市,那拉提镇,16.0,1411.0,库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇,E012 -> E005 -> E017
库尔勒市,赛里木湖,15.0,1311.0,库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖,E012 -> E005 -> E019
库尔勒市,天池风景区,7.5,566.0,库尔勒市 -> 乌鲁木齐市 -> 天池风景区,E012 -> E021
库尔勒市,可可托海,12.5,1001.0,库尔勒市 -> 乌鲁木齐市 -> 可可托海,E012 -> E023
库尔勒市,禾木村,13.5,1091.0,库尔勒市 -> 乌鲁木齐市 -> 禾木村,E012 -> E025
库尔勒市,白哈巴,14.5,1151.0,库尔勒市 -> 乌鲁木齐市 -> 白哈巴,E012 -> E027
库尔勒市,鄯善县(库木塔格沙漠),5.7,460.0,库尔勒市 -> 吐鲁番市 -> 鄯善县(库木塔格沙漠),E014 -> E031
库尔勒市,霍城县(惠远古城),14.0,1206.0,库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 霍城县(惠远古城),E012 -> E005 -> E033
库尔勒市,特克斯县(八卦城),15.0,1276.0,库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 特克斯县(八卦城),E012 -> E005 -> E035
库尔勒市,昭苏县(夏塔古道),16.5,1341.0,库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 昭苏县(夏塔古道),E012 -> E005 -> E037
库尔勒市,巴音布鲁克,18.5,1571.0,库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克,E012 -> E005 -> E017 -> E039
库尔勒市,库车市,22.5,1831.0,库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市,E012 -> E005 -> E017 -> E039 -> E041
库尔勒市,塔什库尔干县(帕米尔高原),27.0,2080.0,库尔勒市 -> 若羌县(楼兰) -> 和田市 -> 喀什市 -> 塔什库尔干县(帕米尔高原),E015 -> E053 -> E049 -> E045
库尔勒市,莎车县,25.0,1980.0,库尔勒市 -> 若羌县(楼兰) -> 和田市 -> 喀什市 -> 莎车县,E015 -> E053 -> E049 -> E047
库尔勒市,和田市,16.0,1290.0,库尔勒市 -> 若羌县(楼兰) -> 和田市,E015 -> E053
库尔勒市,民丰县(尼雅遗址),17.5,1400.0,库尔勒市 -> 若羌县(楼兰) -> 和田市 -> 民丰县(尼雅遗址),E015 -> E053 -> E051
库尔勒市,茫崖市,10.5,820.0,库尔勒市 -> 若羌县(楼兰) -> 茫崖市,E015 -> E055
若羌县(楼兰),乌鲁木齐市,12.0,941.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市,E016 -> E012
若羌县(楼兰),吐鲁番市,10.5,840.0,若羌县(楼兰) -> 库尔勒市 -> 吐鲁番市,E016 -> E014
若羌县(楼兰),达坂城镇,12.3,960.0,若羌县(楼兰) -> 库尔勒市 -> 吐鲁番市 -> 达坂城镇,E016 -> E014 -> E029
若羌县(楼兰),伊宁市(伊犁),19.0,1631.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁),E016 -> E012 -> E005
若羌县(楼兰),喀什市,16.5,1320.0,若羌县(楼兰) -> 和田市 -> 喀什市,E053 -> E049
若羌县(楼兰),阿勒泰市,18.0,1441.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市 -> 阿勒泰市,E016 -> E012 -> E009
若羌县(楼兰),库尔勒市,6.0,470.0,若羌县(楼兰) -> 库尔勒市,E016
若羌县(楼兰),若羌县(楼兰),0.0,0.0,若羌县(楼兰),
若羌县(楼兰),那拉提镇,22.0,1881.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇,E016 -> E012 -> E005 -> E017
若羌县(楼兰),赛里木湖,21.0,1781.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖,E016 -> E012 -> E005 -> E019
若羌县(楼兰),天池风景区,13.5,1036.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市 -> 天池风景区,E016 -> E012 -> E021
若羌县(楼兰),可可托海,18.5,1471.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市 -> 可可托海,E016 -> E012 -> E023
若羌县(楼兰),禾木村,19.5,1561.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市 -> 禾木村,E016 -> E012 -> E025
若羌县(楼兰),白哈巴,20.5,1621.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市 -> 白哈巴,E016 -> E012 -> E027
若羌县(楼兰),鄯善县(库木塔格沙漠),11.7,930.0,若羌县(楼兰) -> 库尔勒市 -> 吐鲁番市 -> 鄯善县(库木塔格沙漠),E016 -> E014 -> E031
若羌县(楼兰),霍城县(惠远古城),20.0,1676.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 霍城县(惠远古城),E016 -> E012 -> E005 -> E033
若羌县(楼兰),特克斯县(八卦城),21.0,1746.0,若羌县(楼兰) -> 库尔勒市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 特克斯县(八卦城),E016 -> E012 -> E005 -> E035
