route_id,order,spot_id,spot_name,region_cluster,hub_name,travel_from_previous_hub_hours,service_hours_used,cumulative_hours,cumulative_day_equiv,ticket_total_yuan_per_person,requires_approval,requires_border_permit,map_confidence
P2_Y2_Approval_Extension,2,P005,坎儿井民俗园,东疆,吐鲁番市,0.0,1.5,7.5,0.94,40.0,False,False,high
P2_Y2_Approval_Extension,3,P012,苏公塔,东疆,吐鲁番市,0.0,1.5,9.0,1.12,45.0,False,False,high
P2_Y2_Approval_Extension,4,P006,交河故城,东疆,吐鲁番市,0.0,1.75,10.75,1.34,30.0,False,False,high
P2_Y2_Approval_Extension,5,P011,高昌故城,东疆,吐鲁番市,0.0,3.5,14.25,1.78,70.0,False,False,medium
P2_Y2_Approval_Extension,6,P003,火焰山,东疆,吐鲁番市,0.0,3.5,17.75,2.22,40.0,False,False,high
P2_Y2_Approval_Extension,7,P004,葡萄沟,东疆,吐鲁番市,0.0,3.0,20.75,2.59,60.0,False,False,high
P2_Y2_Approval_Extension,8,P034,罗布人村寨,巴州-南疆北线,库尔勒市,4.5,3.5,28.75,3.59,35.0,False,False,medium
P2_Y2_Approval_Extension,9,P032,博斯腾湖,巴州-南疆北线,库尔勒市,0.0,3.5,32.25,4.03,45.0,False,False,medium
P2_Y2_Approval_Extension,10,P007,楼兰古城,巴州-南疆北线,若羌县(楼兰),6.0,13.5,51.75,6.47,4000.0,True,False,high
P2_Y2_Approval_Extension,11,P037,和田博物馆,南疆,和田市,10.0,2.5,64.25,8.03,0.0,False,False,high
P2_Y2_Approval_Extension,12,P039,千里葡萄长廊,南疆,和田市,0.0,1.5,65.75,8.22,0.0,False,False,medium
P2_Y2_Approval_Extension,13,P038,尼雅遗址,南疆,民丰县(尼雅遗址),1.5,10.0,77.25,9.66,45.0,True,False,high
P2_Y2_Approval_Extension,14,P025,艾提尕尔清真寺,南疆,喀什市,8.0,1.5,86.75,10.84,30.0,False,False,high
P2_Y2_Approval_Extension,15,P026,香妃园,南疆,喀什市,0.0,2.5,89.25,11.16,60.0,False,False,high
P2_Y2_Approval_Extension,16,P024,喀什古城,南疆,喀什市,0.0,3.5,92.75,11.59,0.0,False,False,high
P2_Y2_Approval_Extension,17,P040,奥依塔克冰川,南疆,喀什市,0.0,5.5,98.25,12.28,45.0,False,False,medium
P2_Y2_Approval_Extension,18,P028,石头城遗址,南疆,塔什库尔干县(帕米尔高原),4.5,2.5,105.25,13.16,30.0,False,True,high
P2_Y2_Approval_Extension,19,P027,帕米尔高原白沙湖,南疆,塔什库尔干县(帕米尔高原),0.0,5.0,110.25,13.78,40.0,False,True,high
P2_Y2_Approval_Extension,20,P030,库车王府,巴州-南疆北线,库车市,13.5,1.5,125.25,15.66,40.0,False,False,high
P2_Y2_Approval_Extension,21,P031,克孜尔石窟,巴州-南疆北线,库车市,0.0,4.0,129.25,16.16,70.0,False,False,medium
P2_Y2_Approval_Extension,22,P029,天山神秘大峡谷,巴州-南疆北线,库车市,0.0,5.0,134.25,16.78,40.0,False,False,medium
P2_Y2_Approval_Extension,23,P033,巴音布鲁克草原,巴州-南疆北线,巴音布鲁克,4.0,6.0,144.25,18.03,140.0,False,False,high
P2_Y2_Approval_Extension,24,END,返回/离疆：喀什市,,喀什市,13.0,0.0,157.25,19.66,,,,
