route_id,spots_count,total_cost_yuan_excluding_meals,transport_cost_yuan_for_two,ticket_cost_yuan_for_two,rough_hotel_cost_yuan,planned_trip_days,buffer_days,red_days,time_window_violations,operational_success_probability,strict_comfort_success_probability,topic_executable_feasible,operational_robust_feasible,strict_comfort_reference_feasible,route_sequence
Q1V3_Q24_124,24,9620.98,2924.18,2636.0,4060.8,30,5,2,0,0.94,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q24_120,24,9919.65,3416.85,2442.0,4060.8,30,5,2,0,0.94,0.0,True,True,False,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 千里葡萄长廊 -> 艾提尕尔清真寺 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 白哈巴村 -> 五彩滩 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q24_116,24,9924.95,2942.55,2696.0,4286.4,30,5,3,0,0.916,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 库车王府 -> 石头城遗址 -> 喀什古城 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q24_131,24,9926.61,2944.21,2696.0,4286.4,30,5,2,0,0.936,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 库车王府 -> 艾提尕尔清真寺 -> 香妃园 -> 喀什古城 -> 石头城遗址 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q24_139,24,9945.0,3122.6,2536.0,4286.4,30,4,3,0,0.914,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 石头城遗址 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q24_159,24,10090.3,3187.9,2616.0,4286.4,30,3,4,0,0.908,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 石头城遗址 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q24_119,24,10300.5,3572.1,2442.0,4286.4,30,5,2,0,0.916,0.0,True,True,False,天山天池 -> 罗布人村寨 -> 和田博物馆 -> 千里葡萄长廊 -> 艾提尕尔清真寺 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 北庭故城遗址 -> 江布拉克草原 -> 五彩滩 -> 白哈巴村
Q1V3_Q24_123,24,11620.18,4923.38,2636.0,4060.8,30,5,3,0,0.892,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 库车王府 -> 和田博物馆 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺
Q1V3_Q24_114,24,11724.49,4967.69,2696.0,4060.8,30,7,3,0,0.926,0.0,True,True,False,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 北庭故城遗址 -> 天山天池 -> 赛里木湖 -> 果子沟大桥 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 罗布人村寨 -> 库车王府 -> 克孜尔石窟 -> 喀什古城 -> 艾提尕尔清真寺 -> 石头城遗址 -> 香妃园
Q1V3_Q24_115,24,11750.33,4993.53,2696.0,4060.8,30,4,3,0,0.898,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 罗布人村寨 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 石头城遗址
Q1V3_Q24_113,24,11750.79,4993.99,2696.0,4060.8,30,8,3,0,0.904,0.0,True,True,False,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 库车王府 -> 克孜尔石窟 -> 艾提尕尔清真寺 -> 喀什古城 -> 石头城遗址 -> 香妃园
Q1V3_Q24_138,24,11960.74,5138.34,2536.0,4286.4,30,4,4,0,0.928,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 库车王府 -> 和田博物馆 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 石头城遗址
Q1V3_Q24_158,24,12146.97,5244.57,2616.0,4286.4,30,3,4,0,0.906,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 和田博物馆 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 石头城遗址
Q1V3_Q22_070,22,8580.51,2774.91,2196.0,3609.6,30,7,1,0,0.918,0.362,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q22_062,22,9071.05,2679.85,2556.0,3835.2,30,7,3,0,0.94,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q22_084,22,9080.72,2829.52,2416.0,3835.2,30,7,4,0,0.926,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 库车王府 -> 石头城遗址 -> 喀什古城 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q22_092,22,9096.31,2625.11,2636.0,3835.2,30,7,2,0,0.922,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 库车王府 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q22_106,22,9182.99,2891.79,2456.0,3835.2,30,7,3,0,0.944,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 艾提尕尔清真寺 -> 香妃园 -> 喀什古城 -> 石头城遗址 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q22_066,22,9653.4,3314.2,2504.0,3835.2,30,5,2,0,0.934,0.0,True,True,False,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 艾提尕尔清真寺 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 五彩滩 -> 可可托海 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q22_065,22,10046.11,3481.31,2504.0,4060.8,30,5,2,0,0.952,0.0,True,True,False,天山天池 -> 罗布人村寨 -> 和田博物馆 -> 艾提尕尔清真寺 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 北庭故城遗址 -> 江布拉克草原 -> 五彩滩 -> 可可托海
Q1V3_Q22_069,22,10582.5,4776.9,2196.0,3609.6,30,7,2,0,0.946,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 库车王府 -> 和田博物馆 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺
Q1V3_Q22_091,22,10918.77,4673.17,2636.0,3609.6,30,7,2,0,0.936,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 罗布人村寨 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺
Q1V3_Q22_060,22,11008.44,4617.24,2556.0,3835.2,30,9,3,0,0.938,0.0,True,True,False,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 北庭故城遗址 -> 天山天池 -> 赛里木湖 -> 果子沟大桥 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园
Q1V3_Q22_061,22,11029.91,4638.71,2556.0,3835.2,30,6,2,0,0.95,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺
Q1V3_Q22_059,22,11034.65,4643.45,2556.0,3835.2,30,9,3,0,0.94,0.0,True,True,False,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园
Q1V3_Q22_083,22,11134.77,4883.57,2416.0,3835.2,30,6,3,0,0.934,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 石头城遗址
Q1V3_Q22_105,22,11144.87,4853.67,2456.0,3835.2,30,5,3,0,0.934,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 石头城遗址
Q1V3_Q22_086,22,11393.76,5094.56,2464.0,3835.2,30,8,4,0,0.942,0.0,True,True,False,天山天池 -> 可可托海 -> 北庭故城遗址 -> 江布拉克草原 -> 千里葡萄长廊 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 库车王府 -> 罗布人村寨 -> 喀拉峻大草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q20_012,20,8055.84,2475.84,2196.0,3384.0,30,9,1,0,0.95,0.428,True,True,True,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 库车王府 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q20_038,20,8352.69,2572.69,2396.0,3384.0,30,9,3,0,0.968,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q20_020,20,8457.21,2571.61,2276.0,3609.6,30,9,3,0,0.96,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 艾提尕尔清真寺 -> 喀什古城 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q20_004,20,8722.48,2676.88,2436.0,3609.6,30,8,3,0,0.952,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 艾提尕尔清真寺 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q20_032,20,8875.98,3104.78,1936.0,3835.2,30,7,4,0,0.852,0.0,True,True,False,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 香妃园 -> 喀什古城 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 和田博物馆 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 吐峪沟麻扎村
Q1V3_Q20_052,20,8942.04,2846.84,2260.0,3835.2,30,9,4,0,0.854,0.0,True,True,False,天山天池 -> 罗布人村寨 -> 艾提尕尔清真寺 -> 香妃园 -> 喀什古城 -> 石头城遗址 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q1V3_Q20_011,20,9881.09,4526.69,2196.0,3158.4,30,9,1,0,0.964,0.432,True,True,True,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺
