sample_id,scenario_id,scenario_description,road_time_factor,rail_time_factor,air_time_factor,coach_time_factor,local_time_factor,road_cost_factor,rail_cost_factor,air_cost_factor,coach_cost_factor,service_time_factor,reservation_pressure,hotel_full_probability,road_closure_probability,public_transport_disruption_probability,heatwave_flag,heat_penalty_hours,general_cost_multiplier,risk_add_road,risk_add_public
16,base_summer,暑假普通日，使用基础时间。,0.9423,0.9935,0.9831,0.9904,1.0383,0.9924,0.9977,1.0615,1.0253,0.9927,0.0605,0.0544,0.015,0.015,False,0.168,1.01,0.0,0.0
17,base_summer,暑假普通日，使用基础时间。,1.0373,1.0287,1.0074,1.0406,0.8871,0.9837,1.0064,1.0629,0.9869,1.0758,0.0532,0.0296,0.015,0.015,False,0.068,1.0201,0.0,0.0
18,base_summer,暑假普通日，使用基础时间。,0.9464,0.9624,0.9992,1.0147,1.0309,1.0067,0.9409,0.9937,1.0294,0.9699,0.0282,0.0644,0.015,0.015,True,0.574,1.0241,0.0,0.0
19,base_summer,暑假普通日，使用基础时间。,1.0135,1.0304,1.0148,0.9147,0.9898,1.0117,0.9595,1.0286,1.0076,1.0335,0.0846,0.05,0.015,0.015,False,0.0,1.0113,0.0,0.0
20,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1082,1.0308,1.0557,0.984,1.064,1.0392,1.1138,1.2376,1.0386,0.9729,0.1585,0.1611,0.015,0.03,False,0.196,1.1716,0.03,0.04
21,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2135,1.0517,1.1016,0.9282,1.0856,1.0347,1.0991,1.2158,0.9551,1.0144,0.1722,0.0887,0.015,0.03,False,0.096,1.28,0.03,0.04
22,base_summer,暑假普通日，使用基础时间。,1.0499,0.9363,1.0059,1.0069,1.0144,0.9797,1.0108,1.0011,1.0059,1.0162,0.0602,0.0699,0.015,0.015,False,0.066,1.0263,0.0,0.0
23,base_summer,暑假普通日，使用基础时间。,0.9676,1.0188,0.8913,0.9392,0.9737,1.0154,1.0137,0.999,0.9243,1.0367,0.0892,0.0434,0.015,0.015,True,1.863,1.0304,0.0,0.0
24,base_summer,暑假普通日，使用基础时间。,1.0161,0.9715,1.0105,1.055,0.9639,0.9739,0.977,0.937,1.0009,1.0235,0.0602,0.0275,0.015,0.015,False,0.239,1.0313,0.0,0.0
25,base_summer,暑假普通日，使用基础时间。,0.9106,1.0313,0.9365,0.992,1.0669,1.0154,0.9932,1.048,1.0226,0.9752,0.0604,0.0439,0.015,0.015,False,0.037,1.0383,0.0,0.0
26,base_summer,暑假普通日，使用基础时间。,1.0018,0.992,1.0524,1.0285,1.0484,0.9989,0.9783,0.9764,0.9815,1.0519,0.0618,0.0222,0.015,0.015,False,0.173,1.0242,0.0,0.0
27,base_summer,暑假普通日，使用基础时间。,0.9793,1.031,0.9819,0.974,0.9555,0.9699,1.0148,1.005,0.9473,0.9678,0.0373,0.01,0.015,0.015,False,0.063,1.0441,0.0,0.0
28,base_summer,暑假普通日，使用基础时间。,0.8989,1.0532,0.9996,1.0145,0.9564,0.9616,0.9928,1.0068,1.0141,1.0954,0.0286,0.0754,0.015,0.015,False,0.214,0.9891,0.0,0.0
29,base_summer,暑假普通日，使用基础时间。,1.0091,1.0069,0.9528,0.9893,0.9632,1.0087,1.013,1.0183,1.0244,1.1532,0.01,0.0314,0.015,0.015,False,0.287,1.0337,0.0,0.0
30,base_summer,暑假普通日，使用基础时间。,1.0026,1.0041,1.031,0.9424,1.0553,0.9498,1.013,0.995,0.9988,1.041,0.0642,0.0657,0.015,0.015,False,0.277,1.0686,0.0,0.0
31,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2518,1.0106,0.9824,1.0158,1.094,1.0447,1.1282,1.276,0.9971,1.016,0.1854,0.1094,0.015,0.03,False,0.099,1.2964,0.03,0.04
32,base_summer,暑假普通日，使用基础时间。,0.9748,0.9802,0.9893,1.0093,0.9977,1.0057,1.0357,0.9793,0.9615,1.0546,0.0565,0.0429,0.015,0.015,False,0.244,1.0728,0.0,0.0
33,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1157,0.9801,1.099,1.1255,1.025,1.0393,1.0981,1.2261,0.968,1.034,0.1464,0.1242,0.015,0.03,False,0.028,1.2471,0.03,0.04
34,base_summer,暑假普通日，使用基础时间。,0.9567,1.0312,1.0404,1.0295,1.0663,1.0458,0.976,0.9914,0.9961,0.9559,0.0221,0.0673,0.015,0.015,False,0.005,1.0121,0.0,0.0
35,base_summer,暑假普通日，使用基础时间。,1.0121,0.9674,0.8831,1.0078,0.9245,1.0164,0.9982,0.9944,0.964,0.9794,0.0314,0.0172,0.015,0.015,False,0.261,1.0114,0.0,0.0
36,base_summer,暑假普通日，使用基础时间。,0.9222,0.9806,0.9524,0.9286,0.9928,0.989,0.9556,1.0223,1.0089,0.9228,0.1183,0.0301,0.015,0.015,False,0.289,1.0258,0.0,0.0
37,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1423,0.9917,0.9802,1.0211,1.1004,1.321,1.0076,0.9382,1.0019,0.9613,0.1007,0.3137,0.015,0.015,False,0.142,1.3736,0.08,0.0
38,base_summer,暑假普通日，使用基础时间。,1.0294,0.9432,0.9748,1.0232,1.0286,1.0463,0.9894,0.9971,0.9665,0.9577,0.0315,0.0529,0.015,0.015,False,0.065,1.0216,0.0,0.0
39,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1715,1.0467,0.9694,0.9733,1.0342,1.0453,1.0841,1.2626,0.9525,0.9754,0.0705,0.1253,0.015,0.03,False,0.254,1.174,0.03,0.04
40,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0982,1.0668,1.0227,0.9864,1.0565,1.3298,0.977,1.0515,1.0155,0.9369,0.0659,0.2861,0.015,0.015,False,0.303,1.2852,0.08,0.0
41,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1246,1.0139,1.0633,0.9269,0.9605,0.9932,1.0915,1.2092,1.0032,0.9423,0.129,0.1598,0.015,0.03,False,0.172,1.262,0.03,0.04
42,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2109,1.0186,1.1012,0.9638,0.9955,0.9865,1.0636,1.2394,1.0094,0.9445,0.1364,0.1007,0.015,0.03,False,0.045,1.2367,0.03,0.04
43,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1275,1.1007,1.0434,1.0416,1.0923,0.9978,1.1072,1.2775,1.0111,0.9983,0.1414,0.1344,0.015,0.03,False,0.15,1.2798,0.03,0.04
44,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2525,0.9932,0.9436,1.0315,0.9698,1.0247,1.0692,1.2183,1.0067,0.8889,0.1524,0.1205,0.015,0.03,True,1.816,1.2962,0.03,0.04
45,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1692,1.0662,1.0508,0.9261,0.9744,1.0223,1.1466,1.2543,0.9674,0.9334,0.143,0.0489,0.015,0.03,True,1.835,1.273,0.03,0.04
46,base_summer,暑假普通日，使用基础时间。,1.0747,0.9546,0.9514,1.0722,1.0389,0.9691,1.0118,0.9787,1.0457,1.0232,0.0426,0.0543,0.015,0.015,True,1.764,1.0298,0.0,0.0
47,base_summer,暑假普通日，使用基础时间。,0.9463,1.1046,1.009,1.0848,0.9522,1.038,0.9987,1.0119,0.9616,1.089,0.01,0.0647,0.015,0.015,False,0.018,1.0151,0.0,0.0
48,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1364,1.016,1.0272,0.9981,1.0043,1.0687,1.0564,1.2682,1.006,0.9213,0.139,0.0788,0.015,0.03,False,0.065,1.2874,0.03,0.04
49,base_summer,暑假普通日，使用基础时间。,0.9489,0.9918,0.9908,1.0053,1.0433,0.9784,0.9838,0.9517,1.0034,0.9669,0.0289,0.0389,0.015,0.015,False,0.14,1.0246,0.0,0.0
50,base_summer,暑假普通日，使用基础时间。,1.0264,0.9749,0.947,0.9787,1.0109,1.0313,0.9871,1.0574,0.9931,1.0101,0.062,0.0647,0.015,0.015,False,0.143,1.0308,0.0,0.0
51,base_summer,暑假普通日，使用基础时间。,1.006,1.0707,0.9884,1.0092,1.0219,0.9354,0.9756,1.0204,1.013,1.0422,0.0716,0.0315,0.015,0.015,False,0.336,0.9988,0.0,0.0
52,base_summer,暑假普通日，使用基础时间。,1.0325,0.9692,1.0114,0.994,1.0882,0.9933,1.0018,0.9652,1.0038,0.9914,0.0829,0.047,0.015,0.015,False,0.198,1.034,0.0,0.0
53,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0563,0.9689,1.0115,1.0297,0.9589,1.2712,0.995,0.9718,0.9849,1.0257,0.1017,0.3178,0.015,0.015,False,0.026,1.3167,0.08,0.0
54,base_summer,暑假普通日，使用基础时间。,0.9818,1.0075,0.9635,1.027,1.0798,0.9941,0.9956,1.0194,1.0397,1.1212,0.0765,0.01,0.015,0.015,True,0.996,1.0307,0.0,0.0
55,base_summer,暑假普通日，使用基础时间。,1.0516,0.9911,0.9782,0.9593,0.9228,1.0281,0.9759,0.9961,1.0185,1.021,0.0694,0.0395,0.015,0.015,False,0.01,1.0374,0.0,0.0
56,base_summer,暑假普通日，使用基础时间。,1.0582,1.0167,1.0146,1.0077,0.9786,1.0114,1.0014,0.9657,0.964,1.0196,0.0632,0.0322,0.015,0.015,True,1.508,1.0266,0.0,0.0
57,base_summer,暑假普通日，使用基础时间。,0.9882,1.004,1.0074,1.0897,0.9453,0.9697,1.0177,1.0157,1.0302,1.0118,0.0734,0.0678,0.015,0.015,False,0.124,1.0128,0.0,0.0
58,base_summer,暑假普通日，使用基础时间。,0.9688,0.9825,1.0298,1.042,0.9584,1.0073,0.9754,0.9747,0.9773,1.0282,0.0431,0.0241,0.015,0.015,True,1.16,1.0275,0.0,0.0
59,base_summer,暑假普通日，使用基础时间。,0.9301,1.0272,1.0272,0.9803,1.0089,1.013,1.0127,0.9968,0.9955,1.0204,0.0171,0.0629,0.015,0.015,False,0.098,1.0214,0.0,0.0
60,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7661,0.9739,1.0146,1.0043,0.9287,0.9656,0.9578,0.9998,1.0001,1.0093,0.0847,0.091,0.08,0.025,False,0.224,1.0224,0.25,0.0
61,base_summer,暑假普通日，使用基础时间。,0.9938,0.9241,1.0564,0.9922,1.0466,0.9936,1.0408,0.9862,0.9978,0.9637,0.0611,0.01,0.015,0.015,True,0.579,1.0556,0.0,0.0
62,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1827,1.0604,1.0054,0.9733,0.9361,1.0759,1.0937,1.2136,0.9869,0.9424,0.0938,0.0688,0.015,0.03,False,0.214,1.2164,0.03,0.04
63,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1028,1.0905,1.0669,0.9427,0.9462,1.051,1.0668,1.2383,0.9837,0.9781,0.1376,0.1644,0.015,0.03,False,0.032,1.2866,0.03,0.04
64,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7726,1.0038,0.9658,0.9982,1.0295,0.9932,0.9691,0.9932,0.9698,1.0645,0.1062,0.0972,0.08,0.025,False,0.198,1.0524,0.25,0.0
65,base_summer,暑假普通日，使用基础时间。,1.0895,0.9709,1.0795,1.0206,0.9986,0.9798,1.0006,0.9781,0.9743,1.009,0.0532,0.018,0.015,0.015,False,0.077,1.0221,0.0,0.0
66,base_summer,暑假普通日，使用基础时间。,1.0513,0.9299,1.0126,0.9913,1.0795,1.005,0.9937,0.9926,1.0208,0.9718,0.0557,0.0661,0.015,0.015,False,0.218,1.0506,0.0,0.0
67,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.8096,0.989,0.9438,1.0081,1.029,0.9866,0.9955,1.0546,1.0408,0.9991,0.0799,0.082,0.08,0.025,False,0.224,1.0324,0.25,0.0
68,base_summer,暑假普通日，使用基础时间。,1.0396,0.962,1.0197,0.9857,0.943,1.0241,0.9779,0.9896,1.0411,0.9714,0.0684,0.0188,0.015,0.015,False,0.2,0.9953,0.0,0.0
69,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1211,0.976,1.1144,1.0076,1.0641,1.2847,1.0162,1.0306,1.0075,0.9914,0.1665,0.2714,0.015,0.015,False,0.275,1.3111,0.08,0.0
70,base_summer,暑假普通日，使用基础时间。,0.9404,0.9738,0.9806,1.0655,0.9772,0.9536,0.9935,0.9976,1.0205,0.9988,0.0418,0.0434,0.015,0.015,False,0.29,1.0392,0.0,0.0
71,base_summer,暑假普通日，使用基础时间。,1.0299,1.0108,0.9478,1.0259,1.0216,1.02,1.0117,0.9918,0.9787,0.9649,0.01,0.0505,0.015,0.015,False,0.031,0.996,0.0,0.0
72,base_summer,暑假普通日，使用基础时间。,1.0533,0.9768,0.9913,1.048,1.018,1.0227,1.0618,0.948,0.9887,0.9658,0.02,0.0562,0.015,0.015,False,0.059,1.0221,0.0,0.0
73,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7437,0.9813,1.0963,0.9597,0.9795,1.0083,1.0326,1.0412,1.0496,1.0312,0.0491,0.0973,0.08,0.025,False,0.211,1.0202,0.25,0.0
74,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1967,0.9774,0.9928,0.9936,0.9818,1.2663,1.0349,1.0118,1.0261,1.0497,0.1179,0.292,0.015,0.015,False,0.042,1.3303,0.08,0.0
75,base_summer,暑假普通日，使用基础时间。,1.026,1.0626,0.9897,0.9706,1.0341,0.9958,1.0021,0.9868,1.0493,1.0222,0.0383,0.0304,0.015,0.015,True,1.619,1.0345,0.0,0.0
76,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2171,1.0398,1.0758,0.9678,1.017,1.0406,1.158,1.2568,1.0117,1.089,0.1574,0.1221,0.015,0.03,True,2.028,1.2017,0.03,0.04
77,hotel_full_price_surge,住宿紧张导致费用上浮。,1.108,1.0181,0.926,0.9979,0.9775,1.2786,1.0063,0.9611,0.9943,0.9834,0.1475,0.2959,0.015,0.015,False,0.255,1.298,0.08,0.0
78,base_summer,暑假普通日，使用基础时间。,1.0104,0.9864,0.9893,0.9657,0.958,1.0631,0.9956,1.0207,0.9833,1.0382,0.1031,0.0559,0.015,0.015,True,1.881,0.9804,0.0,0.0
79,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1686,1.0476,1.0023,0.9966,0.9368,1.0398,1.0936,1.2308,0.9648,1.0304,0.1487,0.0922,0.015,0.03,True,1.0,1.2946,0.03,0.04
80,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7358,0.9932,1.0134,0.9685,1.0162,1.078,0.9502,0.9681,0.9765,0.9811,0.1254,0.0234,0.08,0.025,False,0.013,1.0321,0.25,0.0
81,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.183,1.0449,1.1131,0.9771,0.9588,1.0643,1.1024,1.2671,0.9912,0.9554,0.1568,0.0976,0.015,0.03,False,0.134,1.1964,0.03,0.04
82,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.6597,0.9654,1.0169,0.9614,1.0124,1.0117,1.0089,0.9928,0.9846,0.9768,0.1038,0.0571,0.08,0.025,False,0.016,1.0876,0.25,0.0
83,base_summer,暑假普通日，使用基础时间。,1.0107,0.9252,0.9649,1.0474,0.9732,0.9686,1.0101,0.9874,0.9733,0.9983,0.0451,0.0372,0.015,0.015,False,0.254,1.0512,0.0,0.0
84,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1034,0.97,1.0636,0.997,0.9177,1.0635,1.1236,1.2147,1.0542,0.9879,0.1162,0.1529,0.015,0.03,False,0.306,1.256,0.03,0.04
85,base_summer,暑假普通日，使用基础时间。,1.0414,1.0085,0.9691,0.9297,0.9988,0.9995,1.0422,1.0188,0.9473,0.9971,0.0544,0.0271,0.015,0.015,True,1.083,1.0403,0.0,0.0
86,base_summer,暑假普通日，使用基础时间。,1.0073,1.064,0.9856,0.9975,1.0001,0.9977,0.9623,1.0222,1.0303,0.9552,0.0751,0.0622,0.015,0.015,False,0.151,1.016,0.0,0.0
87,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.092,1.0778,1.0757,1.0035,0.9549,1.0607,1.1272,1.2174,0.9904,0.9976,0.1955,0.1423,0.015,0.03,False,0.144,1.2261,0.03,0.04
88,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1665,1.0394,1.081,0.9607,1.0263,1.041,1.0286,1.1932,1.02,0.9625,0.1798,0.1467,0.015,0.03,False,0.018,1.1982,0.03,0.04
89,base_summer,暑假普通日，使用基础时间。,1.0124,0.8945,0.94,0.9722,0.9709,0.9996,1.0142,1.0068,0.9919,0.9984,0.0713,0.01,0.015,0.015,True,0.888,1.0702,0.0,0.0
90,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7701,0.9935,0.9561,0.956,1.0136,1.034,0.9708,0.9707,0.98,1.1263,0.0336,0.0358,0.08,0.025,False,0.139,1.0434,0.25,0.0
91,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7786,1.0187,1.0561,0.9295,1.0058,1.0195,1.0222,1.0081,1.0344,1.0343,0.1169,0.0776,0.08,0.025,False,0.039,1.0052,0.25,0.0
92,hotel_full_price_surge,住宿紧张导致费用上浮。,1.078,1.0485,0.9565,1.0372,1.0109,1.2998,1.0616,1.0162,1.0086,1.1893,0.0797,0.2515,0.015,0.015,False,0.234,1.3275,0.08,0.0
93,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0994,0.9632,0.9819,0.9873,1.0627,1.4223,1.0312,1.0176,1.0637,1.0686,0.1412,0.2737,0.015,0.015,True,2.154,1.2971,0.08,0.0
94,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2003,1.0542,1.1531,1.023,1.0484,0.9921,1.0771,1.2483,1.0632,1.0046,0.1395,0.1121,0.015,0.03,False,0.216,1.2107,0.03,0.04
95,base_summer,暑假普通日，使用基础时间。,0.9899,0.9425,1.0292,1.0137,0.9644,1.0048,1.0357,1.0887,1.026,0.9957,0.0803,0.0597,0.015,0.015,False,0.171,1.0184,0.0,0.0
96,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1375,1.0445,0.993,0.9396,1.0021,1.0649,1.1043,1.2364,1.0719,0.9969,0.1456,0.1501,0.015,0.03,True,1.396,1.2755,0.03,0.04
97,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1922,1.018,1.0034,0.9956,0.9933,1.0485,1.1267,1.2675,0.9953,1.011,0.1308,0.1457,0.015,0.03,False,0.293,1.2651,0.03,0.04
98,base_summer,暑假普通日，使用基础时间。,1.036,0.981,0.9958,0.9778,1.0871,1.0272,1.0111,0.9727,0.9354,0.941,0.016,0.0876,0.015,0.015,True,1.398,0.9976,0.0,0.0
99,base_summer,暑假普通日，使用基础时间。,1.0068,1.0023,1.0962,0.968,1.0225,1.1,1.0062,0.9428,0.9521,0.9171,0.0216,0.01,0.015,0.015,False,0.049,1.0345,0.0,0.0
100,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1356,1.118,1.0399,0.9661,0.9919,1.0428,1.1492,1.2628,0.9625,0.9792,0.1786,0.1317,0.015,0.03,False,0.166,1.2917,0.03,0.04
101,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.0754,0.9976,1.0895,1.012,0.9755,1.0207,1.1487,1.2636,1.0004,1.052,0.1626,0.1085,0.015,0.03,False,0.043,1.2451,0.03,0.04
102,base_summer,暑假普通日，使用基础时间。,1.0131,0.9583,0.9945,1.0241,1.0182,1.0022,1.0246,0.971,1.034,1.0171,0.0264,0.01,0.015,0.015,False,0.292,1.0549,0.0,0.0
103,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.84,1.0215,0.9333,0.9992,1.0028,0.9877,1.0434,1.0315,0.9989,1.0646,0.084,0.0832,0.08,0.025,True,1.57,1.0159,0.25,0.0
104,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1373,1.0916,1.0385,0.9782,1.0037,1.0226,1.076,1.3256,0.9634,1.0062,0.1639,0.0599,0.015,0.03,False,0.2,1.2744,0.03,0.04
105,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7569,0.9471,0.9552,0.9328,0.9732,0.9898,0.9869,0.9744,1.0418,0.9504,0.1006,0.1047,0.08,0.025,False,0.142,1.0507,0.25,0.0
106,base_summer,暑假普通日，使用基础时间。,0.945,1.0227,1.0434,1.0689,1.0041,0.997,1.0297,0.9529,1.0295,1.0384,0.0501,0.0258,0.015,0.015,False,0.106,1.0081,0.0,0.0
107,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.2219,1.0365,1.0744,1.0116,1.0062,1.0506,1.0976,1.2769,1.0019,1.0604,0.1418,0.1071,0.015,0.03,False,0.304,1.2566,0.03,0.04
108,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.223,0.9894,0.9464,0.9759,0.9513,1.0564,1.0916,1.2848,1.0276,1.0777,0.161,0.074,0.015,0.03,False,0.127,1.2945,0.03,0.04
109,base_summer,暑假普通日，使用基础时间。,0.9724,1.0086,0.9413,0.9804,1.0389,0.9844,1.0247,0.997,0.957,0.9863,0.0238,0.0632,0.015,0.015,False,0.196,1.0816,0.0,0.0
110,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1942,0.991,1.0381,0.9944,1.042,1.2745,1.0214,1.016,1.0433,1.053,0.0955,0.2523,0.015,0.015,False,0.191,1.2914,0.08,0.0
111,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.8138,0.9595,1.049,1.0601,1.0424,0.9968,1.0511,0.998,0.9627,0.9678,0.1222,0.0967,0.08,0.025,False,0.159,1.0342,0.25,0.0
112,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0747,1.0067,0.9972,0.9977,0.9679,1.2867,0.9554,1.0073,0.9782,1.0513,0.1154,0.2664,0.015,0.015,False,0.204,1.2445,0.08,0.0
113,base_summer,暑假普通日，使用基础时间。,0.989,0.9246,1.0169,1.037,1.0406,1.0435,0.9597,0.9373,0.9801,0.9548,0.0267,0.0403,0.015,0.015,False,0.251,1.0046,0.0,0.0
114,base_summer,暑假普通日，使用基础时间。,0.938,0.959,1.0122,1.0084,0.9777,0.9254,1.0076,1.0365,0.9944,1.0373,0.0816,0.0957,0.015,0.015,False,0.159,1.0141,0.0,0.0
115,base_summer,暑假普通日，使用基础时间。,1.0196,0.9865,1.0201,0.9929,1.0638,0.9908,0.9783,1.0207,1.0146,1.0246,0.0731,0.024,0.015,0.015,False,0.137,1.0445,0.0,0.0
116,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.898,0.9449,1.0208,0.9558,0.9828,1.0145,1.0131,1.0657,0.9766,1.0082,0.059,0.078,0.08,0.025,False,0.278,1.0273,0.25,0.0
117,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.0613,1.0654,1.0439,1.0273,0.9939,1.0615,1.0537,1.2863,1.0312,1.0126,0.1484,0.1049,0.015,0.03,True,1.413,1.2336,0.03,0.04
118,base_summer,暑假普通日，使用基础时间。,0.9056,1.0183,1.0509,1.0692,1.0657,1.0353,0.9994,0.9852,0.99,0.9761,0.0491,0.0493,0.015,0.015,False,0.292,1.0081,0.0,0.0
119,base_summer,暑假普通日，使用基础时间。,0.9987,1.0118,1.0582,1.017,0.9242,1.0219,1.0046,1.0125,1.0132,0.96,0.0212,0.1022,0.015,0.015,False,0.153,0.9844,0.0,0.0
120,base_summer,暑假普通日，使用基础时间。,1.0152,0.9867,0.9641,1.0047,1.0295,1.0251,0.9951,0.9681,1.0077,0.9628,0.0597,0.0459,0.015,0.015,False,0.342,0.9928,0.0,0.0
121,base_summer,暑假普通日，使用基础时间。,0.9919,1.0229,1.044,0.9816,1.0365,0.976,0.9829,0.931,0.9695,1.0725,0.0618,0.01,0.015,0.015,False,0.266,1.0047,0.0,0.0
