plan_id,year,gateway_policy,entry_gateway,exit_gateway,spots_count,estimated_days,transport_cost_yuan_for_two,travel_hours,service_hours,active_hours,red_days,yellow_days,long_transfer_edges,time_window_violations,max_day_active_hours,mean_day_active_hours,risk_score,fatigue_score,schedule_soft_feasible,schedule_strict_feasible,spot_id_sequence,route_sequence,mode_hours_mix,mode_cost_mix
Q2V3_006_OPEN_GATEWAY,1,open_gateway,那拉提镇,乌鲁木齐市,16,16,1529.25,51.347,70.5,123.597,0,5,5,0,9.225,7.725,2.468,45.815,True,True,P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P035 -> P002,那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 江布拉克草原 -> 达坂城古镇,"{""charter_car"": 24.351, ""gateway_access"": 1.774, ""rental_car"": 12.522, ""scenic_shuttle"": 2.7, ""self_drive"": 10.0}","{""charter_car"": 1003.04, ""gateway_access"": 84.93, ""rental_car"": 298.28, ""scenic_shuttle"": 0.0, ""self_drive"": 143.0}"
Q2V3_006_OPEN_GATEWAY,2,open_gateway,乌鲁木齐市,和田市,22,16,1558.41,59.568,59.75,120.718,0,4,4,0,9.045,7.545,2.722,48.548,True,True,P001 -> P005 -> P013 -> P012 -> P006 -> P011 -> P003 -> P004 -> P034 -> P032 -> P033 -> P029 -> P030 -> P031 -> P026 -> P024 -> P040 -> P028 -> P027 -> P025 -> P039 -> P037,天山天池 -> 坎儿井民俗园 -> 吐峪沟麻扎村 -> 苏公塔 -> 交河故城 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 千里葡萄长廊 -> 和田博物馆,"{""charter_car"": 19.627, ""gateway_access"": 2.017, ""rail"": 2.433, ""rental_car"": 10.691, ""scenic_shuttle"": 19.0, ""self_drive"": 5.8}","{""charter_car"": 867.16, ""gateway_access"": 62.02, ""rail"": 99.0, ""rental_car"": 326.73, ""scenic_shuttle"": 0.0, ""self_drive"": 203.5}"
Q2V3_007_ROOTED_URUMQI,1,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,17,18,1750.15,58.126,79.0,139.226,0,6,6,0,9.235,7.735,2.726,51.141,True,True,P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P035 -> P001,巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池,"{""charter_car"": 24.351, ""gateway_access"": 7.129, ""rental_car"": 14.796, ""scenic_shuttle"": 2.7, ""self_drive"": 9.15}","{""charter_car"": 1003.04, ""gateway_access"": 257.08, ""rental_car"": 349.78, ""scenic_shuttle"": 0.0, ""self_drive"": 140.25}"
Q2V3_007_ROOTED_URUMQI,2,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,23,18,2019.56,71.053,67.25,139.703,1,3,4,1,15.764,7.761,3.117,56.879,True,False,P002 -> P038 -> P037 -> P039 -> P007 -> P024 -> P040 -> P028 -> P027 -> P025 -> P026 -> P030 -> P029 -> P031 -> P034 -> P032 -> P005 -> P013 -> P006 -> P011 -> P003 -> P004 -> P012,达坂城古镇 -> 尼雅遗址 -> 和田博物馆 -> 千里葡萄长廊 -> 楼兰古城 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 香妃园 -> 库车王府 -> 天山神秘大峡谷 -> 克孜尔石窟 -> 罗布人村寨 -> 博斯腾湖 -> 坎儿井民俗园 -> 吐峪沟麻扎村 -> 交河故城 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔,"{""charter_car"": 32.125, ""gateway_access"": 3.866, ""rail"": 3.55, ""rental_car"": 7.512, ""scenic_shuttle"": 20.2, ""self_drive"": 3.8}","{""charter_car"": 1440.22, ""gateway_access"": 159.43, ""rail"": 137.0, ""rental_car"": 222.41, ""scenic_shuttle"": 0.0, ""self_drive"": 60.5}"
Q2V3_008_OPEN_GATEWAY,1,open_gateway,那拉提镇,乌鲁木齐市,17,17,1606.75,54.737,79.0,135.487,0,5,5,0,9.47,7.97,2.697,48.599,True,True,P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P035 -> P001,巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池,"{""charter_car"": 24.351, ""gateway_access"": 3.74, ""rental_car"": 14.796, ""scenic_shuttle"": 2.7, ""self_drive"": 9.15}","{""charter_car"": 1003.04, ""gateway_access"": 113.68, ""rental_car"": 349.78, ""scenic_shuttle"": 0.0, ""self_drive"": 140.25}"
Q2V3_008_OPEN_GATEWAY,2,open_gateway,喀什市,吐鲁番市,23,16,1304.67,57.857,67.25,126.157,1,2,3,0,9.871,7.885,2.733,46.05,True,True,P040 -> P028 -> P027 -> P025 -> P026 -> P024 -> P007 -> P037 -> P039 -> P038 -> P030 -> P031 -> P029 -> P034 -> P032 -> P002 -> P005 -> P006 -> P011 -> P003 -> P012 -> P013 -> P004,奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 香妃园 -> 喀什古城 -> 楼兰古城 -> 和田博物馆 -> 千里葡萄长廊 -> 尼雅遗址 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 罗布人村寨 -> 博斯腾湖 -> 达坂城古镇 -> 坎儿井民俗园 -> 交河故城 -> 高昌故城 -> 火焰山 -> 苏公塔 -> 吐峪沟麻扎村 -> 葡萄沟,"{""charter_car"": 19.443, ""gateway_access"": 3.8, ""rail"": 3.55, ""rental_car"": 8.764, ""scenic_shuttle"": 18.5, ""self_drive"": 3.8}","{""charter_car"": 780.74, ""gateway_access"": 50.0, ""rail"": 137.0, ""rental_car"": 276.43, ""scenic_shuttle"": 0.0, ""self_drive"": 60.5}"
Q2V3_009_ROOTED_URUMQI,1,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,27,23,2095.47,77.785,99.25,179.485,0,7,7,0,9.304,7.804,3.664,64.541,True,True,P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023 -> P008 -> P017 -> P014 -> P010 -> P015 -> P016 -> P009 -> P033 -> P029 -> P031 -> P030 -> P034 -> P032 -> P005 -> P013 -> P006 -> P012 -> P004 -> P003 -> P011,北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城 -> 赛里木湖 -> 果子沟大桥 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 克孜尔石窟 -> 库车王府 -> 罗布人村寨 -> 博斯腾湖 -> 坎儿井民俗园 -> 吐峪沟麻扎村 -> 交河故城 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城,"{""charter_car"": 33.08, ""gateway_access"": 5.23, ""rail"": 3.55, ""rental_car"": 15.825, ""scenic_shuttle"": 14.1, ""self_drive"": 6.0}","{""charter_car"": 1311.72, ""gateway_access"": 197.29, ""rail"": 137.0, ""rental_car"": 361.46, ""scenic_shuttle"": 0.0, ""self_drive"": 88.0}"
Q2V3_009_ROOTED_URUMQI,2,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,11,10,2087.05,40.373,31.0,72.073,1,1,2,1,17.467,7.207,1.714,32.595,True,False,P001 -> P035 -> P028 -> P027 -> P040 -> P024 -> P026 -> P025 -> P037 -> P039 -> P002,天山天池 -> 江布拉克草原 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 喀什古城 -> 香妃园 -> 艾提尕尔清真寺 -> 和田博物馆 -> 千里葡萄长廊 -> 达坂城古镇,"{""air"": 4.583, ""charter_car"": 21.491, ""gateway_access"": 2.191, ""rental_car"": 2.058, ""scenic_shuttle"": 6.9, ""self_drive"": 3.15}","{""air"": 873.28, ""charter_car"": 1003.48, ""gateway_access"": 91.95, ""rental_car"": 66.09, ""scenic_shuttle"": 0.0, ""self_drive"": 52.25}"
Q2V3_010_OPEN_GATEWAY,1,open_gateway,伊宁市(伊犁),阿勒泰市,30,24,1901.0,79.628,110.25,191.978,0,6,6,0,9.499,7.999,3.699,66.407,True,True,P017 -> P008 -> P014 -> P010 -> P015 -> P016 -> P009 -> P033 -> P029 -> P031 -> P030 -> P034 -> P032 -> P001 -> P005 -> P006 -> P012 -> P004 -> P003 -> P011 -> P013 -> P002 -> P035 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023,果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 克孜尔石窟 -> 库车王府 -> 罗布人村寨 -> 博斯腾湖 -> 天山天池 -> 坎儿井民俗园 -> 交河故城 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 达坂城古镇 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,"{""charter_car"": 27.436, ""gateway_access"": 1.1, ""rail"": 5.983, ""rental_car"": 15.409, ""scenic_shuttle"": 15.9, ""self_drive"": 13.8}","{""charter_car"": 1054.55, ""gateway_access"": 60.0, ""rail"": 236.0, ""rental_car"": 341.45, ""scenic_shuttle"": 0.0, ""self_drive"": 209.0}"
Q2V3_010_OPEN_GATEWAY,2,open_gateway,和田市,喀什市,8,6,542.02,21.414,20.0,41.764,0,1,1,0,8.461,6.961,1.106,17.78,True,True,P037 -> P039 -> P024 -> P040 -> P028 -> P027 -> P025 -> P026,和田博物馆 -> 千里葡萄长廊 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 香妃园,"{""charter_car"": 5.7, ""gateway_access"": 2.1, ""rental_car"": 7.314, ""scenic_shuttle"": 6.3}","{""charter_car"": 271.34, ""gateway_access"": 50.0, ""rental_car"": 220.68, ""scenic_shuttle"": 0.0}"
Q2V3_011_ROOTED_URUMQI,1,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,16,17,1880.02,60.876,69.5,132.826,0,7,7,0,9.313,7.813,2.711,52.922,True,True,P005 -> P035 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023 -> P008 -> P017 -> P014 -> P010 -> P015 -> P016 -> P009,坎儿井民俗园 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城 -> 赛里木湖 -> 果子沟大桥 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原,"{""charter_car"": 27.856, ""gateway_access"": 9.826, ""rental_car"": 10.194, ""scenic_shuttle"": 2.7, ""self_drive"": 10.3}","{""charter_car"": 1127.68, ""gateway_access"": 361.36, ""rental_car"": 203.98, ""scenic_shuttle"": 0.0, ""self_drive"": 187.0}"
Q2V3_011_ROOTED_URUMQI,2,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,22,17,2105.1,70.432,60.75,132.932,1,4,5,1,13.252,7.82,3.152,57.898,True,False,P002 -> P004 -> P013 -> P003 -> P006 -> P011 -> P012 -> P032 -> P034 -> P037 -> P039 -> P025 -> P040 -> P028 -> P027 -> P024 -> P026 -> P030 -> P031 -> P029 -> P033 -> P001,达坂城古镇 -> 葡萄沟 -> 吐峪沟麻扎村 -> 火焰山 -> 交河故城 -> 高昌故城 -> 苏公塔 -> 博斯腾湖 -> 罗布人村寨 -> 和田博物馆 -> 千里葡萄长廊 -> 艾提尕尔清真寺 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 天山天池,"{""charter_car"": 36.378, ""gateway_access"": 2.369, ""rental_car"": 12.085, ""scenic_shuttle"": 19.6}","{""charter_car"": 1628.47, ""gateway_access"": 92.68, ""rental_car"": 383.95, ""scenic_shuttle"": 0.0}"
Q2V3_012_OPEN_GATEWAY,1,open_gateway,那拉提镇,乌鲁木齐市,16,16,1529.25,51.347,70.5,123.597,0,5,5,0,9.225,7.725,2.468,45.815,True,True,P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P035 -> P002,那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 江布拉克草原 -> 达坂城古镇,"{""charter_car"": 24.351, ""gateway_access"": 1.774, ""rental_car"": 12.522, ""scenic_shuttle"": 2.7, ""self_drive"": 10.0}","{""charter_car"": 1003.04, ""gateway_access"": 84.93, ""rental_car"": 298.28, ""scenic_shuttle"": 0.0, ""self_drive"": 143.0}"
Q2V3_012_OPEN_GATEWAY,2,open_gateway,乌鲁木齐市,和田市,22,16,1558.41,58.868,59.75,120.018,0,4,4,0,9.001,7.501,2.722,48.058,True,True,P001 -> P013 -> P003 -> P004 -> P012 -> P011 -> P006 -> P005 -> P034 -> P032 -> P033 -> P029 -> P030 -> P031 -> P026 -> P024 -> P040 -> P028 -> P027 -> P025 -> P039 -> P037,天山天池 -> 吐峪沟麻扎村 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 高昌故城 -> 交河故城 -> 坎儿井民俗园 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 千里葡萄长廊 -> 和田博物馆,"{""charter_car"": 19.627, ""gateway_access"": 2.017, ""rail"": 2.433, ""rental_car"": 10.691, ""scenic_shuttle"": 18.3, ""self_drive"": 5.8}","{""charter_car"": 867.16, ""gateway_access"": 62.02, ""rail"": 99.0, ""rental_car"": 326.73, ""scenic_shuttle"": 0.0, ""self_drive"": 203.5}"
Q2V3_013_ROOTED_URUMQI,1,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,15,12,1033.36,43.452,43.25,88.102,0,4,4,0,8.909,7.342,2.012,35.483,True,True,P001 -> P035 -> P036 -> P002 -> P004 -> P003 -> P013 -> P012 -> P011 -> P006 -> P005 -> P032 -> P034 -> P029 -> P009,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 达坂城古镇 -> 葡萄沟 -> 火焰山 -> 吐峪沟麻扎村 -> 苏公塔 -> 高昌故城 -> 交河故城 -> 坎儿井民俗园 -> 博斯腾湖 -> 罗布人村寨 -> 天山神秘大峡谷 -> 那拉提草原,"{""charter_car"": 16.93, ""gateway_access"": 8.376, ""rental_car"": 1.296, ""scenic_shuttle"": 10.9, ""self_drive"": 5.95}","{""charter_car"": 579.31, ""gateway_access"": 290.15, ""rental_car"": 56.65, ""scenic_shuttle"": 0.0, ""self_drive"": 107.25}"
