label_id,from_id,to_id,mode,mode_combo,time_hours,cost_yuan_for_two,risk_score,fatigue_score,path_desc,source,schedule_required,is_gateway_label,gateway_name,direction
Q2L003502,P001,P021,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000043,P001,P022,charter_car,amap_selfdrive,6.083,296.65,0.253,5.171,amap road 539.4km,amap_driving_od_matrix_clean,False,False,,
Q2L000042,P001,P022,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,9.3,393.25,0.24,9.3,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L003503,P001,P022,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000045,P001,P023,rental_car,amap_selfdrive,4.878,259.67,0.211,4.634,amap road 472.1km,amap_driving_od_matrix_clean,False,False,,
Q2L003504,P001,P023,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000047,P001,P024,charter_car,amap_selfdrive,14.796,763.13,0.558,12.577,amap road 1387.5km,amap_driving_od_matrix_clean,False,False,,
Q2L003239,P001,P024,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003263,P001,P024,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L000049,P001,P025,charter_car,amap_selfdrive,14.777,763.1,0.557,12.56,amap road 1387.4km,amap_driving_od_matrix_clean,False,False,,
Q2L003240,P001,P025,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003264,P001,P025,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L000051,P001,P026,charter_car,amap_selfdrive,14.783,763.1,0.557,12.566,amap road 1387.5km,amap_driving_od_matrix_clean,False,False,,
Q2L003241,P001,P026,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003265,P001,P026,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L000053,P001,P027,charter_car,amap_selfdrive,17.584,868.93,0.655,14.946,amap road 1579.9km,amap_driving_od_matrix_clean,False,False,,
Q2L003242,P001,P027,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003266,P001,P027,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003243,P001,P028,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003267,P001,P028,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003197,P001,P029,rail,local_transfer -> rail -> local_transfer,12.95,307.0,0.055,5.827,K9772 乌鲁木齐-阿克苏,rail_12306_model_options,True,False,,
Q2L000057,P001,P029,charter_car,amap_selfdrive,10.131,362.31,0.395,8.611,amap road 658.8km,amap_driving_od_matrix_clean,False,False,,
Q2L003343,P001,P029,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6867 乌鲁木齐-阿克苏,air_public_schedule_seed,True,False,,
Q2L003198,P001,P030,rail,local_transfer -> rail -> local_transfer,12.95,307.0,0.055,5.827,K9772 乌鲁木齐-阿克苏,rail_12306_model_options,True,False,,
Q2L000059,P001,P030,charter_car,amap_selfdrive,7.885,377.14,0.316,6.702,amap road 685.7km,amap_driving_od_matrix_clean,False,False,,
Q2L003344,P001,P030,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6867 乌鲁木齐-阿克苏,air_public_schedule_seed,True,False,,
Q2L003199,P001,P031,rail,local_transfer -> rail -> local_transfer,12.95,307.0,0.055,5.827,K9772 乌鲁木齐-阿克苏,rail_12306_model_options,True,False,,
Q2L000061,P001,P031,charter_car,amap_selfdrive,8.898,407.06,0.351,7.563,amap road 740.1km,amap_driving_od_matrix_clean,False,False,,
Q2L003345,P001,P031,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6867 乌鲁木齐-阿克苏,air_public_schedule_seed,True,False,,
Q2L000063,P001,P032,charter_car,amap_selfdrive,5.654,227.22,0.238,4.806,amap road 413.1km,amap_driving_od_matrix_clean,False,False,,
Q2L003189,P001,P032,rail,local_transfer -> rail -> local_transfer,5.1,266.0,0.055,2.295,C802 乌鲁木齐-库尔勒,rail_12306_model_options,True,False,,
Q2L003311,P001,P032,air,airport_transfer -> air -> airport_transfer,3.583,760.0,0.075,2.15,GJ8665 乌鲁木齐-库尔勒,air_public_schedule_seed,True,False,,
Q2L003335,P001,P032,air,airport_transfer -> air -> airport_transfer,2.5,2188.0,0.075,1.5,G5* 乌鲁木齐-库尔勒,air_public_schedule_seed,True,False,,
Q2L000065,P001,P033,charter_car,amap_selfdrive,6.876,258.08,0.281,5.845,amap road 469.2km,amap_driving_od_matrix_clean,False,False,,
Q2L000067,P001,P034,charter_car,amap_selfdrive,5.732,262.07,0.241,4.872,amap road 476.5km,amap_driving_od_matrix_clean,False,False,,
Q2L003190,P001,P034,rail,local_transfer -> rail -> local_transfer,5.1,266.0,0.055,2.295,C802 乌鲁木齐-库尔勒,rail_12306_model_options,True,False,,
Q2L003312,P001,P034,air,airport_transfer -> air -> airport_transfer,3.583,760.0,0.075,2.15,GJ8665 乌鲁木齐-库尔勒,air_public_schedule_seed,True,False,,
Q2L003336,P001,P034,air,airport_transfer -> air -> airport_transfer,2.5,2188.0,0.075,1.5,G5* 乌鲁木齐-库尔勒,air_public_schedule_seed,True,False,,
Q2L000068,P001,P035,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,3.15,52.25,0.16,3.15,scenic_shuttle -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L000069,P001,P035,rental_car,amap_selfdrive,1.986,94.37,0.11,1.887,amap road 171.6km,amap_driving_od_matrix_clean,False,False,,
Q2L000070,P001,P036,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,1.95,52.25,0.16,1.95,scenic_shuttle -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L000071,P001,P036,rental_car,amap_selfdrive,1.313,60.98,0.086,1.247,amap road 110.9km,amap_driving_od_matrix_clean,False,False,,
Q2L000073,P001,P037,charter_car,amap_selfdrive,16.206,738.17,0.607,13.775,amap road 1342.1km,amap_driving_od_matrix_clean,False,False,,
Q2L003403,P001,P037,air,airport_transfer -> air -> airport_transfer,4.5,860.0,0.075,2.7,GS7497 乌鲁木齐-和田,air_public_schedule_seed,True,False,,
Q2L003427,P001,P037,air,airport_transfer -> air -> airport_transfer,2.5,2252.0,0.075,1.5,GS* 乌鲁木齐-和田,air_public_schedule_seed,True,False,,
Q2L000075,P001,P038,charter_car,amap_selfdrive,14.526,600.25,0.548,12.347,amap road 1091.4km,amap_driving_od_matrix_clean,False,False,,
Q2L003404,P001,P038,air,airport_transfer -> air -> airport_transfer,4.5,860.0,0.075,2.7,GS7497 乌鲁木齐-和田,air_public_schedule_seed,True,False,,
Q2L003428,P001,P038,air,airport_transfer -> air -> airport_transfer,2.5,2252.0,0.075,1.5,GS* 乌鲁木齐-和田,air_public_schedule_seed,True,False,,
Q2L000077,P001,P039,charter_car,amap_selfdrive,16.214,738.06,0.607,13.782,amap road 1341.9km,amap_driving_od_matrix_clean,False,False,,
Q2L003405,P001,P039,air,airport_transfer -> air -> airport_transfer,4.5,860.0,0.075,2.7,GS7497 乌鲁木齐-和田,air_public_schedule_seed,True,False,,
Q2L003429,P001,P039,air,airport_transfer -> air -> airport_transfer,2.5,2252.0,0.075,1.5,GS* 乌鲁木齐-和田,air_public_schedule_seed,True,False,,
Q2L000079,P001,P040,charter_car,amap_selfdrive,16.178,821.1,0.606,13.751,amap road 1492.9km,amap_driving_od_matrix_clean,False,False,,
Q2L003244,P001,P040,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003268,P001,P040,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L000081,P002,P001,rental_car,amap_selfdrive,1.921,92.74,0.107,1.825,amap road 168.6km,amap_driving_od_matrix_clean,False,False,,
Q2L000082,P002,P002,same_spot,same_spot,0.0,0.0,0.0,0.0,same spot,zero_self_loop,False,False,,
Q2L000083,P002,P003,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,3.8,66.0,0.16,3.8,scenic_shuttle -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L000084,P002,P003,rental_car,amap_selfdrive,1.617,68.76,0.097,1.536,amap road 125.0km,amap_driving_od_matrix_clean,False,False,,
Q2L003168,P002,P003,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L000086,P002,P004,rental_car,amap_selfdrive,1.296,56.65,0.085,1.231,amap road 103.0km,amap_driving_od_matrix_clean,False,False,,
Q2L003169,P002,P004,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L000088,P002,P005,rental_car,amap_selfdrive,1.307,54.64,0.086,1.242,amap road 99.3km,amap_driving_od_matrix_clean,False,False,,
Q2L003170,P002,P005,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L000090,P002,P006,rental_car,amap_selfdrive,1.408,57.73,0.089,1.338,amap road 105.0km,amap_driving_od_matrix_clean,False,False,,
Q2L003171,P002,P006,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L000092,P002,P007,charter_car,amap_selfdrive,14.58,760.59,0.55,12.393,amap road 1382.9km,amap_driving_od_matrix_clean,False,False,,
Q2L000091,P002,P007,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,18.25,1133.5,0.38,10.95,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000094,P002,P008,charter_car,amap_selfdrive,6.635,351.02,0.272,5.64,amap road 638.2km,amap_driving_od_matrix_clean,False,False,,
Q2L000093,P002,P008,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,8.9,1657.5,0.38,5.34,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000096,P002,P009,charter_car,amap_selfdrive,8.109,287.45,0.324,6.893,amap road 522.6km,amap_driving_od_matrix_clean,False,False,,
Q2L000098,P002,P010,charter_car,amap_selfdrive,12.045,435.06,0.462,10.238,amap road 791.0km,amap_driving_od_matrix_clean,False,False,,
Q2L000097,P002,P010,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,10.75,1638.25,0.38,6.45,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000099,P002,P011,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,3.8,66.0,0.16,3.8,scenic_shuttle -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L000100,P002,P011,rental_car,amap_selfdrive,1.898,73.46,0.106,1.803,amap road 133.6km,amap_driving_od_matrix_clean,False,False,,
Q2L003172,P002,P011,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L000102,P002,P012,rental_car,amap_selfdrive,1.379,57.7,0.088,1.31,amap road 104.9km,amap_driving_od_matrix_clean,False,False,,
Q2L003173,P002,P012,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L000103,P002,P013,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,3.8,66.0,0.16,3.8,scenic_shuttle -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L000104,P002,P013,rental_car,amap_selfdrive,1.779,85.64,0.102,1.69,amap road 155.7km,amap_driving_od_matrix_clean,False,False,,
Q2L003174,P002,P013,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L000106,P002,P014,charter_car,amap_selfdrive,7.664,384.95,0.308,6.514,amap road 699.9km,amap_driving_od_matrix_clean,False,False,,
Q2L000105,P002,P014,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,8.75,1599.75,0.38,5.25,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000108,P002,P015,charter_car,amap_selfdrive,13.968,456.23,0.529,11.873,amap road 829.5km,amap_driving_od_matrix_clean,False,False,,
Q2L000107,P002,P015,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,13.25,1674.0,0.38,7.95,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000110,P002,P016,charter_car,amap_selfdrive,13.361,494.18,0.508,11.357,amap road 898.5km,amap_driving_od_matrix_clean,False,False,,
Q2L000109,P002,P016,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,11.75,1754.0,0.38,7.05,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000112,P002,P017,charter_car,amap_selfdrive,7.2,377.64,0.292,6.12,amap road 686.6km,amap_driving_od_matrix_clean,False,False,,
Q2L000111,P002,P017,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,8.9,1657.5,0.38,5.34,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000113,P002,P018,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,10.15,396.0,0.24,10.15,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L000114,P002,P018,charter_car,amap_selfdrive,9.919,426.42,0.387,8.431,amap road 775.3km,amap_driving_od_matrix_clean,False,False,,
Q2L003505,P002,P018,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000115,P002,P019,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,10.15,396.0,0.24,10.15,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L000116,P002,P019,charter_car,amap_selfdrive,9.578,423.89,0.375,8.141,amap road 770.7km,amap_driving_od_matrix_clean,False,False,,
Q2L003506,P002,P019,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000118,P002,P020,charter_car,amap_selfdrive,9.457,417.51,0.371,8.038,amap road 759.1km,amap_driving_od_matrix_clean,False,False,,
Q2L000117,P002,P020,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,11.15,729.0,0.24,11.15,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L003507,P002,P020,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000120,P002,P021,charter_car,amap_selfdrive,6.861,343.87,0.28,5.832,amap road 625.2km,amap_driving_od_matrix_clean,False,False,,
Q2L000119,P002,P021,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,9.15,418.5,0.24,9.15,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L003508,P002,P021,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000122,P002,P022,charter_car,amap_selfdrive,7.231,351.88,0.293,6.146,amap road 639.8km,amap_driving_od_matrix_clean,False,False,,
Q2L000121,P002,P022,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,10.15,396.0,0.24,10.15,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L003509,P002,P022,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000124,P002,P023,charter_car,amap_selfdrive,5.36,287.44,0.228,4.556,amap road 522.6km,amap_driving_od_matrix_clean,False,False,,
Q2L003510,P002,P023,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000126,P002,P024,charter_car,amap_selfdrive,14.537,759.67,0.549,12.356,amap road 1381.2km,amap_driving_od_matrix_clean,False,False,,
Q2L003245,P002,P024,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003269,P002,P024,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L000128,P002,P025,charter_car,amap_selfdrive,14.518,759.64,0.548,12.34,amap road 1381.2km,amap_driving_od_matrix_clean,False,False,,
Q2L003246,P002,P025,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003270,P002,P025,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L000130,P002,P026,charter_car,amap_selfdrive,14.525,759.64,0.548,12.346,amap road 1381.2km,amap_driving_od_matrix_clean,False,False,,
Q2L003247,P002,P026,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003271,P002,P026,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L000132,P002,P027,charter_car,amap_selfdrive,17.326,865.47,0.646,14.727,amap road 1573.6km,amap_driving_od_matrix_clean,False,False,,
Q2L003248,P002,P027,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003272,P002,P027,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003249,P002,P028,air,airport_transfer -> air -> airport_transfer,4.583,873.28,0.075,2.75,UQ3509 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003273,P002,P028,air,airport_transfer -> air -> airport_transfer,4.5,2440.0,0.075,2.7,CZ6805 乌鲁木齐-喀什,air_public_schedule_seed,True,False,,
Q2L003200,P002,P029,rail,local_transfer -> rail -> local_transfer,12.95,307.0,0.055,5.827,K9772 乌鲁木齐-阿克苏,rail_12306_model_options,True,False,,
Q2L000136,P002,P029,charter_car,amap_selfdrive,9.833,358.85,0.384,8.358,amap road 652.5km,amap_driving_od_matrix_clean,False,False,,
Q2L003346,P002,P029,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6867 乌鲁木齐-阿克苏,air_public_schedule_seed,True,False,,
