label_id,from_id,to_id,raw_mode,normalized_mode,mode_combo,raw_cost_yuan_for_two,calibrated_cost_yuan_for_two,cost_delta,time_hours,cost_calibration_note,source,is_gateway_label
Q2L000047,P001,P024,charter_car,charter_car,amap_selfdrive,763.13,763.13,0.0,14.796,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003239,P001,P024,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003263,P001,P024,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000049,P001,P025,charter_car,charter_car,amap_selfdrive,763.1,763.1,0.0,14.777,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003240,P001,P025,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003264,P001,P025,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000051,P001,P026,charter_car,charter_car,amap_selfdrive,763.1,763.1,0.0,14.783,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003241,P001,P026,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003265,P001,P026,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000053,P001,P027,charter_car,charter_car,amap_selfdrive,868.93,868.93,0.0,17.584,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003242,P001,P027,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003266,P001,P027,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L003243,P001,P028,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003267,P001,P028,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L003197,P001,P029,rail,rail,local_transfer -> rail -> local_transfer,307.0,307.0,0.0,12.95,raw_cost_kept,rail_12306_model_options,False
Q2L000057,P001,P029,charter_car,charter_car,amap_selfdrive,362.31,362.31,0.0,10.131,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003343,P001,P029,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L003198,P001,P030,rail,rail,local_transfer -> rail -> local_transfer,307.0,307.0,0.0,12.95,raw_cost_kept,rail_12306_model_options,False
Q2L000059,P001,P030,charter_car,charter_car,amap_selfdrive,377.14,377.14,0.0,7.885,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003344,P001,P030,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L003199,P001,P031,rail,rail,local_transfer -> rail -> local_transfer,307.0,307.0,0.0,12.95,raw_cost_kept,rail_12306_model_options,False
Q2L000061,P001,P031,charter_car,charter_car,amap_selfdrive,407.06,407.06,0.0,8.898,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003345,P001,P031,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000063,P001,P032,charter_car,rental_car,amap_selfdrive,227.22,227.22,0.0,5.654,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003189,P001,P032,rail,rail,local_transfer -> rail -> local_transfer,266.0,266.0,0.0,5.1,raw_cost_kept,rail_12306_model_options,False
Q2L003311,P001,P032,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003335,P001,P032,air,air,airport_transfer -> air -> airport_transfer,2188.0,2188.0,0.0,2.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000065,P001,P033,charter_car,charter_car,amap_selfdrive,258.08,258.08,0.0,6.876,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000067,P001,P034,charter_car,rental_car,amap_selfdrive,262.07,262.07,0.0,5.732,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003190,P001,P034,rail,rail,local_transfer -> rail -> local_transfer,266.0,266.0,0.0,5.1,raw_cost_kept,rail_12306_model_options,False
Q2L003312,P001,P034,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003336,P001,P034,air,air,airport_transfer -> air -> airport_transfer,2188.0,2188.0,0.0,2.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000068,P001,P035,self_drive,rental_car,scenic_shuttle -> self_drive -> scenic_shuttle,52.25,52.25,0.0,3.15,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000069,P001,P035,rental_car,rental_car,amap_selfdrive,94.37,94.37,0.0,1.986,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000070,P001,P036,self_drive,rental_car,scenic_shuttle -> self_drive -> scenic_shuttle,52.25,52.25,0.0,1.95,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000071,P001,P036,rental_car,taxi_transfer,amap_selfdrive,60.98,60.98,0.0,1.313,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000073,P001,P037,charter_car,charter_car,amap_selfdrive,738.17,738.17,0.0,16.206,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003403,P001,P037,air,air,airport_transfer -> air -> airport_transfer,860.0,860.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L003427,P001,P037,air,air,airport_transfer -> air -> airport_transfer,2252.0,2252.0,0.0,2.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000075,P001,P038,charter_car,charter_car,amap_selfdrive,600.25,600.25,0.0,14.526,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003404,P001,P038,air,air,airport_transfer -> air -> airport_transfer,860.0,860.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L003428,P001,P038,air,air,airport_transfer -> air -> airport_transfer,2252.0,2252.0,0.0,2.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000077,P001,P039,charter_car,charter_car,amap_selfdrive,738.06,738.06,0.0,16.214,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003405,P001,P039,air,air,airport_transfer -> air -> airport_transfer,860.0,860.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L003429,P001,P039,air,air,airport_transfer -> air -> airport_transfer,2252.0,2252.0,0.0,2.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000079,P001,P040,charter_car,charter_car,amap_selfdrive,821.1,821.1,0.0,16.178,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003244,P001,P040,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003268,P001,P040,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000081,P002,P001,rental_car,rental_car,amap_selfdrive,92.74,92.74,0.0,1.921,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000082,P002,P002,same_spot,same_spot,same_spot,0.0,0.0,0.0,0.0,raw_cost_kept,zero_self_loop,False
Q2L000083,P002,P003,self_drive,rental_car,scenic_shuttle -> self_drive -> scenic_shuttle,66.0,66.0,0.0,3.8,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L003168,P002,P003,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L000084,P002,P003,rental_car,rental_car,amap_selfdrive,68.76,68.76,0.0,1.617,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000086,P002,P004,rental_car,taxi_transfer,amap_selfdrive,56.65,56.65,0.0,1.296,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003169,P002,P004,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L000088,P002,P005,rental_car,taxi_transfer,amap_selfdrive,54.64,54.64,0.0,1.307,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003170,P002,P005,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L000090,P002,P006,rental_car,taxi_transfer,amap_selfdrive,57.73,57.73,0.0,1.408,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003171,P002,P006,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L000092,P002,P007,charter_car,charter_car,amap_selfdrive,760.59,760.59,0.0,14.58,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000091,P002,P007,air,charter_car,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1133.5,1133.5,0.0,18.25,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000094,P002,P008,charter_car,charter_car,amap_selfdrive,351.02,351.02,0.0,6.635,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000096,P002,P009,charter_car,charter_car,amap_selfdrive,287.45,287.45,0.0,8.109,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000098,P002,P010,charter_car,charter_car,amap_selfdrive,435.06,435.06,0.0,12.045,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000097,P002,P010,air,charter_car,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1638.25,1638.25,0.0,10.75,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000099,P002,P011,self_drive,rental_car,scenic_shuttle -> self_drive -> scenic_shuttle,66.0,66.0,0.0,3.8,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L003172,P002,P011,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L000100,P002,P011,rental_car,rental_car,amap_selfdrive,73.46,73.46,0.0,1.898,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000102,P002,P012,rental_car,taxi_transfer,amap_selfdrive,57.7,57.7,0.0,1.379,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003173,P002,P012,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L000103,P002,P013,self_drive,rental_car,scenic_shuttle -> self_drive -> scenic_shuttle,66.0,66.0,0.0,3.8,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L003174,P002,P013,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L000104,P002,P013,rental_car,rental_car,amap_selfdrive,85.64,85.64,0.0,1.779,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000106,P002,P014,charter_car,charter_car,amap_selfdrive,384.95,384.95,0.0,7.664,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000108,P002,P015,charter_car,charter_car,amap_selfdrive,456.23,456.23,0.0,13.968,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000107,P002,P015,air,charter_car,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1674.0,1674.0,0.0,13.25,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000110,P002,P016,charter_car,charter_car,amap_selfdrive,494.18,494.18,0.0,13.361,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000109,P002,P016,air,charter_car,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1754.0,1754.0,0.0,11.75,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000112,P002,P017,charter_car,charter_car,amap_selfdrive,377.64,377.64,0.0,7.2,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000113,P002,P018,self_drive,charter_car,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,396.0,396.0,0.0,10.15,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L003505,P002,P018,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000114,P002,P018,charter_car,charter_car,amap_selfdrive,426.42,426.42,0.0,9.919,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000115,P002,P019,self_drive,charter_car,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,396.0,396.0,0.0,10.15,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L003506,P002,P019,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000116,P002,P019,charter_car,charter_car,amap_selfdrive,423.89,423.89,0.0,9.578,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000118,P002,P020,charter_car,charter_car,amap_selfdrive,417.51,417.51,0.0,9.457,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003507,P002,P020,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000117,P002,P020,self_drive,charter_car,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,729.0,729.0,0.0,11.15,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000120,P002,P021,charter_car,charter_car,amap_selfdrive,343.87,343.87,0.0,6.861,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003508,P002,P021,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000119,P002,P021,self_drive,charter_car,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,418.5,418.5,0.0,9.15,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000122,P002,P022,charter_car,charter_car,amap_selfdrive,351.88,351.88,0.0,7.231,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003509,P002,P022,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000121,P002,P022,self_drive,charter_car,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,396.0,396.0,0.0,10.15,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000124,P002,P023,charter_car,rental_car,amap_selfdrive,287.44,287.44,0.0,5.36,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003510,P002,P023,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000126,P002,P024,charter_car,charter_car,amap_selfdrive,759.67,759.67,0.0,14.537,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003245,P002,P024,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003269,P002,P024,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000128,P002,P025,charter_car,charter_car,amap_selfdrive,759.64,759.64,0.0,14.518,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003246,P002,P025,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003270,P002,P025,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000130,P002,P026,charter_car,charter_car,amap_selfdrive,759.64,759.64,0.0,14.525,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003247,P002,P026,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003271,P002,P026,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000132,P002,P027,charter_car,charter_car,amap_selfdrive,865.47,865.47,0.0,17.326,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003248,P002,P027,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003272,P002,P027,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L003249,P002,P028,air,air,airport_transfer -> air -> airport_transfer,873.28,873.28,0.0,4.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003273,P002,P028,air,air,airport_transfer -> air -> airport_transfer,2440.0,2440.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L003200,P002,P029,rail,rail,local_transfer -> rail -> local_transfer,307.0,307.0,0.0,12.95,raw_cost_kept,rail_12306_model_options,False
Q2L000136,P002,P029,charter_car,charter_car,amap_selfdrive,358.85,358.85,0.0,9.833,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003346,P002,P029,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L003201,P002,P030,rail,rail,local_transfer -> rail -> local_transfer,307.0,307.0,0.0,12.95,raw_cost_kept,rail_12306_model_options,False
Q2L000138,P002,P030,charter_car,charter_car,amap_selfdrive,373.68,373.68,0.0,7.615,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003347,P002,P030,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L003202,P002,P031,rail,rail,local_transfer -> rail -> local_transfer,307.0,307.0,0.0,12.95,raw_cost_kept,rail_12306_model_options,False
Q2L000140,P002,P031,charter_car,charter_car,amap_selfdrive,403.6,403.6,0.0,8.63,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003348,P002,P031,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000142,P002,P032,rental_car,rental_car,amap_selfdrive,188.05,188.05,0.0,4.942,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003191,P002,P032,rail,rail,local_transfer -> rail -> local_transfer,266.0,266.0,0.0,5.1,raw_cost_kept,rail_12306_model_options,False
Q2L003313,P002,P032,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003337,P002,P032,air,air,airport_transfer -> air -> airport_transfer,2188.0,2188.0,0.0,2.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000144,P002,P033,charter_car,charter_car,amap_selfdrive,254.62,254.62,0.0,6.552,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000146,P002,P034,charter_car,rental_car,amap_selfdrive,258.61,258.61,0.0,5.458,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003192,P002,P034,rail,rail,local_transfer -> rail -> local_transfer,266.0,266.0,0.0,5.1,raw_cost_kept,rail_12306_model_options,False
Q2L003314,P002,P034,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.583,raw_cost_kept,air_public_schedule_seed,False
Q2L003338,P002,P034,air,air,airport_transfer -> air -> airport_transfer,2188.0,2188.0,0.0,2.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000147,P002,P035,self_drive,rental_car,scenic_shuttle -> self_drive -> scenic_shuttle,55.0,55.0,0.0,4.0,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000148,P002,P035,rental_car,rental_car,amap_selfdrive,182.41,182.41,0.0,3.63,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000149,P002,P036,self_drive,rental_car,scenic_shuttle -> self_drive -> scenic_shuttle,55.0,55.0,0.0,2.8,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000150,P002,P036,rental_car,rental_car,amap_selfdrive,149.02,149.02,0.0,2.967,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000152,P002,P037,charter_car,charter_car,amap_selfdrive,734.71,734.71,0.0,15.923,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003406,P002,P037,air,air,airport_transfer -> air -> airport_transfer,860.0,860.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L003430,P002,P037,air,air,airport_transfer -> air -> airport_transfer,2252.0,2252.0,0.0,2.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000154,P002,P038,charter_car,charter_car,amap_selfdrive,596.79,596.79,0.0,14.264,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003407,P002,P038,air,air,airport_transfer -> air -> airport_transfer,860.0,860.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L003431,P002,P038,air,air,airport_transfer -> air -> airport_transfer,2252.0,2252.0,0.0,2.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000156,P002,P039,charter_car,charter_car,amap_selfdrive,734.6,734.6,0.0,15.928,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003408,P002,P039,air,air,airport_transfer -> air -> airport_transfer,860.0,860.0,0.0,4.5,raw_cost_kept,air_public_schedule_seed,False
Q2L003432,P002,P039,air,air,airport_transfer -> air -> airport_transfer,2252.0,2252.0,0.0,2.5,raw_cost_kept,air_public_schedule_seed,False
Q2L000158,P002,P040,charter_car,charter_car,amap_selfdrive,817.64,817.64,0.0,15.918,raw_cost_kept,amap_driving_od_matrix_clean,False
