year,segment_order,from_node,from_name,to_node,to_name,label_id,mode,mode_combo,time_hours,cost_yuan_for_two,risk_score,fatigue_score,path_desc,schedule_required,plan_id
2,10,P032,博斯腾湖,P034,罗布人村寨,Q2L002515,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.3,0.0,0.08,0.91,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,11,P034,罗布人村寨,P031,克孜尔石窟,Q2L002669,charter_car,amap_selfdrive,6.391,244.49,0.264,5.432,amap road 444.5km,False,Q2V3_001_ROOTED_URUMQI
2,12,P031,克孜尔石窟,P026,香妃园,Q2L002422,charter_car,amap_selfdrive,7.493,383.28,0.302,6.369,amap road 696.9km,False,Q2V3_001_ROOTED_URUMQI
2,13,P026,香妃园,P040,奥依塔克冰川,Q2L002053,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.3,0.0,0.08,1.61,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,14,P040,奥依塔克冰川,P028,石头城遗址,Q2L003137,rental_car,amap_selfdrive,3.867,120.92,0.175,3.674,amap road 219.9km,False,Q2V3_001_ROOTED_URUMQI
2,15,P028,石头城遗址,P027,帕米尔高原白沙湖,Q2L002186,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.8,0.0,0.08,1.96,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,16,P027,帕米尔高原白沙湖,P025,艾提尕尔清真寺,Q2L002104,rental_car,amap_selfdrive,3.447,99.76,0.161,3.275,amap road 181.4km,False,Q2V3_001_ROOTED_URUMQI
2,17,P025,艾提尕尔清真寺,P024,喀什古城,Q2L001943,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,18,P024,喀什古城,P037,和田博物馆,Q2L001890,charter_car,amap_selfdrive,5.545,273.23,0.234,4.713,amap road 496.8km,False,Q2V3_001_ROOTED_URUMQI
2,19,P037,和田博物馆,P039,千里葡萄长廊,Q2L002920,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,20,P039,千里葡萄长廊,P030,库车王府,Q2L003062,charter_car,amap_selfdrive,8.462,358.73,0.336,7.193,amap road 652.2km,False,Q2V3_001_ROOTED_URUMQI
2,21,P030,库车王府,P029,天山神秘大峡谷,Q2L002348,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.8,0.0,0.08,1.26,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,22,P029,天山神秘大峡谷,P033,巴音布鲁克草原,Q2L002277,rental_car,amap_selfdrive,3.433,106.3,0.16,3.261,amap road 193.3km,False,Q2V3_001_ROOTED_URUMQI
2,23,P033,巴音布鲁克草原,乌鲁木齐市,乌鲁木齐市,Q2G000066,gateway_access,spot_to_gateway:乌鲁木齐市,6.042,220.37,0.174,4.531,urumqi_depot_access,False,Q2V3_001_ROOTED_URUMQI
1,1,那拉提镇,那拉提镇,P009,那拉提草原,Q2G000657,gateway_access,gateway_to_spot:那拉提镇,0.55,30.0,0.025,0.413,gateway_local_access,False,Q2V3_002_OPEN_GATEWAY
1,2,P009,那拉提草原,P016,夏塔古道,Q2L000663,charter_car,amap_selfdrive,6.498,208.82,0.267,5.523,amap road 379.7km,False,Q2V3_002_OPEN_GATEWAY
1,3,P016,夏塔古道,P015,昭苏草原,Q2L001215,rental_car,amap_selfdrive,3.726,66.27,0.17,3.54,amap road 120.5km,False,Q2V3_002_OPEN_GATEWAY
1,4,P015,昭苏草原,P010,喀拉峻大草原,Q2L001126,rental_car,amap_selfdrive,4.167,63.65,0.186,3.959,amap road 115.7km,False,Q2V3_002_OPEN_GATEWAY
1,5,P010,喀拉峻大草原,P014,霍城薰衣草花田,Q2L000737,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,6.0,88.0,0.24,6.0,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
1,6,P014,霍城薰衣草花田,P017,果子沟大桥,Q2L001060,rental_car,amap_selfdrive,0.597,19.1,0.061,0.567,amap road 34.7km,False,Q2V3_002_OPEN_GATEWAY
1,7,P017,果子沟大桥,P008,赛里木湖,Q2L001279,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.3,0.0,0.08,0.21,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
1,8,P008,赛里木湖,P023,世界魔鬼城,Q2L000598,charter_car,amap_selfdrive,5.763,304.13,0.242,4.899,amap road 553.0km,False,Q2V3_002_OPEN_GATEWAY
1,9,P023,世界魔鬼城,P022,五彩滩,Q2L001782,rental_car,amap_selfdrive,3.174,132.03,0.151,3.015,amap road 240.1km,False,Q2V3_002_OPEN_GATEWAY
1,10,P022,五彩滩,P019,禾木村,Q2L001696,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.3,0.0,0.08,0.21,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
1,11,P019,禾木村,P018,喀纳斯湖,Q2L001457,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.3,0.0,0.08,0.21,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
1,12,P018,喀纳斯湖,P020,白哈巴村,Q2L001382,rental_car,amap_selfdrive,0.858,17.23,0.07,0.815,amap road 31.3km,False,Q2V3_002_OPEN_GATEWAY
1,13,P020,白哈巴村,P021,可可托海,Q2L001542,charter_car,amap_selfdrive,7.05,252.76,0.287,5.992,amap road 459.6km,False,Q2V3_002_OPEN_GATEWAY
1,14,P021,可可托海,P036,北庭故城遗址,Q2L001651,charter_car,amap_selfdrive,5.04,237.33,0.216,4.284,amap road 431.5km,False,Q2V3_002_OPEN_GATEWAY
1,15,P036,北庭故城遗址,P035,江布拉克草原,Q2L002834,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.8,0.0,0.08,1.26,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
1,16,P035,江布拉克草原,P002,达坂城古镇,Q2L002689,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,4.0,55.0,0.16,4.0,scenic_shuttle -> self_drive -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
1,17,P002,达坂城古镇,乌鲁木齐市,乌鲁木齐市,Q2G000004,gateway_access,spot_to_gateway:乌鲁木齐市,1.224,54.93,0.073,0.918,urumqi_depot_access,False,Q2V3_002_OPEN_GATEWAY
2,1,乌鲁木齐市,乌鲁木齐市,P001,天山天池,Q2G000001,gateway_access,gateway_to_spot:乌鲁木齐市,0.967,37.02,0.062,0.725,urumqi_depot_access,False,Q2V3_002_OPEN_GATEWAY
2,2,P001,天山天池,P013,吐峪沟麻扎村,Q2L003167,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,True,Q2V3_002_OPEN_GATEWAY
2,3,P013,吐峪沟麻扎村,P011,高昌故城,Q2L000969,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.0,0.0,0.08,1.4,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,4,P011,高昌故城,P003,火焰山,Q2L000795,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.0,0.0,0.08,1.4,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,5,P003,火焰山,P004,葡萄沟,Q2L000164,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.3,0.0,0.08,0.91,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,6,P004,葡萄沟,P006,交河故城,Q2L000247,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,7,P006,交河故城,P012,苏公塔,Q2L000417,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,8,P012,苏公塔,P005,坎儿井民俗园,Q2L000878,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,9,P005,坎儿井民俗园,P034,罗布人村寨,Q2L000382,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,5.8,203.5,0.16,5.8,scenic_shuttle -> self_drive -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,10,P034,罗布人村寨,P032,博斯腾湖,Q2L002670,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.3,0.0,0.08,0.91,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,11,P032,博斯腾湖,P033,巴音布鲁克草原,Q2L002514,charter_car,amap_selfdrive,6.521,208.52,0.268,5.543,amap road 379.1km,False,Q2V3_002_OPEN_GATEWAY
2,12,P033,巴音布鲁克草原,P029,天山神秘大峡谷,Q2L002586,rental_car,amap_selfdrive,3.377,106.05,0.158,3.208,amap road 192.8km,False,Q2V3_002_OPEN_GATEWAY
2,13,P029,天山神秘大峡谷,P030,库车王府,Q2L002270,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.8,0.0,0.08,1.26,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,14,P030,库车王府,P031,克孜尔石窟,Q2L002351,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.8,0.0,0.08,1.26,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,15,P031,克孜尔石窟,P026,香妃园,Q2L002422,charter_car,amap_selfdrive,7.493,383.28,0.302,6.369,amap road 696.9km,False,Q2V3_002_OPEN_GATEWAY
2,16,P026,香妃园,P024,喀什古城,Q2L002022,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,17,P024,喀什古城,P040,奥依塔克冰川,Q2L001895,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.3,0.0,0.08,1.61,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,18,P040,奥依塔克冰川,P028,石头城遗址,Q2L003137,rental_car,amap_selfdrive,3.867,120.92,0.175,3.674,amap road 219.9km,False,Q2V3_002_OPEN_GATEWAY
2,19,P028,石头城遗址,P027,帕米尔高原白沙湖,Q2L002186,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.8,0.0,0.08,1.96,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,20,P027,帕米尔高原白沙湖,P025,艾提尕尔清真寺,Q2L002104,rental_car,amap_selfdrive,3.447,99.76,0.161,3.275,amap road 181.4km,False,Q2V3_002_OPEN_GATEWAY
2,21,P025,艾提尕尔清真寺,P039,千里葡萄长廊,Q2L001973,charter_car,amap_selfdrive,5.613,275.36,0.236,4.771,amap road 500.7km,False,Q2V3_002_OPEN_GATEWAY
2,22,P039,千里葡萄长廊,P037,和田博物馆,Q2L003075,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_002_OPEN_GATEWAY
2,23,P037,和田博物馆,和田市,和田市,Q2G000634,gateway_access,spot_to_gateway:和田市,1.05,25.0,0.105,0.788,scenic_shuttle -> scenic_shuttle -> gateway_anchor::千里葡萄长廊,False,Q2V3_002_OPEN_GATEWAY
1,1,乌鲁木齐市,乌鲁木齐市,P033,巴音布鲁克草原,Q2G000065,gateway_access,gateway_to_spot:乌鲁木齐市,6.093,219.83,0.173,4.57,urumqi_depot_access,False,Q2V3_003_ROOTED_URUMQI
1,2,P033,巴音布鲁克草原,P009,那拉提草原,Q2L002546,rental_car,amap_selfdrive,2.274,51.5,0.12,2.16,amap road 93.6km,False,Q2V3_003_ROOTED_URUMQI
1,3,P009,那拉提草原,P016,夏塔古道,Q2L000663,charter_car,amap_selfdrive,6.498,208.82,0.267,5.523,amap road 379.7km,False,Q2V3_003_ROOTED_URUMQI
1,4,P016,夏塔古道,P015,昭苏草原,Q2L001215,rental_car,amap_selfdrive,3.726,66.27,0.17,3.54,amap road 120.5km,False,Q2V3_003_ROOTED_URUMQI
1,5,P015,昭苏草原,P010,喀拉峻大草原,Q2L001126,rental_car,amap_selfdrive,4.167,63.65,0.186,3.959,amap road 115.7km,False,Q2V3_003_ROOTED_URUMQI
1,6,P010,喀拉峻大草原,P014,霍城薰衣草花田,Q2L000737,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,6.0,88.0,0.24,6.0,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
1,7,P014,霍城薰衣草花田,P017,果子沟大桥,Q2L001060,rental_car,amap_selfdrive,0.597,19.1,0.061,0.567,amap road 34.7km,False,Q2V3_003_ROOTED_URUMQI
1,8,P017,果子沟大桥,P008,赛里木湖,Q2L001279,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.3,0.0,0.08,0.21,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
1,9,P008,赛里木湖,P023,世界魔鬼城,Q2L000598,charter_car,amap_selfdrive,5.763,304.13,0.242,4.899,amap road 553.0km,False,Q2V3_003_ROOTED_URUMQI
1,10,P023,世界魔鬼城,P022,五彩滩,Q2L001782,rental_car,amap_selfdrive,3.174,132.03,0.151,3.015,amap road 240.1km,False,Q2V3_003_ROOTED_URUMQI
1,11,P022,五彩滩,P019,禾木村,Q2L001696,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.3,0.0,0.08,0.21,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
1,12,P019,禾木村,P018,喀纳斯湖,Q2L001457,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.3,0.0,0.08,0.21,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
1,13,P018,喀纳斯湖,P020,白哈巴村,Q2L001382,rental_car,amap_selfdrive,0.858,17.23,0.07,0.815,amap road 31.3km,False,Q2V3_003_ROOTED_URUMQI
1,14,P020,白哈巴村,P021,可可托海,Q2L001542,charter_car,amap_selfdrive,7.05,252.76,0.287,5.992,amap road 459.6km,False,Q2V3_003_ROOTED_URUMQI
1,15,P021,可可托海,P036,北庭故城遗址,Q2L001651,charter_car,amap_selfdrive,5.04,237.33,0.216,4.284,amap road 431.5km,False,Q2V3_003_ROOTED_URUMQI
1,16,P036,北庭故城遗址,P035,江布拉克草原,Q2L002834,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.8,0.0,0.08,1.26,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
1,17,P035,江布拉克草原,P001,天山天池,Q2L002687,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,3.15,52.25,0.16,3.15,scenic_shuttle -> self_drive -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
1,18,P001,天山天池,乌鲁木齐市,乌鲁木齐市,Q2G000002,gateway_access,spot_to_gateway:乌鲁木齐市,1.036,37.25,0.063,0.777,urumqi_depot_access,False,Q2V3_003_ROOTED_URUMQI
2,1,乌鲁木齐市,乌鲁木齐市,P032,博斯腾湖,Q2G000063,gateway_access,gateway_to_spot:乌鲁木齐市,4.843,188.97,0.155,3.632,urumqi_depot_access,False,Q2V3_003_ROOTED_URUMQI
2,2,P032,博斯腾湖,P038,尼雅遗址,Q2L002524,charter_car,amap_selfdrive,11.71,438.32,0.45,9.954,amap road 796.9km,False,Q2V3_003_ROOTED_URUMQI
2,3,P038,尼雅遗址,P037,和田博物馆,Q2L002996,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,3.8,60.5,0.16,3.8,scenic_shuttle -> self_drive -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,4,P037,和田博物馆,P039,千里葡萄长廊,Q2L002920,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,5,P039,千里葡萄长廊,P007,楼兰古城,Q2L003016,charter_car,amap_selfdrive,5.565,270.41,0.235,4.73,amap road 491.7km,False,Q2V3_003_ROOTED_URUMQI
2,6,P007,楼兰古城,P024,喀什古城,Q2L000521,rental_car,amap_selfdrive,0.198,1.73,0.047,0.188,amap road 3.2km,False,Q2V3_003_ROOTED_URUMQI
2,7,P024,喀什古城,P040,奥依塔克冰川,Q2L001895,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.3,0.0,0.08,1.61,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,8,P040,奥依塔克冰川,P028,石头城遗址,Q2L003137,rental_car,amap_selfdrive,3.867,120.92,0.175,3.674,amap road 219.9km,False,Q2V3_003_ROOTED_URUMQI
2,9,P028,石头城遗址,P027,帕米尔高原白沙湖,Q2L002186,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.8,0.0,0.08,1.96,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,10,P027,帕米尔高原白沙湖,P025,艾提尕尔清真寺,Q2L002104,rental_car,amap_selfdrive,3.447,99.76,0.161,3.275,amap road 181.4km,False,Q2V3_003_ROOTED_URUMQI
2,11,P025,艾提尕尔清真寺,P026,香妃园,Q2L001946,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,12,P026,香妃园,P030,库车王府,Q2L002034,charter_car,amap_selfdrive,7.072,388.98,0.288,6.011,amap road 707.2km,False,Q2V3_003_ROOTED_URUMQI
2,13,P030,库车王府,P031,克孜尔石窟,Q2L002351,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.8,0.0,0.08,1.26,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,14,P031,克孜尔石窟,P029,天山神秘大峡谷,Q2L002427,scenic_shuttle,scenic_shuttle -> scenic_shuttle,3.0,0.0,0.08,2.1,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,15,P029,天山神秘大峡谷,P034,罗布人村寨,Q2L003210,rail,local_transfer -> rail -> local_transfer,3.55,137.0,0.055,1.597,T9522 库车-库尔勒,True,Q2V3_003_ROOTED_URUMQI
2,16,P034,罗布人村寨,P005,坎儿井民俗园,Q2L002616,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,5.8,203.5,0.16,5.8,scenic_shuttle -> self_drive -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,17,P005,坎儿井民俗园,P012,苏公塔,Q2L000338,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,18,P012,苏公塔,P003,火焰山,Q2L000874,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.3,0.0,0.08,0.91,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,19,P003,火焰山,P013,吐峪沟麻扎村,Q2L000182,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.0,0.0,0.08,1.4,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,20,P013,吐峪沟麻扎村,P011,高昌故城,Q2L000969,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.0,0.0,0.08,1.4,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,21,P011,高昌故城,P004,葡萄沟,Q2L000797,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.3,0.0,0.08,0.91,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,22,P004,葡萄沟,P006,交河故城,Q2L000247,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,23,P006,交河故城,P002,达坂城古镇,Q2L000398,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,3.1,66.0,0.16,3.1,scenic_shuttle -> self_drive -> scenic_shuttle,False,Q2V3_003_ROOTED_URUMQI
2,24,P002,达坂城古镇,乌鲁木齐市,乌鲁木齐市,Q2G000004,gateway_access,spot_to_gateway:乌鲁木齐市,1.224,54.93,0.073,0.918,urumqi_depot_access,False,Q2V3_003_ROOTED_URUMQI
1,1,那拉提镇,那拉提镇,P009,那拉提草原,Q2G000657,gateway_access,gateway_to_spot:那拉提镇,0.55,30.0,0.025,0.413,gateway_local_access,False,Q2V3_004_OPEN_GATEWAY
1,2,P009,那拉提草原,P016,夏塔古道,Q2L000663,charter_car,amap_selfdrive,6.498,208.82,0.267,5.523,amap road 379.7km,False,Q2V3_004_OPEN_GATEWAY
1,3,P016,夏塔古道,P015,昭苏草原,Q2L001215,rental_car,amap_selfdrive,3.726,66.27,0.17,3.54,amap road 120.5km,False,Q2V3_004_OPEN_GATEWAY
1,4,P015,昭苏草原,P010,喀拉峻大草原,Q2L001126,rental_car,amap_selfdrive,4.167,63.65,0.186,3.959,amap road 115.7km,False,Q2V3_004_OPEN_GATEWAY
1,5,P010,喀拉峻大草原,P014,霍城薰衣草花田,Q2L000737,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,6.0,88.0,0.24,6.0,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,False,Q2V3_004_OPEN_GATEWAY
